model,accuracy,precision,recall,config
random-forest,0.81956798,0.845821326,0.943729904,"['VIF', 'Hist_cor', 'SSIM', 'CPL']"
SVM,0.815756036,0.819277108,0.98392283,"['Hist_cor', 'SSIM', 'CPL']"
SVM,0.815756036,0.820134228,0.982315113,"['VIF', 'Hist_cor', 'SSIM', 'CPL']"
SVM,0.81321474,0.818791946,0.980707395,"['VIF', 'Hist_cor', 'CPL']"
random-forest,0.811944091,0.829166667,0.959807074,"['VIF', 'SSIM', 'CPL']"
logistic-regression,0.810673443,0.820027064,0.974276527,"['Hist_cor', 'CPL']"
random-forest,0.810673443,0.838340486,0.942122186,"['Hist_cor', 'SSIM', 'CPL']"
random-forest,0.806861499,0.835714286,0.940514469,"['VIF', 'Hist_cor', 'CPL']"
SVM,0.806861499,0.815860215,0.975884244,"['VIF', 'Hist_cor', 'SSIM']"
logistic-regression,0.805590851,0.818181818,0.969453376,"['Hist_cor', 'SSIM', 'CPL']"
logistic-regression,0.805590851,0.816464238,0.97266881,"['VIF', 'Hist_cor', 'CPL']"
logistic-regression,0.805590851,0.818181818,0.969453376,"['VIF', 'Hist_cor', 'SSIM', 'CPL']"
SVM,0.803049555,0.804432855,0.991961415,"['VIF', 'SSIM', 'CPL']"
SVM,0.801778907,0.802597403,0.993569132,"['Hist_cor', 'CPL']"
SVM,0.800508259,0.800776197,0.995176849,"['VIF', 'CPL']"
random-forest,0.800508259,0.835497835,0.930868167,"['VIF', 'Hist_cor', 'SSIM']"
SVM,0.799237611,0.802083333,0.990353698,"['SSIM', 'CPL']"
SVM,0.797966963,0.804204993,0.98392283,"['VIF', 'Hist_cor']"
logistic-regression,0.796696315,0.805555556,0.979099678,['CPL']
SVM,0.796696315,0.798449612,0.993569132,['CPL']
logistic-regression,0.796696315,0.805555556,0.979099678,"['SSIM', 'CPL']"
logistic-regression,0.796696315,0.805555556,0.979099678,"['VIF', 'SSIM', 'CPL']"
logistic-regression,0.796696315,0.80078125,0.988745981,"['VIF', 'Hist_cor', 'SSIM']"
logistic-regression,0.795425667,0.804491413,0.979099678,"['VIF', 'CPL']"
logistic-regression,0.795425667,0.798188875,0.991961415,"['Hist_cor', 'SSIM']"
logistic-regression,0.791613723,0.791348601,1,"['VIF', 'Hist_cor']"
logistic-regression,0.790343075,0.790343075,1,['VIF']
SVM,0.790343075,0.790343075,1,['VIF']
logistic-regression,0.790343075,0.790343075,1,['Hist_cor']
SVM,0.790343075,0.790343075,1,['Hist_cor']
logistic-regression,0.790343075,0.790343075,1,['SSIM']
SVM,0.790343075,0.790343075,1,['SSIM']
logistic-regression,0.790343075,0.790343075,1,"['VIF', 'SSIM']"
SVM,0.790343075,0.790343075,1,"['VIF', 'SSIM']"
SVM,0.790343075,0.801849406,0.975884244,"['Hist_cor', 'SSIM']"
random-forest,0.786531131,0.817039106,0.940514469,"['VIF', 'CPL']"
random-forest,0.786531131,0.823361823,0.92926045,"['SSIM', 'CPL']"
random-forest,0.785260483,0.823109843,0.927652733,"['VIF', 'SSIM']"
decision-tree,0.780177891,0.849144635,0.877813505,"['Hist_cor', 'SSIM', 'CPL']"
random-forest,0.778907243,0.826530612,0.911575563,"['VIF', 'Hist_cor']"
random-forest,0.778907243,0.815492958,0.930868167,"['Hist_cor', 'CPL']"
decision-tree,0.775095299,0.849293564,0.86977492,"['VIF', 'Hist_cor', 'SSIM', 'CPL']"
decision-tree,0.768742058,0.831325301,0.887459807,"['VIF', 'SSIM']"
random-forest,0.76747141,0.818577649,0.906752412,"['Hist_cor', 'SSIM']"
decision-tree,0.759847522,0.854337152,0.839228296,"['VIF', 'Hist_cor', 'CPL']"
decision-tree,0.740787802,0.8265625,0.850482315,"['Hist_cor', 'CPL']"
decision-tree,0.736975858,0.828843106,0.840836013,"['VIF', 'Hist_cor']"
decision-tree,0.73570521,0.843853821,0.816720257,"['VIF', 'Hist_cor', 'SSIM']"
random-forest,0.733163914,0.809309309,0.866559486,['CPL']
decision-tree,0.733163914,0.809309309,0.866559486,['CPL']
decision-tree,0.72935197,0.823064771,0.837620579,"['VIF', 'SSIM', 'CPL']"
decision-tree,0.725540025,0.822222222,0.832797428,"['VIF', 'CPL']"
decision-tree,0.724269377,0.825040128,0.826366559,"['Hist_cor', 'SSIM']"
decision-tree,0.722998729,0.807926829,0.852090032,"['SSIM', 'CPL']"
random-forest,0.715374841,0.808049536,0.839228296,['VIF']
decision-tree,0.715374841,0.808049536,0.839228296,['VIF']
random-forest,0.707750953,0.808176101,0.826366559,['Hist_cor']
decision-tree,0.707750953,0.808176101,0.826366559,['Hist_cor']
random-forest,0.684879288,0.795886076,0.808681672,['SSIM']
decision-tree,0.684879288,0.795886076,0.808681672,['SSIM']
