,PSNR,CPL,CS,SSIM,MSE,WD,KL,SSS1,TSI,VAE,Hist_correlation,Hist_intersection,VIF
PSNR,0.9999999999999998,-0.5099380472984854,0.7206800656418132,0.7500357679811828,0.2707565779328229,-0.8177520082432386,-0.10509827380603888,-0.35967980555806456,-0.4920469582038963,-0.19501732672241107,0.6652355782797938,0.7237894723632714,0.8493009082323775
CPL,-0.5099380472984854,1.0,-0.6088747421180722,-0.3926889452751718,0.09944613715308208,0.35572167530373144,-0.030026811068514486,0.36779213917028475,0.2865264941977792,0.34252028694375936,-0.27283765640065666,-0.22207619690913863,-0.506626201067025
CS,0.7206800656418132,-0.6088747421180722,1.0,0.6691830297883907,0.18025946349872146,-0.6444142831747065,-0.12868426608548397,-0.32883519865389194,-0.5177469436142014,0.027083227064981463,0.40798659500501444,0.5518221664067122,0.6704887612410219
SSIM,0.7500357679811828,-0.3926889452751718,0.6691830297883907,1.0,0.3969745272566323,-0.7633147210228313,-0.17751351593345804,-0.28633010018611316,-0.7058607671275039,0.07289589125541662,0.4910361396290875,0.7329813529063405,0.8426564838003388
MSE,0.2707565779328229,0.09944613715308208,0.18025946349872146,0.3969745272566323,1.0,-0.5531871675775282,-0.08903083483337938,0.018391231685013686,-0.3593289323637914,0.22654837646379866,0.4384149485879266,0.4800135403692237,0.2609612519862722
WD,-0.8177520082432386,0.35572167530373144,-0.6444142831747065,-0.7633147210228313,-0.5531871675775282,1.0,0.1472259836500761,0.2401891365839626,0.5256714996646372,0.00892079463425751,-0.7582928007780757,-0.8250360674845763,-0.6890401183298398
KL,-0.10509827380603888,-0.030026811068514486,-0.12868426608548397,-0.17751351593345804,-0.08903083483337938,0.1472259836500761,0.9999999999999998,0.04703476948237639,0.26793461978459626,-0.12156680308659651,-0.025646022881072768,-0.13124983107303212,-0.10221801019044345
SSS1,-0.35967980555806456,0.36779213917028475,-0.32883519865389194,-0.28633010018611316,0.018391231685013686,0.2401891365839626,0.04703476948237639,1.0,0.25263416714741127,0.15312856505026,-0.16009502158168812,-0.15368565049767516,-0.2764558607730117
TSI,-0.4920469582038963,0.2865264941977792,-0.5177469436142014,-0.7058607671275039,-0.3593289323637914,0.5256714996646372,0.26793461978459626,0.25263416714741127,1.0,-0.16834820348301022,-0.27258527326513027,-0.4475080057373062,-0.6168442135988501
VAE,-0.19501732672241107,0.34252028694375936,0.027083227064981463,0.07289589125541662,0.22654837646379866,0.00892079463425751,-0.12156680308659651,0.15312856505026,-0.16834820348301022,1.0,-0.10420206837974547,0.16624432952850027,-0.16940068104336023
Hist_correlation,0.6652355782797938,-0.27283765640065666,0.40798659500501444,0.4910361396290875,0.4384149485879266,-0.7582928007780757,-0.025646022881072768,-0.16009502158168812,-0.27258527326513027,-0.10420206837974547,1.0,0.7853159859335048,0.5019047380001138
Hist_intersection,0.7237894723632714,-0.22207619690913863,0.5518221664067122,0.7329813529063405,0.4800135403692237,-0.8250360674845763,-0.13124983107303212,-0.15368565049767516,-0.4475080057373062,0.16624432952850027,0.7853159859335048,0.9999999999999998,0.6415204991864377
VIF,0.8493009082323775,-0.506626201067025,0.6704887612410219,0.8426564838003388,0.2609612519862722,-0.6890401183298398,-0.10221801019044345,-0.2764558607730117,-0.6168442135988501,-0.16940068104336023,0.5019047380001138,0.6415204991864377,1.0
