,PSNR,CPL,CS,SSIM,MSE,WD,KL,SSS1,TSI,VAE,Hist_correlation,Hist_intersection,VIF
PSNR,0.0,1.314438241219608e-19,2.4561230828987872e-45,6.214323869523777e-51,5.241011049979143e-06,1.8923588935798117e-67,0.08190465130238686,8.031852969538657e-10,3.571658774689678e-18,0.0011518968887315796,1.647641098556105e-36,6.789106903779388e-46,1.0290302241582624e-77
CPL,1.314438241219608e-19,0.0,2.7396332128056343e-29,1.421861982460715e-11,0.09982601408550304,1.2643611625208753e-09,0.6200481993709581,3.1074724019535405e-10,1.354799949726076e-06,5.492206260507116e-09,4.405028308689996e-06,0.00020529925719818648,2.4581115425198983e-19
CS,2.4561230828987872e-45,2.7396332128056343e-29,0.0,4.482419390977716e-37,0.0026974587904017035,1.1522110848232731e-33,0.03291294764060074,2.3458393939081216e-08,2.923359656880496e-20,0.65475896781345,1.871495612550947e-12,2.576490490648937e-23,2.90127621933583e-37
SSIM,6.214323869523777e-51,1.421861982460715e-11,4.482419390977716e-37,0.0,8.140945798486662e-12,9.954761505210818e-54,0.003138729783408347,1.3785301177493303e-06,8.931882197865712e-43,0.2282268452452272,4.2797076615494264e-18,1.3655620614501467e-47,2.29189128280518e-75
MSE,5.241011049979143e-06,0.09982601408550304,0.0026974587904017035,8.140945798486662e-12,0.0,1.9110642776368318e-23,0.14085618373256753,0.7614169873511433,8.363605657637544e-10,0.0001511638952451706,2.40760776979928e-14,2.9597987245656436e-17,1.1649709790961746e-05
WD,1.8923588935798117e-67,1.2643611625208753e-09,1.1522110848232731e-33,9.954761505210818e-54,1.9110642776368318e-23,0.0,0.014538451687180496,5.721638786989096e-05,6.108699797887334e-21,0.8829238576175679,1.1924537563187919e-52,1.2367389906427454e-69,4.68260210416052e-40
KL,0.08190465130238686,0.6200481993709581,0.03291294764060074,0.003138729783408347,0.14085618373256753,0.014538451687180496,0.0,0.4372409849395443,6.618437041365482e-06,0.0439831662215518,0.6719862034646061,0.029552275221499197,0.09068279600523889
SSS1,8.031852969538657e-10,3.1074724019535405e-10,2.3458393939081216e-08,1.3785301177493303e-06,0.7614169873511433,5.721638786989096e-05,0.4372409849395443,0.0,2.2416895116040432e-05,0.010996904004662423,0.007814968647502193,0.010705758399967966,3.245292954928427e-06
TSI,3.571658774689678e-18,1.354799949726076e-06,2.923359656880496e-20,8.931882197865712e-43,8.363605657637544e-10,6.108699797887334e-21,6.618437041365482e-06,2.2416895116040432e-05,0.0,0.005125681364879702,4.499187674353426e-06,6.009336997316872e-15,3.196668829210487e-30
VAE,0.0011518968887315796,5.492206260507116e-09,0.65475896781345,0.2282268452452272,0.0001511638952451706,0.8829238576175679,0.0439831662215518,0.010996904004662423,0.005125681364879702,0.0,0.0845593361386062,0.005717647607402261,0.004850733810346773
Hist_correlation,1.647641098556105e-36,4.405028308689996e-06,1.871495612550947e-12,4.2797076615494264e-18,2.40760776979928e-14,1.1924537563187919e-52,0.6719862034646061,0.007814968647502193,4.499187674353426e-06,0.0845593361386062,0.0,8.653879672866781e-59,5.930607064207654e-19
Hist_intersection,6.789106903779388e-46,0.00020529925719818648,2.576490490648937e-23,1.3655620614501467e-47,2.9597987245656436e-17,1.2367389906427454e-69,0.029552275221499197,0.010705758399967966,6.009336997316872e-15,0.005717647607402261,8.653879672866781e-59,0.0,2.7512034097039836e-33
VIF,1.0290302241582624e-77,2.4581115425198983e-19,2.90127621933583e-37,2.29189128280518e-75,1.1649709790961746e-05,4.68260210416052e-40,0.09068279600523889,3.245292954928427e-06,3.196668829210487e-30,0.004850733810346773,5.930607064207654e-19,2.7512034097039836e-33,0.0
