,PSNR,CPL,CS,SSIM,MSE,WD,KL,TSI,VAE,Hist_correlation,Hist_intersection,VIF
PSNR,1,-0.547580346,0.640108567,0.624986981,0.254960296,-0.825146114,-0.015038569,-0.337208948,-0.134659577,0.658511797,0.709572314,0.679309761
CPL,-0.547580346,1,-0.509364517,-0.368398653,-0.180359267,0.412560892,0.010276569,0.201877019,0.277397893,-0.178612915,-0.27088968,-0.492237282
CS,0.640108567,-0.509364517,1,0.682396177,0.020491715,-0.514560294,0.021589411,-0.451786587,0.203491577,0.426129887,0.577083114,0.657104176
SSIM,0.624986981,-0.368398653,0.682396177,1,0.001717002,-0.671616306,-0.117185427,-0.686584661,0.297051448,0.533051905,0.805286507,0.721151186
MSE,0.254960296,-0.180359267,0.020491715,0.001717002,1,-0.422875966,0.314202994,0.26638561,-0.381534884,0.226719674,0.131857076,0.201085086
WD,-0.825146114,0.412560892,-0.514560294,-0.671616306,-0.422875966,1,0.007121993,0.332251632,0.073925406,-0.749652724,-0.788607323,-0.573868712
KL,-0.015038569,0.010276569,0.021589411,-0.117185427,0.314202994,0.007121993,1,0.376693441,-0.220468201,-0.081430373,-0.111553905,0.122638066
TSI,-0.337208948,0.201877019,-0.451786587,-0.686584661,0.26638561,0.332251632,0.376693441,1,-0.456612881,-0.295272841,-0.531860347,-0.301433148
VAE,-0.134659577,0.277397893,0.203491577,0.297051448,-0.381534884,0.073925406,-0.220468201,-0.456612881,1,0.039514358,0.247311211,-0.066056256
Hist_correlation,0.658511797,-0.178612915,0.426129887,0.533051905,0.226719674,-0.749652724,-0.081430373,-0.295272841,0.039514358,1,0.83476103,0.381698532
Hist_intersection,0.709572314,-0.27088968,0.577083114,0.805286507,0.131857076,-0.788607323,-0.111553905,-0.531860347,0.247311211,0.83476103,1,0.537198099
VIF,0.679309761,-0.492237282,0.657104176,0.721151186,0.201085086,-0.573868712,0.122638066,-0.301433148,-0.066056256,0.381698532,0.537198099,1
