,PSNR,CPL,CS,SSIM,MSE,WD,KL,TSI,VAE,Hist_correlation,Hist_intersection,VIF
PSNR,0.0,2.3937703600473474e-45,5.062606471495629e-61,2.9182803083176614e-55,4.974957103218164e-05,7.450025242405956e-114,0.16518733079112266,9.577030268860763e-15,0.4962361309942276,6.540571869701136e-53,2.381095431871253e-68,1.837511382555847e-59
CPL,2.3937703600473474e-45,0.0,6.155110191229628e-49,1.889894580044116e-22,0.0019168884208888284,5.986261744308769e-29,0.6405603222239139,0.00036901430053074246,7.4988398277301964e-06,5.5704658076977835e-14,2.8542760020384873e-16,3.882128583211222e-41
CS,5.062606471495629e-61,6.155110191229628e-49,0.0,6.06881584962666e-72,0.12066121583857066,7.057704231578668e-44,0.1226939461459493,1.0042299312054024e-19,0.0009424571222058346,1.2091797287485254e-25,5.966699642680832e-54,3.3780330072597637e-62
SSIM,2.9182803083176614e-55,1.889894580044116e-22,6.06881584962666e-72,0.0,0.1733403879809951,1.0853956968287705e-60,1.7204708949063966e-06,1.141578179332915e-64,1.3311595637485631e-14,2.5427300274769863e-31,2.0968504001661928e-119,1.2162263028794402e-44
MSE,4.974957103218164e-05,0.0019168884208888284,0.12066121583857066,0.1733403879809951,0.0,4.16306901396101e-11,1.7037108661325906e-21,1.0394092839460422e-13,1.419878302168407e-19,0.0037452754018873873,0.6522601961924543,0.00011104232032693784
WD,7.450025242405956e-114,5.986261744308769e-29,7.057704231578668e-44,1.0853956968287705e-60,4.16306901396101e-11,0.0,0.3222385312455861,1.6231273380889708e-12,0.9739192688067507,9.057079624725017e-68,6.197300757548321e-89,1.4078331044308565e-37
KL,0.16518733079112266,0.6405603222239139,0.1226939461459493,1.7204708949063966e-06,1.7037108661325906e-21,0.3222385312455861,0.0,2.323209370964693e-25,7.711650598953016e-15,0.006916915639030812,2.1274717391213045e-06,0.08763095222861977
TSI,9.577030268860763e-15,0.00036901430053074246,1.0042299312054024e-19,1.141578179332915e-64,1.0394092839460422e-13,1.6231273380889708e-12,2.323209370964693e-25,0.0,4.104607612222159e-35,3.884791394084808e-08,5.5851459889442337e-45,7.909335492316868e-08
VAE,0.4962361309942276,7.4988398277301964e-06,0.0009424571222058346,1.3311595637485631e-14,1.419878302168407e-19,0.9739192688067507,7.711650598953016e-15,4.104607612222159e-35,0.0,0.991889498889167,1.223927057402446e-10,0.22149493681822743
Hist_correlation,6.540571869701136e-53,5.5704658076977835e-14,1.2091797287485254e-25,2.5427300274769863e-31,0.0037452754018873873,9.057079624725017e-68,0.006916915639030812,3.884791394084808e-08,0.991889498889167,0.0,1.208446073057776e-71,2.3441544831636667e-15
Hist_intersection,2.381095431871253e-68,2.8542760020384873e-16,5.966699642680832e-54,2.0968504001661928e-119,0.6522601961924543,6.197300757548321e-89,2.1274717391213045e-06,5.5851459889442337e-45,1.223927057402446e-10,1.208446073057776e-71,0.0,3.2356257093976337e-26
VIF,1.837511382555847e-59,3.882128583211222e-41,3.3780330072597637e-62,1.2162263028794402e-44,0.00011104232032693784,1.4078331044308565e-37,0.08763095222861977,7.909335492316868e-08,0.22149493681822743,2.3441544831636667e-15,3.2356257093976337e-26,0.0
