,Correlation,p_val
PSNR,0.4744894448905614,7.669365440181386e-74
CS,-0.5877461059580231,2.0352864514245275e-121
CPL,0.781344676147594,1.2638409897845028e-267
SSIM,0.5492879474994354,3.44567474848581e-103
MSE,-0.23285240133265706,1.9264183265688066e-17
WD,-0.2691881610825307,5.523110159319315e-23
KL,-0.073854723148652,0.00777025593610577
SSS1,-0.36940792634341413,3.06384568268052e-43
TSI,-0.42507136628839337,4.2810068910307735e-58
VAE,0.022295331983105203,0.42221932719220795
Hist_correlation,0.16749410753536076,1.2666990708319768e-09
Hist_intersection,0.1879574247599201,8.726183640829697e-12
VIF,0.7079688292069195,5.4996691448959086e-198
