Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,original,high_rain,high_fog,light_fog,moderate_fog,HF_PSNR,LF_PSNR,MF_PSNR,HF_SSIM,LF_SSIM,MF_SSIM,HF_CPL,LF_CPL,MF_CPL,HF_CS,LF_CS,MF_CS,MF_SSS1,HF_KL,HF_MSE,HF_WD,MF_WD,MF_MSE,MF_KL,MF_TSI
0,0,0,0,0,0,0,0,0,0,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1578H763_20200409_OH01_DG06_2_10.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\high\images\1578H763_20200409_OH01_DG06_2_10_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\1578H763_20200409_OH01_DG06_2_10_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\1578H763_20200409_OH01_DG06_2_10_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\1578H763_20200409_OH01_DG06_2_10_torchvision.jpg,14.19598789,21.8069656,23.95235628,0.718302236,0.88184422,0.900181372,82.847206,29.702524,16.9594,0.44588274,0.85382485,0.9168849,0.005660209,0.7725824206619293,35.16667073567708,18.31826782226563,9.44759521484375,27.091741943359374,0.6288631192406143,0.3654048434442272
1,1,1,1,1,1,1,1,1,1,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1578H763_20200409_OH01_DG06_2_11.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\high\images\1578H763_20200409_OH01_DG06_2_11_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\1578H763_20200409_OH01_DG06_2_11_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\1578H763_20200409_OH01_DG06_2_11_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\1578H763_20200409_OH01_DG06_2_11_torchvision.jpg,12.53644604,20.65847314,21.93181978,0.786736315,0.905930638,0.920073648,46.252613,17.76486,16.349394,0.6199439,0.8935794,0.88917416,0.008534943,inf,65.15985717773438,28.97931518554688,12.098486328124997,22.632279459635416,0.7197692167860352,0.4336227984344427
2,2,2,2,2,2,2,2,2,2,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1578H763_20200409_OH01_DG06_2_9.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\high\images\1578H763_20200409_OH01_DG06_2_9_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\1578H763_20200409_OH01_DG06_2_9_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\1578H763_20200409_OH01_DG06_2_9_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\1578H763_20200409_OH01_DG06_2_9_torchvision.jpg,17.98621036,19.47552027,20.62658833,0.923837082,0.902872544,0.913723776,14.343129,18.425592,21.035078,0.8782366,0.8355912,0.79392797,0.011388039,0.4539561780231778,68.85980834960938,14.160388183593746,11.090692138671876,37.736488850911456,0.8267538794646863,0.0563906555772986
3,3,3,3,3,3,3,3,3,3,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1578X721_20200409_OH01_DG06_2_13.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\high\images\1578X721_20200409_OH01_DG06_2_13_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\1578X721_20200409_OH01_DG06_2_13_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\1578X721_20200409_OH01_DG06_2_13_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\1578X721_20200409_OH01_DG06_2_13_torchvision.jpg,20.50433599,25.17442746,22.13578372,0.870654968,0.915652691,0.898170468,19.346287,12.085709,19.704044,0.90033543,0.9336917,0.88935024,0.02167685,0.5465802912197059,41.03159993489583,17.151940917968755,8.854675292968752,17.386187744140624,0.5527977337560143,0.5401174168297471
4,4,4,4,4,4,4,4,4,4,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1578X721_20200409_OH01_DG06_2_14.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\high\images\1578X721_20200409_OH01_DG06_2_14_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\1578X721_20200409_OH01_DG06_2_14_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\1578X721_20200409_OH01_DG06_2_14_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\1578X721_20200409_OH01_DG06_2_14_torchvision.jpg,14.18827339,13.70331511,11.93993709,0.804572217,0.712125079,0.624785607,34.635006,60.687782,108.289185,0.836608,0.6685004,0.1925153,0.03081693,0.5211737560454813,42.24420369466146,15.560223388671876,29.9521728515625,20.833182779947915,1.1038488946284204,4.313025929549902
5,5,5,5,5,5,5,5,5,5,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1578X721_20200409_OH01_DG06_2_16.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\high\images\1578X721_20200409_OH01_DG06_2_16_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\1578X721_20200409_OH01_DG06_2_16_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\1578X721_20200409_OH01_DG06_2_16_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\1578X721_20200409_OH01_DG06_2_16_torchvision.jpg,17.46972056,18.01716179,14.89616594,0.880233733,0.870554124,0.788036678,21.199543,28.030163,46.548195,0.8725205,0.83065325,0.68987644,0.027934019,0.8192968798060625,33.790425618489586,23.189282226562497,11.63580322265625,39.722233072916666,0.4793878680104649,2.8454072896281803
6,6,6,6,6,6,6,6,6,6,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1578X721_20200409_OH01_DG06_2_25.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\high\images\1578X721_20200409_OH01_DG06_2_25_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\1578X721_20200409_OH01_DG06_2_25_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\1578X721_20200409_OH01_DG06_2_25_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\1578X721_20200409_OH01_DG06_2_25_torchvision.jpg,19.41132989,13.16443585,15.22876774,0.938178808,0.888240476,0.831135357,5.4034896,6.8305573,38.950836,0.91389537,0.8854741,0.22539973,0.002286295,1.2362404269712508,24.69259033203125,20.31309204101563,17.540039062499993,31.582661946614586,inf,1.417783757338552
7,7,7,7,7,7,7,7,7,7,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1578X721_20200409_OH01_DG06_2_26.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\high\images\1578X721_20200409_OH01_DG06_2_26_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\1578X721_20200409_OH01_DG06_2_26_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\1578X721_20200409_OH01_DG06_2_26_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\1578X721_20200409_OH01_DG06_2_26_torchvision.jpg,13.9072007,25.33472881,17.96754282,0.714760078,0.897750945,0.862298152,45.89624,11.976564,20.655512,0.7856539,0.94267917,0.90580636,0.028419843,0.9282190515392608,63.54116414388021,34.41233520507813,21.96635131835937,60.44763793945312,0.8288753828420602,0.2938845401174141
8,8,8,8,8,8,8,8,8,8,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1578X721_20200409_OH01_DG06_2_27.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\high\images\1578X721_20200409_OH01_DG06_2_27_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\1578X721_20200409_OH01_DG06_2_27_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\1578X721_20200409_OH01_DG06_2_27_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\1578X721_20200409_OH01_DG06_2_27_torchvision.jpg,13.26725456,20.65876853,16.46885817,0.841800854,0.928009318,0.798134713,19.80917,11.873102,48.238686,0.88680005,0.930228,0.6504896,0.03872502,1.0366443492223358,63.63847045898437,33.74620361328125,23.445349121093745,24.2140604654948,inf,2.195780332681018
9,9,9,9,9,9,9,9,9,9,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1672B291_20200401_OH01_DG06_2_14.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\high\images\1672B291_20200401_OH01_DG06_2_14_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\1672B291_20200401_OH01_DG06_2_14_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\1672B291_20200401_OH01_DG06_2_14_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\1672B291_20200401_OH01_DG06_2_14_torchvision.jpg,26.35116281,11.84227793,12.98788951,0.915517014,0.574872848,0.829972468,18.346094,86.40609,76.08365,0.887362,0.038627006,0.40543652,0.021452896,inf,11.984771728515623,2.587689208984375,8.6037841796875,27.995015462239586,inf,2.6273544520547945
10,10,10,10,10,10,10,10,10,10,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1672B291_20200401_OH01_DG06_2_18.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\high\images\1672B291_20200401_OH01_DG06_2_18_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\1672B291_20200401_OH01_DG06_2_18_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\1672B291_20200401_OH01_DG06_2_18_torchvision.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\1672B291_20200401_OH01_DG06_2_18_torchvision.jpg,17.41985451,15.09917497,14.75072485,0.926581577,0.794701284,0.727459902,44.15371,31.232443,40.021984,0.7498795,0.8051895,0.7412759,0.042623427,0.2219509760332244,26.927081298828124,6.736859130859374,12.349566650390624,59.10798746744792,0.2796330287069072,2.991407778864972
