,PSNR,CPL,CS,SSIM,MSE,WD,KL,SSS,TSI,HIST1,HIST2,VAE
PSNR,1,-0.692395591,0.715920396,0.753152172,-0.411687441,-0.67524766,-0.139873996,-0.467385959,-0.618305359,0.21922449,0.261049988,-0.224473565
CPL,-0.692395591,1,-0.75594208,-0.795197137,0.159050415,0.449091213,0.252090255,0.626187136,0.703022928,-0.155109426,-0.110193436,0.055669281
CS,0.715920396,-0.75594208,1,0.757656407,-0.254072239,-0.397185896,-0.218962869,-0.513149409,-0.627638576,0.095511033,0.284669945,0.145009051
SSIM,0.753152172,-0.795197137,0.757656407,1,-0.274611277,-0.509403843,-0.224939441,-0.557156326,-0.870417511,0.17760508,0.036658485,-0.120225533
MSE,-0.411687441,0.159050415,-0.254072239,-0.274611277,1,0.103184529,-0.07640264,0.120928801,0.20617095,0.150670957,0.076368374,0.165822322
WD,-0.67524766,0.449091213,-0.397185896,-0.509403843,0.103184529,1,0.150630165,0.271746275,0.38336962,-0.438248433,-0.507301296,0.058828901
KL,-0.139873996,0.252090255,-0.218962869,-0.224939441,-0.07640264,0.150630165,1,0.129609782,0.304989138,-0.052900557,-0.044849814,-0.233801163
SSS,-0.467385959,0.626187136,-0.513149409,-0.557156326,0.120928801,0.271746275,0.129609782,1,0.429184494,-0.099471058,-0.023413585,0.107792566
TSI,-0.618305359,0.703022928,-0.627638576,-0.870417511,0.20617095,0.38336962,0.304989138,0.429184494,1,-0.123345703,0.018398525,0.029600285
HIST1,0.21922449,-0.155109426,0.095511033,0.17760508,0.150670957,-0.438248433,-0.052900557,-0.099471058,-0.123345703,1,0.689287694,-0.077773346
HIST2,0.261049988,-0.110193436,0.284669945,0.036658485,0.076368374,-0.507301296,-0.044849814,-0.023413585,0.018398525,0.689287694,1,0.218461002
VAE,-0.224473565,0.055669281,0.145009051,-0.120225533,0.165822322,0.058828901,-0.233801163,0.107792566,0.029600285,-0.077773346,0.218461002,1
