,PSNR,CS,CPL,SSIM,MSE,WD,KL,SSS1,TSI,VAE,Hist_correlation,Hist_intersection,VIF
PSNR,1.0,-0.3888740550038771,0.4910852740063874,0.5044663853527166,-0.22299899055917627,-0.6402305300228381,0.03306528479437172,-0.2974854073407114,-0.4489408896098338,-0.1023213648534747,0.5621166801564718,0.5672947930124989,0.5826148957503088
CS,-0.3888740550038771,1.0,-0.4846195595576529,-0.09292571028833008,0.10331381497556162,0.07464207229675196,-0.06208523521082819,0.3234725348063646,0.11489807232151449,0.5661177949264146,-0.12323469778232936,-0.015356541059844856,-0.4643694302804334
CPL,0.4910852740063874,-0.4846195595576529,0.9999999999999999,0.5877151448122124,-0.23651917883427082,-0.22770202557725672,0.06970826882752232,-0.4605232090596834,-0.33766829072890026,0.071788045502812,0.2838495545129377,0.3935935111885289,0.8711000645246689
SSIM,0.5044663853527166,-0.09292571028833008,0.5877151448122124,1.0,-0.20411888699353317,-0.6959692142602276,-0.021860655515614603,-0.3024826223271711,-0.8116554043457285,0.43864424503266586,0.6122377527507535,0.7691901740862455,0.6466525521367442
MSE,-0.22299899055917627,0.10331381497556162,-0.23651917883427082,-0.20411888699353317,1.0,-0.10504612138742941,0.06999772124032287,0.01982758285065738,0.2849321393307457,-0.050484626964212256,0.0007113209116023714,-0.08664590051516205,-0.19202686839697916
WD,-0.6402305300228381,0.07464207229675196,-0.22770202557725672,-0.6959692142602276,-0.10504612138742941,1.0,0.03954765163568567,0.2479014318290298,0.691179576637759,-0.29831638125092375,-0.7622877787340627,-0.7570622420684954,-0.34232391252834904
KL,0.03306528479437172,-0.06208523521082819,0.06970826882752232,-0.021860655515614603,0.06999772124032287,0.03954765163568567,0.9999999999999999,-0.05698282170934328,0.10982571774111399,-0.08438251875481703,-0.04414444539597477,-0.035533732018011396,0.050269208458123785
SSS1,-0.2974854073407114,0.3234725348063646,-0.4605232090596834,-0.3024826223271711,0.01982758285065738,0.2479014318290298,-0.05698282170934328,1.0,0.27467618407011835,0.02166611339813042,-0.16953187877553094,-0.17255311872567866,-0.37245040475094093
TSI,-0.4489408896098338,0.11489807232151449,-0.33766829072890026,-0.8116554043457285,0.2849321393307457,0.691179576637759,0.10982571774111399,0.27467618407011835,1.0,-0.3802786274023379,-0.6036349864677842,-0.6702457976080095,-0.3734172903248584
VAE,-0.1023213648534747,0.5661177949264146,0.071788045502812,0.43864424503266586,-0.050484626964212256,-0.29831638125092375,-0.08438251875481703,0.02166611339813042,-0.3802786274023379,0.9999999999999999,0.1676145614843536,0.3165872210340105,0.05864410488696113
Hist_correlation,0.5621166801564718,-0.12323469778232936,0.2838495545129377,0.6122377527507535,0.0007113209116023714,-0.7622877787340627,-0.04414444539597477,-0.16953187877553094,-0.6036349864677842,0.1676145614843536,0.9999999999999999,0.8996608740405416,0.3006959879845597
Hist_intersection,0.5672947930124989,-0.015356541059844856,0.3935935111885289,0.7691901740862455,-0.08664590051516205,-0.7570622420684954,-0.035533732018011396,-0.17255311872567866,-0.6702457976080095,0.3165872210340105,0.8996608740405416,0.9999999999999999,0.42010639468489397
VIF,0.5826148957503088,-0.4643694302804334,0.8711000645246689,0.6466525521367442,-0.19202686839697916,-0.34232391252834904,0.050269208458123785,-0.37245040475094093,-0.3734172903248584,0.05864410488696113,0.3006959879845597,0.42010639468489397,0.9999999999999999
