,PSNR,CS,CPL,SSIM,MSE,WD,KL,SSS1,TSI,VAE,Hist_correlation,Hist_intersection,VIF
PSNR,0.9999999999999999,-0.6048256250228041,0.632468043032469,0.7476956132428865,-0.46428226464327016,-0.8114116264435571,-0.07639379101472155,-0.4540089179344492,-0.46631395600370434,-0.2803159984939949,0.31883848726912967,0.2545624169922913,0.6747572199715505
CS,-0.6048256250228041,0.9999999999999999,-0.7465141441028343,-0.7599697334838877,0.13949446715727537,0.3877732246376454,0.15659940350890195,0.6040297624587494,0.5842401332031257,0.08406125441264575,-0.19182811042764403,-0.030467080848413066,-0.7185650441608336
CPL,0.632468043032469,-0.7465141441028343,1.0,0.7437440390025332,-0.19079433250721373,-0.38979175152575946,-0.2474056225919146,-0.5116603634137113,-0.5136735942181344,0.1776197772719334,0.2210912502981694,0.24613292741444642,0.9365049989178954
SSIM,0.7476956132428865,-0.7599697334838877,0.7437440390025332,1.0,-0.3749933540037452,-0.6158935798173906,-0.0765524992942659,-0.5863261050325255,-0.7197636079689829,-0.21924138612865185,0.269388754440918,0.04256298908325887,0.7596932345468732
MSE,-0.46428226464327016,0.13949446715727537,-0.19079433250721373,-0.3749933540037452,0.9999999999999999,0.5289155305935208,-0.346247521032692,0.09422090581667156,0.19706844537897,0.4744019478590746,-0.24685120312751174,-0.22466551194208484,-0.1642216627276311
WD,-0.8114116264435571,0.3877732246376454,-0.38979175152575946,-0.6158935798173906,0.5289155305935208,1.0,-0.03788960708539539,0.3069112879344831,0.3203462477485223,0.35168488062863856,-0.47284088888210646,-0.3705967206538491,-0.41346244137980187
KL,-0.07639379101472155,0.15659940350890195,-0.2474056225919146,-0.0765524992942659,-0.346247521032692,-0.03788960708539539,1.0,0.142313986069608,0.10255002505819498,-0.504321289853694,0.009506755457300595,-0.08362485606015321,-0.27402680109278066
SSS1,-0.4540089179344492,0.6040297624587494,-0.5116603634137113,-0.5863261050325255,0.09422090581667156,0.3069112879344831,0.142313986069608,0.9999999999999999,0.3889953168762371,0.07745665177910993,-0.18960004395380164,-0.013509279725257648,-0.5010027585982597
TSI,-0.46631395600370434,0.5842401332031257,-0.5136735942181344,-0.7197636079689829,0.19706844537897,0.3203462477485223,0.10255002505819498,0.3889953168762371,1.0,0.06476044765920733,-0.14891985315737438,-0.03217077582043114,-0.5187308635416988
VAE,-0.2803159984939949,0.08406125441264575,0.1776197772719334,-0.21924138612865185,0.4744019478590746,0.35168488062863856,-0.504321289853694,0.07745665177910993,0.06476044765920733,1.0,-0.09078061580292188,0.18213399373771322,0.17921430189217968
Hist_correlation,0.31883848726912967,-0.19182811042764403,0.2210912502981694,0.269388754440918,-0.24685120312751174,-0.47284088888210646,0.009506755457300595,-0.18960004395380164,-0.14891985315737438,-0.09078061580292188,1.0,0.7404983444497785,0.2189813252763412
Hist_intersection,0.2545624169922913,-0.030467080848413066,0.24613292741444642,0.04256298908325887,-0.22466551194208484,-0.3705967206538491,-0.08362485606015321,-0.013509279725257648,-0.03217077582043114,0.18213399373771322,0.7404983444497785,1.0,0.22546047924213913
VIF,0.6747572199715505,-0.7185650441608336,0.9365049989178954,0.7596932345468732,-0.1642216627276311,-0.41346244137980187,-0.27402680109278066,-0.5010027585982597,-0.5187308635416988,0.17921430189217968,0.2189813252763412,0.22546047924213913,1.0
