,PSNR,CS,CPL,SSIM,MSE,WD,KL,SSS1,TSI,VAE,Hist_correlation,Hist_intersection,VIF
PSNR,0.0,1.3485633043150464e-10,7.998578155350704e-17,8.365852412999953e-18,0.00034137117002237225,1.0693590851769523e-30,0.5999182251919575,1.3826537229194788e-06,5.314295201994093e-14,0.10374482114262731,1.4669387180096361e-22,4.9279079722518363e-23,1.742197781388965e-24
CS,1.3485633043150464e-10,0.0,2.299515097581111e-16,0.13970656667481138,0.10041837914262217,0.23586503745763215,0.32435575518872317,1.3472377555579884e-07,0.06751939637907045,6.325256283482558e-23,0.04978174196647904,0.8075792216355747,5.456948415021795e-15
CPL,7.998578155350704e-17,2.299515097581111e-16,0.0,5.503965271412143e-25,0.0001417867958792118,0.0002529458424769536,0.26836563710806566,9.728707882063074e-15,3.430335982235998e-08,0.2543107653316381,4.298660992318894e-06,7.696248495313682e-11,8.635013946551951e-80
SSIM,8.365852412999953e-18,0.13970656667481138,5.503965271412143e-25,0.0,0.0010694597938641867,4.0803143350999166e-38,0.7287983098903481,8.989281899606315e-07,8.957348509646339e-61,2.279990693042993e-13,1.6084330000665199e-27,6.356723179468618e-51,1.790958567130474e-31
MSE,0.00034137117002237225,0.10041837914262217,0.0001417867958792118,0.0010694597938641867,0.0,0.09481516750761196,0.26637840272425733,0.7531626236628846,3.936895097479559e-06,0.4230535202748105,0.9909995151378217,0.16860886090673477,0.0021123248950605912
WD,1.0693590851769523e-30,0.23586503745763215,0.0002529458424769536,4.0803143350999166e-38,0.09481516750761196,0.0,0.5303823105705152,6.498671578005033e-05,2.0617285334504923e-37,1.2878402230355242e-06,1.6055975069084463e-49,1.721733324777384e-48,2.157073993687455e-08
KL,0.5999182251919575,0.32435575518872317,0.26836563710806566,0.7287983098903481,0.26637840272425733,0.5303823105705152,0.0,0.3657767601733245,0.08063928048119882,0.1800520192923959,0.4836662848563046,0.5729588303324891,0.425037541880535
SSS1,1.3826537229194788e-06,1.3472377555579884e-07,9.728707882063074e-15,8.989281899606315e-07,0.7531626236628846,6.498671578005033e-05,0.3657767601733245,0.0,8.922801584635404e-06,0.7311183965693022,0.00676496713036411,0.0058300237324646915,8.870246049357708e-10
TSI,5.314295201994093e-14,0.06751939637907045,3.430335982235998e-08,8.957348509646339e-61,3.936895097479559e-06,2.0617285334504923e-37,0.08063928048119882,8.922801584635404e-06,0.0,3.661740643916129e-10,1.319490628104789e-26,1.7171751478255682e-34,7.962116411783326e-10
VAE,0.10374482114262731,6.325256283482558e-23,0.2543107653316381,2.279990693042993e-13,0.4230535202748105,1.2878402230355242e-06,0.1800520192923959,0.7311183965693022,3.661740643916129e-10,0.0,0.007425664823971122,2.5518022141039307e-07,0.3519443109567599
Hist_correlation,1.4669387180096361e-22,0.04978174196647904,4.298660992318894e-06,1.6084330000665199e-27,0.9909995151378217,1.6055975069084463e-49,0.4836662848563046,0.00676496713036411,1.319490628104789e-26,0.007425664823971122,0.0,1.1085970312240714e-92,1.0494952429834512e-06
Hist_intersection,4.9279079722518363e-23,0.8075792216355747,7.696248495313682e-11,6.356723179468618e-51,0.16860886090673477,1.721733324777384e-48,0.5729588303324891,0.0058300237324646915,1.7171751478255682e-34,2.5518022141039307e-07,1.1085970312240714e-92,0.0,2.780515182682532e-12
VIF,1.742197781388965e-24,5.456948415021795e-15,8.635013946551951e-80,1.790958567130474e-31,0.0021123248950605912,2.157073993687455e-08,0.425037541880535,8.870246049357708e-10,7.962116411783326e-10,0.3519443109567599,1.0494952429834512e-06,2.780515182682532e-12,0.0
