model,accuracy,config
logistic-regression,0.8823529411764706,config_11
SVM,0.8823529411764706,config_11
random-forest,0.6470588235294117,config_11
decision-tree,0.6470588235294117,config_11
logistic-regression,0.8823529411764706,config_12
SVM,0.8823529411764706,config_12
random-forest,0.7058823529411764,config_12
decision-tree,0.7058823529411764,config_12
logistic-regression,0.8823529411764706,config_13
SVM,0.8823529411764706,config_13
random-forest,0.6470588235294117,config_13
decision-tree,0.6470588235294117,config_13
logistic-regression,0.8823529411764706,config_14
SVM,0.8823529411764706,config_14
random-forest,0.7058823529411764,config_14
decision-tree,0.7058823529411764,config_14
logistic-regression,0.8823529411764706,config_21
SVM,0.8823529411764706,config_21
random-forest,0.7352941176470589,config_21
decision-tree,0.8235294117647058,config_21
logistic-regression,0.8823529411764706,config_22
SVM,0.8823529411764706,config_22
random-forest,0.7647058823529411,config_22
decision-tree,0.7058823529411764,config_22
logistic-regression,0.8823529411764706,config_23
SVM,0.8823529411764706,config_23
random-forest,0.7058823529411764,config_23
decision-tree,0.7058823529411764,config_23
logistic-regression,0.8823529411764706,config_24
SVM,0.8823529411764706,config_24
random-forest,0.8529411764705882,config_24
decision-tree,0.7352941176470589,config_24
logistic-regression,0.8823529411764706,config_25
SVM,0.8823529411764706,config_25
random-forest,0.7352941176470589,config_25
decision-tree,0.7058823529411764,config_25
logistic-regression,0.8823529411764706,config_26
SVM,0.8823529411764706,config_26
random-forest,0.6764705882352942,config_26
decision-tree,0.7352941176470589,config_26
logistic-regression,0.8823529411764706,config_31
SVM,0.8823529411764706,config_31
random-forest,0.7352941176470589,config_31
decision-tree,0.7941176470588236,config_31
logistic-regression,0.8823529411764706,config_32
SVM,0.8823529411764706,config_32
random-forest,0.7647058823529411,config_32
decision-tree,0.7352941176470589,config_32
logistic-regression,0.8823529411764706,config_33
SVM,0.8823529411764706,config_33
random-forest,0.7647058823529411,config_33
decision-tree,0.6764705882352942,config_33
logistic-regression,0.8823529411764706,config_34
SVM,0.8823529411764706,config_34
random-forest,0.8529411764705882,config_34
decision-tree,0.7352941176470589,config_34
logistic-regression,0.8823529411764706,config_4
SVM,0.8823529411764706,config_4
random-forest,0.7352941176470589,config_4
decision-tree,0.8235294117647058,config_4
