,psnr,cpl,cs,ssim,mse,wd,kl,sss,tsi,hist_c,hist_i,vae,vif
psnr,1,-0.388874055,0.491085274,0.504466385,-0.222998991,-0.64023053,0.033065285,-0.297485407,-0.44894089,0.56211668,0.567294793,-0.102321365,0.582614896
cpl,-0.388874055,1,-0.48461956,-0.09292571,0.103313815,0.074642072,-0.062085235,0.323472535,0.114898072,-0.123234698,-0.015356541,0.566117795,-0.46436943
cs,0.491085274,-0.48461956,1,0.587715145,-0.236519179,-0.227702026,0.069708269,-0.460523209,-0.337668291,0.283849555,0.393593511,0.071788046,0.871100065
ssim,0.504466385,-0.09292571,0.587715145,1,-0.204118887,-0.695969214,-0.021860656,-0.302482622,-0.811655404,0.612237753,0.769190174,0.438644245,0.646652552
mse,-0.222998991,0.103313815,-0.236519179,-0.204118887,1,-0.105046121,0.069997721,0.019827583,0.284932139,0.000711321,-0.086645901,-0.050484627,-0.192026868
wd,-0.64023053,0.074642072,-0.227702026,-0.695969214,-0.105046121,1,0.039547652,0.247901432,0.691179577,-0.762287779,-0.757062242,-0.298316381,-0.342323913
kl,0.033065285,-0.062085235,0.069708269,-0.021860656,0.069997721,0.039547652,1,-0.056982822,0.109825718,-0.044144445,-0.035533732,-0.084382519,0.050269208
sss,-0.297485407,0.323472535,-0.460523209,-0.302482622,0.019827583,0.247901432,-0.056982822,1,0.274676184,-0.169531879,-0.172553119,0.021666113,-0.372450405
tsi,-0.44894089,0.114898072,-0.337668291,-0.811655404,0.284932139,0.691179577,0.109825718,0.274676184,1,-0.603634986,-0.670245798,-0.380278627,-0.37341729
hist_c,0.56211668,-0.123234698,0.283849555,0.612237753,0.000711321,-0.762287779,-0.044144445,-0.169531879,-0.603634986,1,0.899660874,0.167614561,0.300695988
hist_i,0.567294793,-0.015356541,0.393593511,0.769190174,-0.086645901,-0.757062242,-0.035533732,-0.172553119,-0.670245798,0.899660874,1,0.316587221,0.420106395
vae,-0.102321365,0.566117795,0.071788046,0.438644245,-0.050484627,-0.298316381,-0.084382519,0.021666113,-0.380278627,0.167614561,0.316587221,1,0.058644105
vif,0.582614896,-0.46436943,0.871100065,0.646652552,-0.192026868,-0.342323913,0.050269208,-0.372450405,-0.37341729,0.300695988,0.420106395,0.058644105,1
