model,accuracy,precision,recall,config
SVM,0.90349076,0.906710311,0.937394247,['CS']
SVM,0.901437372,0.899838449,0.942470389,"['CS', 'CPL']"
SVM,0.900410678,0.899676375,0.940778342,"['CS', 'SSIM', 'CPL']"
SVM,0.897330595,0.894060995,0.942470389,"['PSNR', 'CS']"
SVM,0.895277207,0.8912,0.942470389,"['PSNR', 'CS', 'CPL']"
SVM,0.895277207,0.892455859,0.940778342,"['PSNR', 'CS', 'SSIM', 'CPL']"
random-forest,0.895277207,0.904132231,0.925549915,"['PSNR', 'CS', 'SSIM', 'CPL']"
SVM,0.894250513,0.892282958,0.939086294,"['CS', 'SSIM']"
SVM,0.893223819,0.887122417,0.944162437,"['PSNR', 'CS', 'SSIM']"
random-forest,0.892197125,0.903654485,0.920473773,"['CS', 'SSIM', 'CPL']"
random-forest,0.892197125,0.902317881,0.922165821,"['PSNR', 'CS', 'CPL']"
random-forest,0.888090349,0.903010033,0.913705584,"['CS', 'CPL']"
random-forest,0.888090349,0.891233766,0.92893401,"['PSNR', 'CS', 'SSIM']"
random-forest,0.886036961,0.892156863,0.923857868,"['CS', 'SSIM']"
random-forest,0.883983573,0.894389439,0.917089679,"['PSNR', 'CS']"
logistic-regression,0.878850103,0.86553323,0.947546531,"['CS', 'CPL']"
logistic-regression,0.877823409,0.864197531,0.947546531,"['CS', 'SSIM', 'CPL']"
logistic-regression,0.876796715,0.869701727,0.937394247,"['PSNR', 'CS', 'CPL']"
logistic-regression,0.876796715,0.869701727,0.937394247,"['PSNR', 'CS', 'SSIM', 'CPL']"
logistic-regression,0.875770021,0.862654321,0.945854484,"['PSNR', 'CS', 'SSIM']"
logistic-regression,0.874743326,0.855842185,0.954314721,['CS']
logistic-regression,0.874743326,0.86244204,0.944162437,"['PSNR', 'CS']"
logistic-regression,0.87063655,0.850678733,0.954314721,"['CS', 'SSIM']"
decision-tree,0.863449692,0.879139073,0.898477157,"['PSNR', 'CS']"
random-forest,0.859342916,0.870915033,0.901861252,['CS']
decision-tree,0.859342916,0.870915033,0.901861252,['CS']
decision-tree,0.858316222,0.885860307,0.879864636,"['CS', 'SSIM']"
decision-tree,0.858316222,0.87687188,0.891708968,"['PSNR', 'CS', 'SSIM', 'CPL']"
decision-tree,0.853182752,0.873333333,0.886632826,"['PSNR', 'CS', 'SSIM']"
decision-tree,0.852156057,0.87312187,0.884940778,"['CS', 'CPL']"
decision-tree,0.845995893,0.862068966,0.888324873,"['PSNR', 'CS', 'CPL']"
decision-tree,0.843942505,0.860426929,0.886632826,"['CS', 'SSIM', 'CPL']"
SVM,0.813141684,0.798540146,0.925549915,"['SSIM', 'CPL']"
logistic-regression,0.804928131,0.80332829,0.898477157,"['PSNR', 'CPL']"
logistic-regression,0.804928131,0.802413273,0.900169205,"['PSNR', 'SSIM', 'CPL']"
SVM,0.804928131,0.797037037,0.910321489,"['PSNR', 'SSIM', 'CPL']"
logistic-regression,0.798767967,0.790014684,0.910321489,"['SSIM', 'CPL']"
random-forest,0.798767967,0.809076682,0.874788494,"['SSIM', 'CPL']"
SVM,0.797741273,0.792284866,0.903553299,"['PSNR', 'CPL']"
SVM,0.795687885,0.803405573,0.878172589,['CPL']
random-forest,0.793634497,0.808544304,0.86463621,"['PSNR', 'CPL']"
random-forest,0.791581109,0.799382716,0.876480541,"['PSNR', 'SSIM', 'CPL']"
logistic-regression,0.782340862,0.774240232,0.905245347,['CPL']
SVM,0.77926078,0.789230769,0.868020305,['SSIM']
SVM,0.778234086,0.786259542,0.871404399,"['PSNR', 'SSIM']"
random-forest,0.749486653,0.764079148,0.849407783,"['PSNR', 'SSIM']"
decision-tree,0.746406571,0.785714286,0.800338409,"['SSIM', 'CPL']"
decision-tree,0.744353183,0.779411765,0.807106599,"['PSNR', 'CPL']"
logistic-regression,0.741273101,0.760368664,0.837563452,"['PSNR', 'SSIM']"
decision-tree,0.740246407,0.781666667,0.79357022,"['PSNR', 'SSIM', 'CPL']"
logistic-regression,0.738193018,0.709476309,0.962774958,['SSIM']
SVM,0.727926078,0.725138122,0.888324873,['PSNR']
logistic-regression,0.722792608,0.751173709,0.812182741,['PSNR']
random-forest,0.719712526,0.746130031,0.815566836,['CPL']
decision-tree,0.719712526,0.746130031,0.815566836,['CPL']
random-forest,0.695071869,0.739413681,0.768189509,['SSIM']
decision-tree,0.695071869,0.739413681,0.768189509,['SSIM']
decision-tree,0.674537988,0.721682848,0.75465313,"['PSNR', 'SSIM']"
random-forest,0.618069815,0.676328502,0.710659898,['PSNR']
decision-tree,0.618069815,0.676328502,0.710659898,['PSNR']
