,psnr,cpl,cs,ssim,mse,wd,kl,sss,tsi,hist_c,hist_i,vae,vif
psnr,1,-0.604825625,0.632468043,0.747695613,-0.464282265,-0.811411626,-0.076393791,-0.454008918,-0.466313956,0.318838487,0.254562417,-0.280315998,0.67475722
cpl,-0.604825625,1,-0.746514144,-0.759969733,0.139494467,0.387773225,0.156599404,0.604029762,0.584240133,-0.19182811,-0.030467081,0.084061254,-0.718565044
cs,0.632468043,-0.746514144,1,0.743744039,-0.190794333,-0.389791752,-0.247405623,-0.511660363,-0.513673594,0.22109125,0.246132927,0.177619777,0.936504999
ssim,0.747695613,-0.759969733,0.743744039,1,-0.374993354,-0.61589358,-0.076552499,-0.586326105,-0.719763608,0.269388754,0.042562989,-0.219241386,0.759693235
mse,-0.464282265,0.139494467,-0.190794333,-0.374993354,1,0.528915531,-0.346247521,0.094220906,0.197068445,-0.246851203,-0.224665512,0.474401948,-0.164221663
wd,-0.811411626,0.387773225,-0.389791752,-0.61589358,0.528915531,1,-0.037889607,0.306911288,0.320346248,-0.472840889,-0.370596721,0.351684881,-0.413462441
kl,-0.076393791,0.156599404,-0.247405623,-0.076552499,-0.346247521,-0.037889607,1,0.142313986,0.102550025,0.009506755,-0.083624856,-0.50432129,-0.274026801
sss,-0.454008918,0.604029762,-0.511660363,-0.586326105,0.094220906,0.306911288,0.142313986,1,0.388995317,-0.189600044,-0.01350928,0.077456652,-0.501002759
tsi,-0.466313956,0.584240133,-0.513673594,-0.719763608,0.197068445,0.320346248,0.102550025,0.388995317,1,-0.148919853,-0.032170776,0.064760448,-0.518730864
hist_c,0.318838487,-0.19182811,0.22109125,0.269388754,-0.246851203,-0.472840889,0.009506755,-0.189600044,-0.148919853,1,0.740498344,-0.090780616,0.218981325
hist_i,0.254562417,-0.030467081,0.246132927,0.042562989,-0.224665512,-0.370596721,-0.083624856,-0.01350928,-0.032170776,0.740498344,1,0.182133994,0.225460479
vae,-0.280315998,0.084061254,0.177619777,-0.219241386,0.474401948,0.351684881,-0.50432129,0.077456652,0.064760448,-0.090780616,0.182133994,1,0.179214302
vif,0.67475722,-0.718565044,0.936504999,0.759693235,-0.164221663,-0.413462441,-0.274026801,-0.501002759,-0.518730864,0.218981325,0.225460479,0.179214302,1
