,parameters,accuracy,human effort
0,"['Decision Tree', 0.8]",89.45342571208622,19.989735694123684
1,"['Decision Tree', 0.85]",89.37644341801386,19.989735694123684
2,"['Decision Tree', 0.9]",88.96587118296125,19.989735694123684
3,"['Decision Tree', 0.95]",88.99153194765204,19.989735694123684
4,"['Decision Tree', 0.99]",88.99153194765204,19.989735694123684
5,"['SVM', 0.8]",95.89427764947395,28.714395688991534
6,"['SVM', 0.85]",96.8437259430331,31.691044393122915
7,"['SVM', 0.9]",97.58788811906595,36.566589684372595
8,"['SVM', 0.95]",98.87092635360534,55.58121632024634
9,"['SVM', 0.99]",99.89735694123685,93.55914806261227
10,"['Logistic Regression', 0.8]",97.76751347190147,38.773415447780344
11,"['Logistic Regression', 0.85]",98.7426225301514,44.49576597382602
12,"['Logistic Regression', 0.9]",99.23017705927637,51.60379779317424
13,"['Logistic Regression', 0.95]",99.7947138824737,66.41005901975879
14,"['Logistic Regression', 0.99]",100.0,91.63459071080318
15,"['Random Forest', 0.8]",96.30484988452656,31.588401334359762
16,"['Random Forest', 0.85]",97.10033358994097,35.36053374390557
17,"['Random Forest', 0.9]",97.97279958942777,40.390043623299974
18,"['Random Forest', 0.95]",98.84526558891454,48.47318450089813
19,"['Random Forest', 0.99]",99.69207082371055,63.202463433410315
