,model,threshold,split_1,split_2,accuracy,precision,recall,human effort,name
0,Random Forest,0.8,0.1,0.01,90.56356488,98.4375,47.01492537,22.28047182,Random Forest
1,Random Forest,0.8,0.15,0.01,91.21887287,100,50,27.52293578,Random Forest
2,Random Forest,0.8,0.2,0.01,92.00524246,100,54.47761194,32.37221494,Random Forest
3,Random Forest,0.8,0.25,0.01,93.44692005,100,62.68656716,39.71166448,Random Forest
4,Random Forest,0.8,0.3,0.01,94.36435125,100,67.91044776,45.74049803,Random Forest
5,Random Forest,0.8,0.4,0.01,95.67496723,100,75.37313433,55.30799476,Random Forest
6,Random Forest,0.8,0.1,0.03,90.95674967,98.50746269,49.25373134,24.6395806,Random Forest
7,Random Forest,0.8,0.15,0.03,92.66055046,100,58.20895522,30.53735256,Random Forest
8,Random Forest,0.8,0.2,0.03,92.52948886,100,57.46268657,34.20707733,Random Forest
9,Random Forest,0.8,0.25,0.03,94.88859764,100,70.89552239,41.93971166,Random Forest
10,Random Forest,0.8,0.3,0.03,94.49541284,100,68.65671642,46.92005242,Random Forest
11,Random Forest,0.8,0.4,0.03,96.06815203,100,77.6119403,56.09436435,Random Forest
12,Random Forest,0.8,0.1,0.05,91.48099607,98.5915493,52.23880597,26.21231979,Random Forest
13,Random Forest,0.8,0.15,0.05,92.79161206,100,58.95522388,30.93053735,Random Forest
14,Random Forest,0.8,0.2,0.05,92.79161206,100,58.95522388,35.77981651,Random Forest
15,Random Forest,0.8,0.25,0.05,95.01965924,100,71.64179104,42.72608126,Random Forest
16,Random Forest,0.8,0.3,0.05,95.15072084,100,72.3880597,48.75491481,Random Forest
17,Random Forest,0.8,0.4,0.05,96.98558322,100,82.8358209,57.79816514,Random Forest
18,Random Forest,0.8,0.1,0.08,91.87418087,98.64864865,54.47761194,27.91612058,Random Forest
19,Random Forest,0.8,0.15,0.08,93.18479685,100,61.19402985,32.37221494,Random Forest
20,Random Forest,0.8,0.2,0.08,93.44692005,100,62.68656716,37.3525557,Random Forest
21,Random Forest,0.8,0.25,0.08,95.41284404,100,73.88059701,43.90563565,Random Forest
22,Random Forest,0.8,0.3,0.08,95.15072084,100,72.3880597,48.88597641,Random Forest
23,Random Forest,0.8,0.4,0.08,97.11664482,100,83.58208955,59.10878113,Random Forest
24,Random Forest,0.8,0.1,0.1,91.21887287,98.55072464,50.74626866,27.91612058,Random Forest
25,Random Forest,0.8,0.15,0.1,93.31585845,100,61.94029851,33.15858453,Random Forest
26,Random Forest,0.8,0.2,0.1,93.57798165,100,63.43283582,38.40104849,Random Forest
27,Random Forest,0.8,0.25,0.1,95.41284404,100,73.88059701,45.21625164,Random Forest
28,Random Forest,0.8,0.3,0.1,95.41284404,100,73.88059701,49.8034076,Random Forest
29,Random Forest,0.8,0.4,0.1,97.11664482,100,83.58208955,58.71559633,Random Forest
30,Random Forest,0.8,0.1,0.15,92.66055046,98.75,58.95522388,29.48885976,Random Forest
31,Random Forest,0.8,0.15,0.15,93.44692005,100,62.68656716,33.55176933,Random Forest
32,Random Forest,0.8,0.2,0.15,93.84010485,100,64.92537313,38.79423329,Random Forest
33,Random Forest,0.8,0.25,0.15,95.41284404,100,73.88059701,44.69200524,Random Forest
34,Random Forest,0.8,0.3,0.15,95.54390564,100,74.62686567,50.327654,Random Forest
35,Random Forest,0.8,0.4,0.15,97.37876802,100,85.07462687,60.02621232,Random Forest
36,Random Forest,0.85,0.1,0.01,91.21887287,100,50,25.4259502,Random Forest
37,Random Forest,0.85,0.15,0.01,92.26736566,100,55.97014925,31.19266055,Random Forest
38,Random Forest,0.85,0.2,0.01,94.36435125,100,67.91044776,38.92529489,Random Forest
39,Random Forest,0.85,0.25,0.01,95.41284404,100,73.88059701,44.95412844,Random Forest
40,Random Forest,0.85,0.3,0.01,94.75753604,100,70.14925373,49.14809961,Random Forest
41,Random Forest,0.85,0.4,0.01,96.98558322,100,82.8358209,60.15727392,Random Forest
42,Random Forest,0.85,0.1,0.03,92.39842726,100,56.71641791,28.70249017,Random Forest
43,Random Forest,0.85,0.15,0.03,93.05373526,100,60.44776119,33.94495413,Random Forest
44,Random Forest,0.85,0.2,0.03,94.49541284,100,68.65671642,40.49803408,Random Forest
45,Random Forest,0.85,0.25,0.03,95.67496723,100,75.37313433,46.65792923,Random Forest
46,Random Forest,0.85,0.3,0.03,95.28178244,100,73.13432836,51.11402359,Random Forest
47,Random Forest,0.85,0.4,0.03,97.50982962,100,85.82089552,61.33682831,Random Forest
48,Random Forest,0.85,0.1,0.05,93.31585845,100,61.94029851,32.76539974,Random Forest
49,Random Forest,0.85,0.15,0.05,93.57798165,100,63.43283582,35.64875491,Random Forest
50,Random Forest,0.85,0.2,0.05,94.62647444,100,69.40298507,41.15334207,Random Forest
51,Random Forest,0.85,0.25,0.05,95.80602883,100,76.11940299,48.23066841,Random Forest
52,Random Forest,0.85,0.3,0.05,95.41284404,100,73.88059701,52.81782438,Random Forest
53,Random Forest,0.85,0.4,0.05,97.24770642,100,84.32835821,61.9921363,Random Forest
54,Random Forest,0.85,0.1,0.08,93.57798165,100,63.43283582,33.15858453,Random Forest
55,Random Forest,0.85,0.15,0.08,94.23328965,100,67.1641791,37.6146789,Random Forest
56,Random Forest,0.85,0.2,0.08,95.15072084,100,72.3880597,42.72608126,Random Forest
57,Random Forest,0.85,0.25,0.08,95.54390564,100,74.62686567,47.96854522,Random Forest
58,Random Forest,0.85,0.3,0.08,95.28178244,100,73.13432836,52.68676278,Random Forest
59,Random Forest,0.85,0.4,0.08,98.03407602,100,88.80597015,63.56487549,Random Forest
60,Random Forest,0.85,0.1,0.1,93.57798165,100,63.43283582,33.94495413,Random Forest
61,Random Forest,0.85,0.15,0.1,94.23328965,100,67.1641791,37.6146789,Random Forest
62,Random Forest,0.85,0.2,0.1,95.15072084,100,72.3880597,43.38138925,Random Forest
63,Random Forest,0.85,0.25,0.1,95.67496723,100,75.37313433,49.14809961,Random Forest
64,Random Forest,0.85,0.3,0.1,95.93709043,100,76.86567164,54.52162516,Random Forest
65,Random Forest,0.85,0.4,0.1,97.64089122,100,86.56716418,63.30275229,Random Forest
66,Random Forest,0.85,0.1,0.15,94.49541284,100,68.65671642,36.30406291,Random Forest
67,Random Forest,0.85,0.15,0.15,94.88859764,100,70.89552239,39.84272608,Random Forest
68,Random Forest,0.85,0.2,0.15,95.80602883,100,76.11940299,46.00262123,Random Forest
69,Random Forest,0.85,0.25,0.15,95.93709043,100,76.86567164,50.1965924,Random Forest
70,Random Forest,0.85,0.3,0.15,96.46133683,100,79.85074627,55.70117955,Random Forest
71,Random Forest,0.85,0.4,0.15,98.03407602,100,88.80597015,64.08912189,Random Forest
72,Random Forest,0.9,0.1,0.01,93.70904325,100,64.17910448,32.11009174,Random Forest
73,Random Forest,0.9,0.15,0.01,93.97116645,100,65.67164179,37.7457405,Random Forest
74,Random Forest,0.9,0.2,0.01,95.28178244,100,73.13432836,45.08519004,Random Forest
75,Random Forest,0.9,0.25,0.01,95.80602883,100,76.11940299,49.9344692,Random Forest
76,Random Forest,0.9,0.3,0.01,96.59239843,100,80.59701493,56.88073394,Random Forest
77,Random Forest,0.9,0.4,0.01,97.90301442,100,88.05970149,65.00655308,Random Forest
78,Random Forest,0.9,0.1,0.03,93.97116645,100,65.67164179,35.38663172,Random Forest
79,Random Forest,0.9,0.15,0.03,94.36435125,100,67.91044776,40.10484928,Random Forest
80,Random Forest,0.9,0.2,0.03,96.19921363,100,78.35820896,47.31323722,Random Forest
81,Random Forest,0.9,0.25,0.03,96.19921363,100,78.35820896,51.50720839,Random Forest
82,Random Forest,0.9,0.3,0.03,97.24770642,100,84.32835821,59.37090433,Random Forest
83,Random Forest,0.9,0.4,0.03,98.16513761,100,89.55223881,66.05504587,Random Forest
84,Random Forest,0.9,0.1,0.05,95.01965924,100,71.64179104,38.53211009,Random Forest
85,Random Forest,0.9,0.15,0.05,94.88859764,100,70.89552239,41.28440367,Random Forest
86,Random Forest,0.9,0.2,0.05,96.06815203,100,77.6119403,48.75491481,Random Forest
87,Random Forest,0.9,0.25,0.05,96.59239843,100,80.59701493,53.07994758,Random Forest
88,Random Forest,0.9,0.3,0.05,97.37876802,100,85.07462687,60.28833552,Random Forest
89,Random Forest,0.9,0.4,0.05,98.29619921,100,90.29850746,67.10353866,Random Forest
90,Random Forest,0.9,0.1,0.08,94.23328965,100,67.1641791,38.0078637,Random Forest
91,Random Forest,0.9,0.15,0.08,95.28178244,100,73.13432836,44.03669725,Random Forest
92,Random Forest,0.9,0.2,0.08,96.72346003,100,81.34328358,51.11402359,Random Forest
93,Random Forest,0.9,0.25,0.08,96.85452163,100,82.08955224,54.78374836,Random Forest
94,Random Forest,0.9,0.3,0.08,97.37876802,100,85.07462687,61.59895151,Random Forest
95,Random Forest,0.9,0.4,0.08,98.42726081,100,91.04477612,68.41415465,Random Forest
96,Random Forest,0.9,0.1,0.1,95.01965924,100,71.64179104,40.49803408,Random Forest
97,Random Forest,0.9,0.15,0.1,95.54390564,100,74.62686567,44.56094364,Random Forest
98,Random Forest,0.9,0.2,0.1,96.72346003,100,81.34328358,52.16251638,Random Forest
99,Random Forest,0.9,0.25,0.1,96.98558322,100,82.8358209,54.91480996,Random Forest
100,Random Forest,0.9,0.3,0.1,96.98558322,100,82.8358209,61.59895151,Random Forest
101,Random Forest,0.9,0.4,0.1,98.42726081,100,91.04477612,68.41415465,Random Forest
102,Random Forest,0.9,0.1,0.15,95.15072084,100,72.3880597,43.11926606,Random Forest
103,Random Forest,0.9,0.15,0.15,95.28178244,100,73.13432836,46.00262123,Random Forest
104,Random Forest,0.9,0.2,0.15,97.24770642,100,84.32835821,55.17693316,Random Forest
105,Random Forest,0.9,0.25,0.15,97.11664482,100,83.58208955,57.27391874,Random Forest
106,Random Forest,0.9,0.3,0.15,97.64089122,100,86.56716418,63.43381389,Random Forest
107,Random Forest,0.9,0.4,0.15,98.55832241,100,91.79104478,69.59370904,Random Forest
108,Random Forest,0.95,0.1,0.01,95.01965924,100,71.64179104,41.54652687,Random Forest
109,Random Forest,0.95,0.15,0.01,95.67496723,100,75.37313433,46.65792923,Random Forest
110,Random Forest,0.95,0.2,0.01,96.85452163,100,82.08955224,55.17693316,Random Forest
111,Random Forest,0.95,0.25,0.01,97.24770642,100,84.32835821,58.97771953,Random Forest
112,Random Forest,0.95,0.3,0.01,97.37876802,100,85.07462687,65.00655308,Random Forest
113,Random Forest,0.95,0.4,0.01,98.55832241,100,91.79104478,71.69069463,Random Forest
114,Random Forest,0.95,0.1,0.03,96.19921363,100,78.35820896,47.83748362,Random Forest
115,Random Forest,0.95,0.15,0.03,96.46133683,100,79.85074627,49.9344692,Random Forest
116,Random Forest,0.95,0.2,0.03,97.37876802,100,85.07462687,58.84665793,Random Forest
117,Random Forest,0.95,0.25,0.03,97.64089122,100,86.56716418,62.7785059,Random Forest
118,Random Forest,0.95,0.3,0.03,97.90301442,100,88.05970149,67.36566186,Random Forest
119,Random Forest,0.95,0.4,0.03,98.55832241,100,91.79104478,72.87024902,Random Forest
120,Random Forest,0.95,0.1,0.05,96.46133683,100,79.85074627,48.49279161,Random Forest
121,Random Forest,0.95,0.15,0.05,96.72346003,100,81.34328358,52.42463958,Random Forest
122,Random Forest,0.95,0.2,0.05,98.03407602,100,88.80597015,61.33682831,Random Forest
123,Random Forest,0.95,0.25,0.05,97.77195282,100,87.31343284,64.61336828,Random Forest
124,Random Forest,0.95,0.3,0.05,97.64089122,100,86.56716418,67.75884666,Random Forest
125,Random Forest,0.95,0.4,0.05,98.42726081,100,91.04477612,74.5740498,Random Forest
126,Random Forest,0.95,0.1,0.08,96.98558322,100,82.8358209,52.68676278,Random Forest
127,Random Forest,0.95,0.15,0.08,96.59239843,100,80.59701493,55.57011796,Random Forest
128,Random Forest,0.95,0.2,0.08,97.64089122,100,86.56716418,63.30275229,Random Forest
129,Random Forest,0.95,0.25,0.08,98.03407602,100,88.80597015,65.00655308,Random Forest
130,Random Forest,0.95,0.3,0.08,98.16513761,100,89.55223881,70.11795544,Random Forest
131,Random Forest,0.95,0.4,0.08,98.95150721,100,94.02985075,75.0982962,Random Forest
132,Random Forest,0.95,0.1,0.1,97.37876802,100,85.07462687,55.04587156,Random Forest
133,Random Forest,0.95,0.15,0.1,96.98558322,100,82.8358209,56.88073394,Random Forest
134,Random Forest,0.95,0.2,0.1,98.16513761,100,89.55223881,65.13761468,Random Forest
135,Random Forest,0.95,0.25,0.1,98.16513761,100,89.55223881,66.97247706,Random Forest
136,Random Forest,0.95,0.3,0.1,98.29619921,100,90.29850746,69.46264744,Random Forest
137,Random Forest,0.95,0.4,0.1,98.82044561,100,93.28358209,76.80209699,Random Forest
138,Random Forest,0.95,0.1,0.15,97.24770642,100,84.32835821,58.58453473,Random Forest
139,Random Forest,0.95,0.15,0.15,97.37876802,100,85.07462687,60.41939712,Random Forest
140,Random Forest,0.95,0.2,0.15,97.90301442,100,88.05970149,65.00655308,Random Forest
141,Random Forest,0.95,0.25,0.15,98.29619921,100,90.29850746,67.62778506,Random Forest
142,Random Forest,0.95,0.3,0.15,98.29619921,100,90.29850746,69.98689384,Random Forest
143,Random Forest,0.95,0.4,0.15,98.82044561,100,93.28358209,77.85058978,Random Forest
144,Random Forest,0.99,0.1,0.01,98.16513761,100,89.55223881,68.28309305,Random Forest
145,Random Forest,0.99,0.15,0.01,98.55832241,100,91.79104478,73.52555701,Random Forest
146,Random Forest,0.99,0.2,0.01,99.21363041,100,95.52238806,80.73394495,Random Forest
147,Random Forest,0.99,0.25,0.01,99.21363041,100,95.52238806,80.60288336,Random Forest
148,Random Forest,0.99,0.3,0.01,99.6068152,100,97.76119403,81.91349934,Random Forest
149,Random Forest,0.99,0.4,0.01,99.4757536,100,97.01492537,84.53473132,Random Forest
150,Random Forest,0.99,0.1,0.03,98.55832241,100,91.79104478,75.0982962,Random Forest
151,Random Forest,0.99,0.15,0.03,98.82044561,100,93.28358209,76.27785059,Random Forest
152,Random Forest,0.99,0.2,0.03,99.4757536,100,97.01492537,83.74836173,Random Forest
153,Random Forest,0.99,0.25,0.03,99.4757536,100,97.01492537,83.35517693,Random Forest
154,Random Forest,0.99,0.3,0.03,99.4757536,100,97.01492537,84.27260813,Random Forest
155,Random Forest,0.99,0.4,0.03,99.6068152,100,97.76119403,86.63171691,Random Forest
156,Random Forest,0.99,0.1,0.05,98.95150721,100,94.02985075,77.45740498,Random Forest
157,Random Forest,0.99,0.15,0.05,99.08256881,100,94.7761194,79.94757536,Random Forest
158,Random Forest,0.99,0.2,0.05,99.4757536,100,97.01492537,84.79685452,Random Forest
159,Random Forest,0.99,0.25,0.05,99.4757536,100,97.01492537,84.66579292,Random Forest
160,Random Forest,0.99,0.3,0.05,99.6068152,100,97.76119403,86.50065531,Random Forest
161,Random Forest,0.99,0.4,0.05,99.8689384,100,99.25373134,89.25294889,Random Forest
162,Random Forest,0.99,0.1,0.08,98.95150721,100,94.02985075,79.03014417,Random Forest
163,Random Forest,0.99,0.15,0.08,98.95150721,100,94.02985075,79.68545216,Random Forest
164,Random Forest,0.99,0.2,0.08,99.6068152,100,97.76119403,85.84534731,Random Forest
165,Random Forest,0.99,0.25,0.08,99.4757536,100,97.01492537,85.97640891,Random Forest
166,Random Forest,0.99,0.3,0.08,99.7378768,100,98.50746269,87.4180865,Random Forest
167,Random Forest,0.99,0.4,0.08,99.7378768,100,98.50746269,89.77719528,Random Forest
168,Random Forest,0.99,0.1,0.1,98.95150721,100,94.02985075,79.16120577,Random Forest
169,Random Forest,0.99,0.15,0.1,99.08256881,100,94.7761194,82.04456094,Random Forest
170,Random Forest,0.99,0.2,0.1,99.8689384,100,99.25373134,87.6802097,Random Forest
171,Random Forest,0.99,0.25,0.1,99.7378768,100,98.50746269,87.2870249,Random Forest
172,Random Forest,0.99,0.3,0.1,99.6068152,100,97.76119403,87.2870249,Random Forest
173,Random Forest,0.99,0.4,0.1,99.8689384,100,99.25373134,89.90825688,Random Forest
174,Random Forest,0.99,0.1,0.15,99.08256881,100,94.7761194,80.47182176,Random Forest
175,Random Forest,0.99,0.15,0.15,98.95150721,100,94.02985075,81.78243775,Random Forest
176,Random Forest,0.99,0.2,0.15,99.8689384,100,99.25373134,88.59764089,Random Forest
177,Random Forest,0.99,0.25,0.15,99.7378768,100,98.50746269,87.5491481,Random Forest
178,Random Forest,0.99,0.3,0.15,99.6068152,100,97.76119403,88.85976409,Random Forest
179,Random Forest,0.99,0.4,0.15,100,100,100,90.82568807,Random Forest
