,model,threshold,split_1,split_2,accuracy,precision,recall,human effort,name
0,SVM,0.8,0.1,0.01,89.12188729,94.73684211,40.29850746,17.16906946,SVM
1,SVM,0.8,0.15,0.01,84.92791612,100,14.17910448,15.85845347,SVM
2,SVM,0.8,0.2,0.01,88.46657929,96,35.82089552,22.67365662,SVM
3,SVM,0.8,0.25,0.01,87.6802097,97.61904762,30.59701493,25.95019659,SVM
4,SVM,0.8,0.3,0.01,87.6802097,100,29.85074627,30.66841415,SVM
5,SVM,0.8,0.4,0.01,92.92267366,96.51162791,61.94029851,44.82306684,SVM
6,SVM,0.8,0.1,0.03,89.51507208,96.55172414,41.79104478,19.65923984,SVM
7,SVM,0.8,0.15,0.03,89.51507208,98.21428571,41.04477612,24.6395806,SVM
8,SVM,0.8,0.2,0.03,89.25294889,98.14814815,39.55223881,24.11533421,SVM
9,SVM,0.8,0.25,0.03,87.1559633,100,26.86567164,25.68807339,SVM
10,SVM,0.8,0.3,0.03,86.8938401,100,25.37313433,29.88204456,SVM
11,SVM,0.8,0.4,0.03,93.70904325,96.73913043,66.41791045,47.70642202,SVM
12,SVM,0.8,0.1,0.05,90.56356488,95.58823529,48.50746269,23.06684142,SVM
13,SVM,0.8,0.15,0.05,89.51507208,96.55172414,41.79104478,24.24639581,SVM
14,SVM,0.8,0.2,0.05,86.63171691,100,23.88059701,20.96985583,SVM
15,SVM,0.8,0.25,0.05,87.1559633,100,26.86567164,25.68807339,SVM
16,SVM,0.8,0.3,0.05,88.99082569,100,37.31343284,31.84796855,SVM
17,SVM,0.8,0.4,0.05,93.44692005,97.72727273,64.17910448,47.05111402,SVM
18,SVM,0.8,0.1,0.08,89.64613368,96.61016949,42.53731343,20.83879423,SVM
19,SVM,0.8,0.15,0.08,89.77719528,98.27586207,42.53731343,25.163827,SVM
20,SVM,0.8,0.2,0.08,85.58322412,100,17.91044776,19.92136304,SVM
21,SVM,0.8,0.25,0.08,90.03931848,100,43.28358209,29.61992136,SVM
22,SVM,0.8,0.3,0.08,87.8112713,100,30.59701493,30.79947575,SVM
23,SVM,0.8,0.4,0.08,93.84010485,100,64.92537313,48.23066841,SVM
24,SVM,0.8,0.1,0.1,90.69462647,95.65217391,49.25373134,23.32896461,SVM
25,SVM,0.8,0.15,0.1,88.33551769,100,33.58208955,21.75622543,SVM
26,SVM,0.8,0.2,0.1,87.1559633,100,26.86567164,21.62516383,SVM
27,SVM,0.8,0.25,0.1,88.46657929,100,34.32835821,27.39187418,SVM
28,SVM,0.8,0.3,0.1,87.6802097,100,29.85074627,30.66841415,SVM
29,SVM,0.8,0.4,0.1,93.97116645,100,65.67164179,48.49279161,SVM
30,SVM,0.8,0.1,0.15,91.21887287,100,50,24.9017038,SVM
31,SVM,0.8,0.15,0.15,87.9423329,100,31.34328358,20.83879423,SVM
32,SVM,0.8,0.2,0.15,87.5491481,100,29.10447761,22.41153342,SVM
33,SVM,0.8,0.25,0.15,87.1559633,100,26.86567164,25.68807339,SVM
34,SVM,0.8,0.3,0.15,86.8938401,100,25.37313433,30.01310616,SVM
35,SVM,0.8,0.4,0.15,94.36435125,97.89473684,69.40298507,49.672346,SVM
36,SVM,0.85,0.1,0.01,92.66055046,97.56097561,59.70149254,31.06159895,SVM
37,SVM,0.85,0.15,0.01,92.79161206,96.47058824,61.19402985,32.24115334,SVM
38,SVM,0.85,0.2,0.01,94.75753604,97.95918367,71.64179104,40.23591088,SVM
39,SVM,0.85,0.25,0.01,93.44692005,97.72727273,64.17910448,40.10484928,SVM
40,SVM,0.85,0.3,0.01,87.0249017,100,26.11940299,30.79947575,SVM
41,SVM,0.85,0.4,0.01,95.80602883,97.22222222,78.35820896,52.94888598,SVM
42,SVM,0.85,0.1,0.03,92.52948886,96.38554217,59.70149254,30.53735256,SVM
43,SVM,0.85,0.15,0.03,95.67496723,97.19626168,77.6119403,46.65792923,SVM
44,SVM,0.85,0.2,0.03,95.01965924,98,73.13432836,42.59501966,SVM
45,SVM,0.85,0.25,0.03,88.99082569,100,37.31343284,30.40629096,SVM
46,SVM,0.85,0.3,0.03,89.77719528,98.27586207,42.53731343,33.15858453,SVM
47,SVM,0.85,0.4,0.03,96.33027523,97.32142857,81.34328358,53.60419397,SVM
48,SVM,0.85,0.1,0.05,93.70904325,97.77777778,65.67164179,33.55176933,SVM
49,SVM,0.85,0.15,0.05,94.23328965,97.87234043,68.65671642,38.13892529,SVM
50,SVM,0.85,0.2,0.05,94.88859764,97.97979798,72.3880597,43.77457405,SVM
51,SVM,0.85,0.25,0.05,95.15072084,98.01980198,73.88059701,42.59501966,SVM
52,SVM,0.85,0.3,0.05,87.4180865,100,28.35820896,34.99344692,SVM
53,SVM,0.85,0.4,0.05,95.67496723,98.0952381,76.86567164,52.94888598,SVM
54,SVM,0.85,0.1,0.08,92.79161206,98.7654321,59.70149254,30.93053735,SVM
55,SVM,0.85,0.15,0.08,92.92267366,97.61904762,61.19402985,33.55176933,SVM
56,SVM,0.85,0.2,0.08,90.43250328,100,45.52238806,32.37221494,SVM
57,SVM,0.85,0.25,0.08,95.93709043,98.13084112,78.35820896,46.52686763,SVM
58,SVM,0.85,0.3,0.08,86.8938401,100,25.37313433,30.01310616,SVM
59,SVM,0.85,0.4,0.08,96.98558322,98.26086957,84.32835821,55.70117955,SVM
60,SVM,0.85,0.1,0.1,92.92267366,94.44444444,63.43283582,31.71690695,SVM
61,SVM,0.85,0.15,0.1,94.88859764,97.97979798,72.3880597,41.41546527,SVM
62,SVM,0.85,0.2,0.1,91.87418087,100,53.73134328,36.69724771,SVM
63,SVM,0.85,0.25,0.1,97.50982962,98.31932773,87.31343284,58.97771953,SVM
64,SVM,0.85,0.3,0.1,90.43250328,100,45.52238806,34.20707733,SVM
65,SVM,0.85,0.4,0.1,96.85452163,98.24561404,83.58208955,55.96330275,SVM
66,SVM,0.85,0.1,0.15,92.39842726,98.71794872,57.46268657,29.22673657,SVM
67,SVM,0.85,0.15,0.15,93.31585845,97.70114943,63.43283582,34.20707733,SVM
68,SVM,0.85,0.2,0.15,98.16513761,99.18032787,90.29850746,62.7785059,SVM
69,SVM,0.85,0.25,0.15,96.19921363,98.16513761,79.85074627,49.5412844,SVM
70,SVM,0.85,0.3,0.15,91.08781127,100,49.25373134,35.51769332,SVM
71,SVM,0.85,0.4,0.15,96.72346003,98.2300885,82.8358209,55.04587156,SVM
72,SVM,0.9,0.1,0.01,96.06815203,99.05660377,78.35820896,48.09960682,SVM
73,SVM,0.9,0.15,0.01,99.4757536,98.50746269,98.50746269,77.06422018,SVM
74,SVM,0.9,0.2,0.01,99.21363041,97.76119403,97.76119403,81.65137615,SVM
75,SVM,0.9,0.25,0.01,99.08256881,97.7443609,97.01492537,80.34076016,SVM
76,SVM,0.9,0.3,0.01,99.34469201,97.77777778,98.50746269,83.09305374,SVM
77,SVM,0.9,0.4,0.01,99.21363041,97.76119403,97.76119403,82.30668414,SVM
78,SVM,0.9,0.1,0.03,95.41284404,99.00990099,74.62686567,42.98820446,SVM
79,SVM,0.9,0.15,0.03,99.4757536,98.50746269,98.50746269,87.6802097,SVM
80,SVM,0.9,0.2,0.03,99.34469201,97.77777778,98.50746269,84.14154653,SVM
81,SVM,0.9,0.25,0.03,99.21363041,97.76119403,97.76119403,82.17562254,SVM
82,SVM,0.9,0.3,0.03,99.4757536,98.50746269,98.50746269,87.0249017,SVM
83,SVM,0.9,0.4,0.03,99.6068152,98.51851852,99.25373134,87.0249017,SVM
84,SVM,0.9,0.1,0.05,95.67496723,99.02912621,76.11940299,46.26474443,SVM
85,SVM,0.9,0.15,0.05,99.6068152,99.2481203,98.50746269,74.04980341,SVM
86,SVM,0.9,0.2,0.05,99.4757536,97.79411765,99.25373134,86.36959371,SVM
87,SVM,0.9,0.25,0.05,99.4757536,98.50746269,98.50746269,87.0249017,SVM
88,SVM,0.9,0.3,0.05,99.21363041,97.76119403,97.76119403,82.69986894,SVM
89,SVM,0.9,0.4,0.05,99.6068152,99.2481203,98.50746269,85.97640891,SVM
90,SVM,0.9,0.1,0.08,97.77195282,97.56097561,89.55223881,53.60419397,SVM
91,SVM,0.9,0.15,0.08,99.6068152,98.51851852,99.25373134,87.2870249,SVM
92,SVM,0.9,0.2,0.08,99.08256881,97.7443609,97.01492537,83.74836173,SVM
93,SVM,0.9,0.25,0.08,99.6068152,98.51851852,99.25373134,90.17038008,SVM
94,SVM,0.9,0.3,0.08,99.8689384,99.25925926,100,90.17038008,SVM
95,SVM,0.9,0.4,0.08,99.6068152,99.2481203,98.50746269,85.71428571,SVM
96,SVM,0.9,0.1,0.1,98.16513761,99.18032787,90.29850746,57.01179554,SVM
97,SVM,0.9,0.15,0.1,99.6068152,99.2481203,98.50746269,81.52031455,SVM
98,SVM,0.9,0.2,0.1,99.34469201,97.77777778,98.50746269,86.36959371,SVM
99,SVM,0.9,0.25,0.1,99.8689384,99.25925926,100,90.69462647,SVM
100,SVM,0.9,0.3,0.1,99.4757536,98.50746269,98.50746269,87.1559633,SVM
101,SVM,0.9,0.4,0.1,99.21363041,97.76119403,97.76119403,83.09305374,SVM
102,SVM,0.9,0.1,0.15,98.68938401,100,92.53731343,60.15727392,SVM
103,SVM,0.9,0.15,0.15,99.7378768,98.52941176,100,87.5491481,SVM
104,SVM,0.9,0.2,0.15,99.8689384,99.25925926,100,89.90825688,SVM
105,SVM,0.9,0.25,0.15,99.4757536,98.50746269,98.50746269,86.23853211,SVM
106,SVM,0.9,0.3,0.15,99.34469201,97.77777778,98.50746269,85.05897772,SVM
107,SVM,0.9,0.4,0.15,99.34469201,97.77777778,98.50746269,88.33551769,SVM
108,SVM,0.95,0.1,0.01,99.7378768,98.52941176,100,94.23328965,SVM
109,SVM,0.95,0.15,0.01,99.7378768,98.52941176,100,99.21363041,SVM
110,SVM,0.95,0.2,0.01,99.7378768,98.52941176,100,99.08256881,SVM
111,SVM,0.95,0.25,0.01,99.6068152,97.81021898,100,98.82044561,SVM
