,model,threshold,split_1,split_2,accuracy,precision,recall,human effort
0,Decision Tree,0.8,0.1,0.01,79.03430749682337,88.03556992724333,85.68056648308419,9.974587039390089
1,Decision Tree,0.8,0.15,0.01,79.35196950444727,87.6592356687898,86.62470495672699,14.993646759847522
2,Decision Tree,0.8,0.2,0.01,80.24142312579416,88.83495145631068,86.38867033831629,19.949174078780178
3,Decision Tree,0.8,0.25,0.01,82.0838627700127,90.2359641985354,87.25413060582218,24.968233799237613
4,Decision Tree,0.8,0.3,0.01,81.76620076238882,89.6774193548387,87.49016522423288,29.987293519695044
5,Decision Tree,0.8,0.4,0.01,85.06988564167726,92.38952536824877,88.82769472856019,39.96188055908513
6,Decision Tree,0.8,0.1,0.03,78.01778907242694,88.25475599669149,83.94964594807239,9.974587039390089
7,Decision Tree,0.8,0.15,0.03,80.05082592121983,87.94607454401269,87.25413060582218,14.993646759847522
8,Decision Tree,0.8,0.2,0.03,79.8602287166455,89.61794019933555,84.89378442171518,19.949174078780178
9,Decision Tree,0.8,0.25,0.03,81.57560355781449,90.30402629416598,86.46734854445319,24.968233799237613
10,Decision Tree,0.8,0.3,0.03,82.52858958068614,90.16129032258064,87.9622344610543,29.987293519695044
11,Decision Tree,0.8,0.4,0.03,85.95933926302415,92.6829268292683,89.69315499606608,39.96188055908513
12,Decision Tree,0.8,0.1,0.05,78.1448538754765,88.21104699093158,84.18568056648309,9.974587039390089
13,Decision Tree,0.8,0.15,0.05,80.1143583227446,88.01587301587301,87.25413060582218,14.993646759847522
14,Decision Tree,0.8,0.2,0.05,79.73316391359593,89.46932006633499,84.89378442171518,19.949174078780178
15,Decision Tree,0.8,0.25,0.05,81.44853875476493,90.09009009009009,86.54602675059009,24.968233799237613
16,Decision Tree,0.8,0.3,0.05,82.46505717916138,90.02413515687851,88.0409126671912,29.987293519695044
17,Decision Tree,0.8,0.4,0.05,84.62515883100382,92.34567901234568,88.27694728560189,39.96188055908513
18,Decision Tree,0.8,0.1,0.08,78.27191867852605,88.10500410172273,84.50039339103068,9.974587039390089
19,Decision Tree,0.8,0.15,0.08,80.30495552731894,87.56841282251759,88.1195908733281,14.993646759847522
20,Decision Tree,0.8,0.2,0.08,80.24142312579416,89.08794788273616,86.07395751376869,19.949174078780178
21,Decision Tree,0.8,0.25,0.08,81.57560355781449,90.04081632653062,86.78206136900079,24.968233799237613
22,Decision Tree,0.8,0.3,0.08,82.27445997458705,90.06462035541196,87.72619984264358,29.987293519695044
23,Decision Tree,0.8,0.4,0.08,85.57814485387547,92.37012987012987,89.53579858379229,39.96188055908513
24,Decision Tree,0.8,0.1,0.1,78.78017789072427,88.24489795918367,85.05114083398898,9.974587039390089
25,Decision Tree,0.8,0.15,0.1,80.49555273189327,87.597503900156,88.35562549173879,14.993646759847522
26,Decision Tree,0.8,0.2,0.1,81.06734434561626,89.4566098945661,86.78206136900079,19.949174078780178
