,model,threshold,split_1,split_2,accuracy,precision,recall,human effort
144,Logistic Regression,0.99,0.1,0.01,100,100,100,100
145,Logistic Regression,0.99,0.15,0.01,100,100,100,100
146,Logistic Regression,0.99,0.2,0.01,100,100,100,100
147,Logistic Regression,0.99,0.25,0.01,100,100,100,100
148,Logistic Regression,0.99,0.3,0.01,100,100,100,100
149,Logistic Regression,0.99,0.4,0.01,100,100,100,100
150,Logistic Regression,0.99,0.1,0.03,100,100,100,100
151,Logistic Regression,0.99,0.15,0.03,100,100,100,100
152,Logistic Regression,0.99,0.2,0.03,100,100,100,100
153,Logistic Regression,0.99,0.25,0.03,100,100,100,100
154,Logistic Regression,0.99,0.3,0.03,100,100,100,100
155,Logistic Regression,0.99,0.4,0.03,100,100,100,100
156,Logistic Regression,0.99,0.1,0.05,100,100,100,100
157,Logistic Regression,0.99,0.15,0.05,100,100,100,100
158,Logistic Regression,0.99,0.2,0.05,100,100,100,100
159,Logistic Regression,0.99,0.25,0.05,100,100,100,100
160,Logistic Regression,0.99,0.3,0.05,100,100,100,100
161,Logistic Regression,0.99,0.4,0.05,100,100,100,100
162,Logistic Regression,0.99,0.1,0.08,100,100,100,100
163,Logistic Regression,0.99,0.15,0.08,100,100,100,100
164,Logistic Regression,0.99,0.2,0.08,100,100,100,100
165,Logistic Regression,0.99,0.25,0.08,100,100,100,100
166,Logistic Regression,0.99,0.3,0.08,100,100,100,100
167,Logistic Regression,0.99,0.4,0.08,100,100,100,100
168,Logistic Regression,0.99,0.1,0.1,100,100,100,100
169,Logistic Regression,0.99,0.15,0.1,100,100,100,100
170,Logistic Regression,0.99,0.2,0.1,100,100,100,100
171,Logistic Regression,0.99,0.25,0.1,100,100,100,100
172,Logistic Regression,0.99,0.3,0.1,100,100,100,100
173,Logistic Regression,0.99,0.4,0.1,100,100,100,100
174,Logistic Regression,0.99,0.1,0.15,100,100,100,100
175,Logistic Regression,0.99,0.15,0.15,100,100,100,100
176,Logistic Regression,0.99,0.2,0.15,100,100,100,100
177,Logistic Regression,0.99,0.25,0.15,100,100,100,100
178,Logistic Regression,0.99,0.3,0.15,100,100,100,100
179,Logistic Regression,0.99,0.4,0.15,100,100,100,100
112,Logistic Regression,0.95,0.3,0.01,99.9364676,99.92138365,100,99.30114358
113,Logistic Regression,0.95,0.4,0.01,99.9364676,99.92138365,100,99.42820839
118,Logistic Regression,0.95,0.3,0.03,99.9364676,99.92138365,100,99.36467598
119,Logistic Regression,0.95,0.4,0.03,99.9364676,99.92138365,100,99.42820839
124,Logistic Regression,0.95,0.3,0.05,99.9364676,99.92138365,100,99.42820839
125,Logistic Regression,0.95,0.4,0.05,99.9364676,99.92138365,100,99.42820839
130,Logistic Regression,0.95,0.3,0.08,99.9364676,99.92138365,100,99.36467598
131,Logistic Regression,0.95,0.4,0.08,99.9364676,99.92138365,100,99.49174079
136,Logistic Regression,0.95,0.3,0.1,99.9364676,99.92138365,100,99.42820839
137,Logistic Regression,0.95,0.4,0.1,99.9364676,99.92138365,100,99.55527319
142,Logistic Regression,0.95,0.3,0.15,99.9364676,99.92138365,100,99.42820839
143,Logistic Regression,0.95,0.4,0.15,99.9364676,99.92138365,100,99.61880559
111,Logistic Regression,0.95,0.25,0.01,99.8094028,99.76452119,100,98.28462516
117,Logistic Regression,0.95,0.25,0.03,99.8094028,99.76452119,100,98.34815756
123,Logistic Regression,0.95,0.25,0.05,99.8094028,99.76452119,100,98.60228717
129,Logistic Regression,0.95,0.25,0.08,99.8094028,99.76452119,100,98.60228717
135,Logistic Regression,0.95,0.25,0.1,99.8094028,99.76452119,100,98.72935197
141,Logistic Regression,0.95,0.25,0.15,99.8094028,99.76452119,100,98.72935197
116,Logistic Regression,0.95,0.2,0.03,99.55527319,99.45226917,100,95.36213469
122,Logistic Regression,0.95,0.2,0.05,99.55527319,99.45226917,100,95.36213469
128,Logistic Regression,0.95,0.2,0.08,99.55527319,99.45226917,100,95.36213469
134,Logistic Regression,0.95,0.2,0.1,99.55527319,99.45226917,100,95.36213469
140,Logistic Regression,0.95,0.2,0.15,99.55527319,99.45226917,100,95.36213469
110,Logistic Regression,0.95,0.2,0.01,99.49174079,99.37451134,100,94.28208386
126,Logistic Regression,0.95,0.1,0.08,99.49174079,99.37451134,100,93.71029225
138,Logistic Regression,0.95,0.1,0.15,99.49174079,99.37451134,100,93.71029225
132,Logistic Regression,0.95,0.1,0.1,99.42820839,99.296875,100,92.82083863
114,Logistic Regression,0.95,0.1,0.03,99.30114358,99.14196568,100,91.29606099
109,Logistic Regression,0.95,0.15,0.01,99.11054638,98.91050584,100,90.02541296
115,Logistic Regression,0.95,0.15,0.03,99.11054638,98.91050584,100,90.15247776
120,Logistic Regression,0.95,0.1,0.05,99.11054638,98.91050584,100,89.77128335
121,Logistic Regression,0.95,0.15,0.05,99.11054638,98.91050584,100,90.02541296
127,Logistic Regression,0.95,0.15,0.08,99.11054638,98.91050584,100,90.21601017
133,Logistic Regression,0.95,0.15,0.1,99.11054638,98.91050584,100,90.21601017
139,Logistic Regression,0.95,0.15,0.15,99.11054638,98.91050584,100,90.21601017
108,Logistic Regression,0.95,0.1,0.01,99.04701398,98.83359253,100,89.32655654
107,Logistic Regression,0.9,0.4,0.15,98.85641677,98.60356866,100,86.08640407
77,Logistic Regression,0.9,0.4,0.01,98.79288437,98.52713178,100,85.19695044
83,Logistic Regression,0.9,0.4,0.03,98.79288437,98.52713178,100,85.26048285
89,Logistic Regression,0.9,0.4,0.05,98.79288437,98.52713178,100,85.45108005
95,Logistic Regression,0.9,0.4,0.08,98.79288437,98.52713178,100,85.51461245
101,Logistic Regression,0.9,0.4,0.1,98.79288437,98.52713178,100,85.70520966
106,Logistic Regression,0.9,0.3,0.15,98.72935197,98.45081332,100,83.4180432
76,Logistic Regression,0.9,0.3,0.01,98.60228717,98.29853055,100,82.40152478
82,Logistic Regression,0.9,0.3,0.03,98.60228717,98.29853055,100,82.65565438
88,Logistic Regression,0.9,0.3,0.05,98.60228717,98.29853055,100,82.84625159
94,Logistic Regression,0.9,0.3,0.08,98.60228717,98.29853055,100,82.78271919
100,Logistic Regression,0.9,0.3,0.1,98.60228717,98.29853055,100,82.90978399
87,Logistic Regression,0.9,0.25,0.05,98.28462516,97.91987673,100,79.2884371
93,Logistic Regression,0.9,0.25,0.08,98.28462516,97.91987673,100,79.47903431
99,Logistic Regression,0.9,0.25,0.1,98.28462516,97.91987673,100,79.47903431
105,Logistic Regression,0.9,0.25,0.15,98.28462516,97.91987673,100,79.73316391
81,Logistic Regression,0.9,0.25,0.03,98.22109276,97.84449577,100,78.65311309
75,Logistic Regression,0.9,0.25,0.01,98.15756036,97.76923077,100,78.08132147
71,Logistic Regression,0.85,0.4,0.15,97.71283355,97.24560061,100,73.88818297
41,Logistic Regression,0.85,0.4,0.01,97.64930114,97.17125382,100,72.99872935
47,Logistic Regression,0.85,0.4,0.03,97.64930114,97.17125382,100,73.12579416
53,Logistic Regression,0.85,0.4,0.05,97.64930114,97.17125382,100,73.25285896
59,Logistic Regression,0.85,0.4,0.08,97.64930114,97.17125382,100,73.37992376
65,Logistic Regression,0.85,0.4,0.1,97.64930114,97.17125382,100,73.44345616
74,Logistic Regression,0.9,0.2,0.01,97.14104193,96.72256098,99.84264359,71.53748412
80,Logistic Regression,0.9,0.2,0.03,97.14104193,96.72256098,99.84264359,71.72808132
86,Logistic Regression,0.9,0.2,0.05,97.14104193,96.72256098,99.84264359,71.66454892
92,Logistic Regression,0.9,0.2,0.08,97.14104193,96.72256098,99.84264359,71.85514612
98,Logistic Regression,0.9,0.2,0.1,97.14104193,96.72256098,99.84264359,71.72808132
104,Logistic Regression,0.9,0.2,0.15,97.14104193,96.72256098,99.84264359,71.91867853
58,Logistic Regression,0.85,0.3,0.08,97.07750953,96.64889566,99.84264359,67.59847522
64,Logistic Regression,0.85,0.3,0.1,97.07750953,96.64889566,99.84264359,68.04320203
70,Logistic Regression,0.85,0.3,0.15,97.07750953,96.64889566,99.84264359,67.97966963
84,Logistic Regression,0.9,0.1,0.05,97.07750953,96.72006102,99.76396538,69.12325286
90,Logistic Regression,0.9,0.1,0.08,97.07750953,96.72006102,99.76396538,68.99618806
96,Logistic Regression,0.9,0.1,0.1,97.07750953,96.72006102,99.76396538,69.18678526
102,Logistic Regression,0.9,0.1,0.15,97.07750953,96.72006102,99.76396538,69.18678526
40,Logistic Regression,0.85,0.3,0.01,97.01397713,96.57534247,99.84264359,67.15374841
46,Logistic Regression,0.85,0.3,0.03,97.01397713,96.57534247,99.84264359,67.15374841
52,Logistic Regression,0.85,0.3,0.05,97.01397713,96.57534247,99.84264359,67.21728081
72,Logistic Regression,0.9,0.1,0.01,96.56925032,96.13343442,99.76396538,66.772554
78,Logistic Regression,0.9,0.1,0.03,96.50571792,96.06060606,99.76396538,66.5819568
91,Logistic Regression,0.9,0.15,0.08,96.50571792,95.99092284,99.84264359,64.54891995
97,Logistic Regression,0.9,0.15,0.1,96.50571792,95.99092284,99.84264359,64.73951715
