,model,threshold,split_1,split_2,accuracy,precision,recall,human effort
0,Random Forest,0.8,0.1,0.01,90.5972045743329,90.3666427030913,98.8985051140834,26.30241423125794
1,Random Forest,0.8,0.15,0.01,91.23252858958068,91.2,98.6624704956727,30.622617534942822
2,Random Forest,0.8,0.2,0.01,91.93138500635324,91.81286549707602,98.81982690794649,35.45108005082592
3,Random Forest,0.8,0.25,0.01,93.51969504447268,93.00956585724798,99.4492525570417,41.04193138500635
4,Random Forest,0.8,0.3,0.01,94.53621346886912,94.05204460966543,99.5279307631786,46.060991105463785
5,Random Forest,0.8,0.4,0.01,96.06099110546378,95.62264150943396,99.6852871754524,54.89199491740788
6,Random Forest,0.8,0.1,0.03,92.24904701397713,91.90371991247265,99.1345397324941,31.00381194409149
7,Random Forest,0.8,0.15,0.03,92.69377382465058,92.18978102189782,99.3705743509048,34.11689961880559
8,Random Forest,0.8,0.2,0.03,92.94790343074968,92.6470588235294,99.1345397324941,38.11944091486658
9,Random Forest,0.8,0.25,0.03,94.09148665819568,93.43657817109144,99.6852871754524,43.01143583227446
10,Random Forest,0.8,0.3,0.03,95.23506988564168,94.56035767511177,99.8426435877262,48.72935196950445
11,Random Forest,0.8,0.4,0.03,95.997458703939,95.61933534743203,99.6066089693155,56.03557814485387
12,Random Forest,0.8,0.1,0.05,92.24904701397713,91.60028964518465,99.5279307631786,31.44853875476493
13,Random Forest,0.8,0.15,0.05,92.56670902160101,92.05539358600583,99.3705743509048,35.45108005082592
14,Random Forest,0.8,0.2,0.05,92.82083862770013,92.57352941176471,99.0558615263572,38.94536213468869
15,Random Forest,0.8,0.25,0.05,94.40914866581957,93.9123979213066,99.5279307631786,44.0279542566709
16,Random Forest,0.8,0.3,0.05,95.48919949174079,94.91017964071857,99.7639653815893,49.87293519695044
17,Random Forest,0.8,0.4,0.05,96.25158831003812,95.7703927492447,99.7639653815893,57.1156289707751
18,Random Forest,0.8,0.1,0.08,92.6302414231258,92.0611798980335,99.4492525570417,34.053367217280815
19,Random Forest,0.8,0.15,0.08,93.07496823379924,92.47076023391813,99.5279307631786,36.53113087674714
20,Random Forest,0.8,0.2,0.08,93.26556543837357,92.79941219691403,99.3705743509048,40.53367217280813
21,Random Forest,0.8,0.25,0.08,94.53621346886912,93.92142327650112,99.6852871754524,45.42566709021601
22,Random Forest,0.8,0.3,0.08,95.55273189326556,94.91398653702319,99.8426435877262,50.635324015247775
23,Random Forest,0.8,0.4,0.08,96.3151207115629,95.77358490566037,99.8426435877262,58.06861499364676
24,Random Forest,0.8,0.1,0.1,93.32909783989835,92.86764705882354,99.3705743509048,35.64167725540025
25,Random Forest,0.8,0.15,0.1,92.94790343074968,92.52199413489735,99.2918961447679,36.975857687420586
26,Random Forest,0.8,0.2,0.1,93.39263024142312,93.06273062730628,99.213217938631,41.550190597204576
27,Random Forest,0.8,0.25,0.1,94.5997458703939,93.92592592592592,99.7639653815893,46.060991105463785
28,Random Forest,0.8,0.3,0.1,95.80686149936467,95.19879969992498,99.8426435877262,51.27064803049555
29,Random Forest,0.8,0.4,0.1,96.63278271918678,96.06656580937972,99.9213217938631,59.0851334180432
30,Random Forest,0.8,0.1,0.15,93.71029224904701,93.08823529411765,99.6066089693155,37.99237611181702
31,Random Forest,0.8,0.15,0.15,93.32909783989835,92.61695906432749,99.6852871754524,38.627700127064806
32,Random Forest,0.8,0.2,0.15,93.83735705209656,93.28908554572271,99.5279307631786,43.202033036848796
33,Random Forest,0.8,0.25,0.15,94.66327827191868,93.93042190969652,99.8426435877262,46.8869123252859
34,Random Forest,0.8,0.3,0.15,95.80686149936467,95.1310861423221,99.9213217938631,52.54129606099111
35,Random Forest,0.8,0.4,0.15,96.63278271918678,96.13636363636364,99.8426435877262,59.52986022871664
36,Random Forest,0.85,0.1,0.01,92.69377382465058,92.18978102189782,99.3705743509048,33.100381194409145
37,Random Forest,0.85,0.15,0.01,92.88437102922491,92.26841721371262,99.5279307631786,36.02287166454892
38,Random Forest,0.85,0.2,0.01,93.64675984752223,92.9567131327953,99.6852871754524,41.93138500635324
39,Random Forest,0.85,0.25,0.01,94.66327827191868,94.06087602078694,99.6852871754524,46.50571791613723
40,Random Forest,0.85,0.3,0.01,95.87039390088945,95.2023988005997,99.9213217938631,52.22363405336722
41,Random Forest,0.85,0.4,0.01,96.75984752223634,96.28224582701063,99.8426435877262,59.97458703939009
42,Random Forest,0.85,0.1,0.03,93.4561626429479,92.81524926686217,99.6066089693155,35.19695044472681
43,Random Forest,0.85,0.15,0.03,93.90088945362135,93.04029304029304,99.9213217938631,39.07242693773825
44,Random Forest,0.85,0.2,0.03,94.09148665819568,93.43657817109144,99.6852871754524,43.96442185514613
45,Random Forest,0.85,0.25,0.03,95.29860228716646,94.49814126394052,100.0,49.364675984752225
46,Random Forest,0.85,0.3,0.03,96.25158831003812,95.63253012048193,99.9213217938631,54.2566709021601
47,Random Forest,0.85,0.4,0.03,97.39517153748412,96.875,100.0,62.00762388818298
48,Random Forest,0.85,0.1,0.05,93.83735705209656,93.03519061583577,99.8426435877262,37.547649301143586
49,Random Forest,0.85,0.15,0.05,94.09148665819568,93.24522760646109,99.9213217938631,40.216010165184244
50,Random Forest,0.85,0.2,0.05,94.28208386277001,93.64375461936437,99.6852871754524,45.1715374841169
51,Random Forest,0.85,0.25,0.05,95.36213468869123,94.56845238095238,100.0,50.12706480304956
52,Random Forest,0.85,0.3,0.05,96.25158831003812,95.56390977443608,100.0,54.637865311308765
53,Random Forest,0.85,0.4,0.05,97.141041931385,96.65144596651446,99.9213217938631,62.19822109275731
54,Random Forest,0.85,0.1,0.08,94.85387547649302,94.07407407407408,99.9213217938631,40.72426937738246
55,Random Forest,0.85,0.15,0.08,94.28208386277001,93.38721528288023,100.0,41.10546378653113
56,Random Forest,0.85,0.2,0.08,94.53621346886912,93.85640266469282,99.7639653815893,46.75984752223634
57,Random Forest,0.85,0.25,0.08,95.67979669631512,94.92158327109783,100.0,51.96950444726811
58,Random Forest,0.85,0.3,0.08,96.50571791613723,95.9214501510574,99.9213217938631,56.92503176620076
59,Random Forest,0.85,0.4,0.08,97.33163913595934,96.8012185833968,100.0,63.786531130876746
60,Random Forest,0.85,0.1,0.1,94.72681067344345,93.93491124260355,99.9213217938631,41.61372299872935
61,Random Forest,0.85,0.15,0.1,94.34561626429479,93.45588235294117,100.0,42.37611181702668
62,Random Forest,0.85,0.2,0.1,94.85387547649302,94.20505200594354,99.7639653815893,47.83989834815756
63,Random Forest,0.85,0.25,0.1,95.61626429479034,94.85074626865672,100.0,52.22363405336722
64,Random Forest,0.85,0.3,0.1,96.44218551461245,95.77995478522985,100.0,57.369758576874204
65,Random Forest,0.85,0.4,0.1,97.64930114358323,97.17125382262996,100.0,64.16772554002542
66,Random Forest,0.85,0.1,0.15,95.23506988564168,94.49404761904762,99.9213217938631,43.96442185514613
67,Random Forest,0.85,0.15,0.15,94.72681067344345,93.93491124260355,99.9213217938631,44.34561626429479
68,Random Forest,0.85,0.2,0.15,95.04447268106735,94.48173005219985,99.6852871754524,49.87293519695044
69,Random Forest,0.85,0.25,0.15,95.61626429479034,94.85074626865672,100.0,53.87547649301143
70,Random Forest,0.85,0.3,0.15,96.82337992376112,96.21498864496594,100.0,59.021601016518424
71,Random Forest,0.85,0.4,0.15,97.77636594663278,97.32006125574273,100.0,64.99364675984752
72,Random Forest,0.9,0.1,0.01,94.85387547649302,94.07407407407408,99.9213217938631,41.61372299872935
73,Random Forest,0.9,0.15,0.01,94.28208386277001,93.57933579335793,99.7639653815893,43.64675984752223
74,Random Forest,0.9,0.2,0.01,95.55273189326556,94.7800149142431,100.0,50.444726810673444
75,Random Forest,0.9,0.25,0.01,95.997458703939,95.34534534534535,99.9213217938631,54.32020330368488
76,Random Forest,0.9,0.3,0.01,96.75984752223634,96.14220877458396,100.0,59.14866581956798
77,Random Forest,0.9,0.4,0.01,97.96696315120711,97.54412893323101,100.0,67.15374841168996
78,Random Forest,0.9,0.1,0.03,94.72681067344345,93.87001477104874,100.0,43.96442185514613
79,Random Forest,0.9,0.15,0.03,94.72681067344345,93.93491124260355,99.9213217938631,45.67979669631512
80,Random Forest,0.9,0.2,0.03,95.997458703939,95.27736131934033,100.0,53.17662007623888
81,Random Forest,0.9,0.25,0.03,96.50571791613723,95.85218702865761,100.0,56.670902160101654
82,Random Forest,0.9,0.3,0.03,97.141041931385,96.580547112462,100.0,61.435832274459976
83,Random Forest,0.9,0.4,0.03,98.09402795425667,97.76751347190147,99.9213217938631,69.3138500635324
84,Random Forest,0.9,0.1,0.05,95.04447268106735,94.21793921423277,100.0,45.93392630241423
85,Random Forest,0.9,0.15,0.05,95.36213468869123,94.56845238095238,100.0,47.83989834815756
86,Random Forest,0.9,0.2,0.05,96.37865311308768,95.7078313253012,100.0,53.6848792884371
87,Random Forest,0.9,0.25,0.05,96.50571791613723,95.85218702865761,100.0,58.449809402795424
88,Random Forest,0.9,0.3,0.05,97.4587039390089,96.9488939740656,100.0,63.15120711562897
89,Random Forest,0.9,0.4,0.05,98.09402795425667,97.69408147578785,100.0,70.1397712833545
90,Random Forest,0.9,0.1,0.08,95.1715374841169,94.35783221974759,100.0,47.26810673443456
91,Random Forest,0.9,0.15,0.08,95.36213468869123,94.56845238095238,100.0,48.72935196950445
92,Random Forest,0.9,0.2,0.08,96.18805590851335,95.49211119459054,100.0,55.209656925031766
93,Random Forest,0.9,0.25,0.08,96.69631512071156,96.06953892668179,100.0,60.8005082592122
94,Random Forest,0.9,0.3,0.08,97.33163913595934,96.8012185833968,100.0,63.595933926302415
95,Random Forest,0.9,0.4,0.08,98.34815756035579,97.99537393986122,100.0,72.1728081321474
96,Random Forest,0.9,0.1,0.1,95.42566709021601,94.63886820551005,100.0,48.983481575603555
97,Random Forest,0.9,0.15,0.1,95.61626429479034,94.85074626865672,100.0,50.12706480304956
98,Random Forest,0.9,0.2,0.1,96.18805590851335,95.49211119459054,100.0,55.46378653113088
99,Random Forest,0.9,0.25,0.1,96.88691232528589,96.28787878787878,100.0,60.864040660736975
100,Random Forest,0.9,0.3,0.1,97.58576874205845,97.0970206264324,100.0,65.50190597204575
101,Random Forest,0.9,0.4,0.1,98.34815756035579,97.99537393986122,100.0,72.55400254129606
102,Random Forest,0.9,0.1,0.15,95.61626429479034,94.85074626865672,100.0,51.33418043202033
103,Random Forest,0.9,0.15,0.15,95.80686149936467,95.06357516828722,100.0,51.96950444726811
104,Random Forest,0.9,0.2,0.15,96.50571791613723,95.85218702865761,100.0,56.861499364675986
105,Random Forest,0.9,0.25,0.15,96.82337992376112,96.28506444275966,99.9213217938631,61.372299872935194
106,Random Forest,0.9,0.3,0.15,97.58576874205845,97.0970206264324,100.0,67.02668360864041
107,Random Forest,0.9,0.4,0.15,98.284625158831,97.91987673343606,100.0,74.01524777636595
108,Random Forest,0.95,0.1,0.01,95.93392630241424,95.2059925093633,100.0,53.04955527318933
109,Random Forest,0.95,0.15,0.01,95.93392630241424,95.2059925093633,100.0,54.129606099110546
110,Random Forest,0.95,0.2,0.01,96.56925031766201,95.9245283018868,100.0,59.6569250317662
111,Random Forest,0.95,0.25,0.01,98.03049555273189,97.61904761904762,100.0,68.36086404066074
112,Random Forest,0.95,0.3,0.01,98.09402795425667,97.69408147578785,100.0,72.04574332909785
113,Random Forest,0.95,0.4,0.01,98.72935196950445,98.45081332300542,100.0,77.57306226175349
114,Random Forest,0.95,0.1,0.03,95.80686149936467,95.06357516828722,100.0,55.65438373570521
115,Random Forest,0.95,0.15,0.03,96.44218551461245,95.77995478522985,100.0,57.87801778907243
116,Random Forest,0.95,0.2,0.03,96.88691232528589,96.28787878787878,100.0,62.89707750952986
117,Random Forest,0.95,0.25,0.03,98.284625158831,97.91987673343606,100.0,71.53748411689962
118,Random Forest,0.95,0.3,0.03,98.47522236340534,98.14671814671814,100.0,75.41296060991105
119,Random Forest,0.95,0.4,0.03,98.98348157560356,98.75679875679876,100.0,79.47903430749682
120,Random Forest,0.95,0.1,0.05,96.37865311308768,95.7078313253012,100.0,57.24269377382465
121,Random Forest,0.95,0.15,0.05,96.37865311308768,95.7078313253012,100.0,58.64040660736976
122,Random Forest,0.95,0.2,0.05,96.95044472681067,96.36087945413192,100.0,63.72299872935197
123,Random Forest,0.95,0.25,0.05,98.41168996188055,98.07098765432099,100.0,73.12579415501907
124,Random Forest,0.95,0.3,0.05,98.53875476493012,98.2225656877898,100.0,76.17534942820839
125,Random Forest,0.95,0.4,0.05,98.79288437102923,98.52713178294573,100.0,81.13087674714104
126,Random Forest,0.95,0.1,0.08,96.63278271918678,95.99697885196375,100.0,60.03811944091487
127,Random Forest,0.95,0.15,0.08,96.69631512071156,96.06953892668179,100.0,60.101651842439644
128,Random Forest,0.95,0.2,0.08,97.26810673443457,96.7275494672755,100.0,65.56543837357052
129,Random Forest,0.95,0.25,0.08,98.47522236340534,98.14671814671814,100.0,73.69758576874206
130,Random Forest,0.95,0.3,0.08,98.66581956797967,98.37461300309597,100.0,78.08132147395172
131,Random Forest,0.95,0.4,0.08,99.11054637865311,98.91050583657588,100.0,81.70266836086404
132,Random Forest,0.95,0.1,0.1,96.69631512071156,96.06953892668179,100.0,60.73697585768742
133,Random Forest,0.95,0.15,0.1,96.69631512071156,96.06953892668179,100.0,60.48284625158831
134,Random Forest,0.95,0.2,0.1,97.01397712833545,96.4339908952959,100.0,65.88310038119441
135,Random Forest,0.95,0.25,0.1,98.47522236340534,98.14671814671814,100.0,75.15883100381194
136,Random Forest,0.95,0.3,0.1,98.53875476493012,98.2225656877898,100.0,78.20838627700127
137,Random Forest,0.95,0.4,0.1,99.1740787801779,98.98753894080997,100.0,82.97331639135959
138,Random Forest,0.95,0.1,0.15,96.88691232528589,96.28787878787878,100.0,63.3418043202033
139,Random Forest,0.95,0.15,0.15,97.141041931385,96.580547112462,100.0,64.73951715374841
140,Random Forest,0.95,0.2,0.15,97.52223634053367,97.02290076335878,100.0,68.55146124523507
141,Random Forest,0.95,0.25,0.15,98.47522236340534,98.14671814671814,100.0,76.23888182973316
142,Random Forest,0.95,0.3,0.15,98.91994917407878,98.68012422360249,100.0,80.1143583227446
143,Random Forest,0.95,0.4,0.15,99.1740787801779,98.98753894080997,100.0,83.48157560355781
144,Random Forest,0.99,0.1,0.01,98.22109275730622,97.84449576597383,100.0,76.36594663278272
145,Random Forest,0.99,0.15,0.01,98.66581956797967,98.37461300309597,100.0,79.28843710292249
146,Random Forest,0.99,0.2,0.01,98.72935196950445,98.45081332300542,100.0,81.06734434561626
147,Random Forest,0.99,0.25,0.01,99.428208386277,99.296875,100.0,87.10292249047014
148,Random Forest,0.99,0.3,0.01,99.6823379923761,99.60815047021944,100.0,90.21601016518424
149,Random Forest,0.99,0.4,0.01,99.74587039390089,99.68627450980392,100.0,91.80432020330369
150,Random Forest,0.99,0.1,0.03,98.60228716645489,98.2985305491106,100.0,80.74968233799238
151,Random Forest,0.99,0.15,0.03,98.856416772554,98.60356865787432,100.0,83.10038119440915
152,Random Forest,0.99,0.2,0.03,99.11054637865311,98.91050583657588,100.0,84.56162642947903
153,Random Forest,0.99,0.25,0.03,99.6823379923761,99.60815047021944,100.0,89.7712833545108
