,model,threshold,split_1,split_2,accuracy,precision,recall,human effort
0,SVM,0.8,0.1,0.01,87.80177890724269,88.23529411764706,97.9543666404406,18.678526048284624
1,SVM,0.8,0.15,0.01,87.99237611181702,88.42329545454545,97.9543666404406,22.55400254129606
2,SVM,0.8,0.2,0.01,88.69123252858958,88.62190812720848,98.6624704956727,26.55654383735705
3,SVM,0.8,0.25,0.01,89.70775095298602,89.24274593064402,99.213217938631,30.813214739517154
4,SVM,0.8,0.3,0.01,91.16899618805591,90.42857142857143,99.6066089693155,36.46759847522236
5,SVM,0.8,0.4,0.01,91.74078780177891,91.07271418286537,99.5279307631786,43.77382465057179
6,SVM,0.8,0.1,0.03,88.31003811944092,88.46426043878273,98.3477576711251,20.4574332909784
7,SVM,0.8,0.15,0.03,88.75476493011436,88.57545839210155,98.81982690794649,23.506988564167724
8,SVM,0.8,0.2,0.03,88.75476493011436,88.68458274398868,98.6624704956727,26.683608640406607
9,SVM,0.8,0.25,0.03,90.0889453621347,89.4550601556971,99.4492525570417,31.76620076238882
10,SVM,0.8,0.3,0.03,90.9148665819568,90.28571428571429,99.4492525570417,37.22998729351969
11,SVM,0.8,0.4,0.03,92.43964421855146,91.67872648335745,99.6852871754524,45.10800508259212
12,SVM,0.8,0.1,0.05,88.75476493011436,89.01569186875892,98.1904012588513,21.72808132147395
13,SVM,0.8,0.15,0.05,88.88182973316391,88.16155988857939,99.6066089693155,24.015247776365946
14,SVM,0.8,0.2,0.05,89.64421855146125,89.17963224893919,99.213217938631,28.716645489199493
15,SVM,0.8,0.25,0.05,90.3430749682338,89.8220640569395,99.2918961447679,32.84625158831004
16,SVM,0.8,0.3,0.05,91.4866581956798,90.75268817204301,99.6066089693155,38.055908513341805
17,SVM,0.8,0.4,0.05,92.3125794155019,91.54624277456648,99.6852871754524,45.1715374841169
18,SVM,0.8,0.1,0.08,89.39008894536214,89.42857142857143,98.5051140833989,24.841168996188056
19,SVM,0.8,0.15,0.08,88.75476493011436,88.84943181818181,98.426435877262,25.412960609911053
20,SVM,0.8,0.2,0.08,89.32655654383736,89.14123491838183,98.81982690794649,29.161372299872934
21,SVM,0.8,0.25,0.08,90.53367217280814,89.84375,99.5279307631786,33.7992376111817
