,model,threshold,split_1,split_2,accuracy,human effort
0,Decision Tree,0.8,0.1,0.01,82.30668414154653,9.960681520314548
1,Decision Tree,0.8,0.15,0.01,82.17562254259502,14.941022280471822
2,Decision Tree,0.8,0.2,0.01,80.86500655307995,19.921363040629096
3,Decision Tree,0.8,0.25,0.01,84.14154652686763,24.90170380078637
4,Decision Tree,0.8,0.3,0.01,86.36959370904324,29.882044560943644
5,Decision Tree,0.8,0.4,0.01,86.36959370904324,39.973787680209696
6,Decision Tree,0.8,0.1,0.03,82.56880733944953,9.960681520314548
7,Decision Tree,0.8,0.15,0.03,83.22411533420707,14.941022280471822
8,Decision Tree,0.8,0.2,0.03,80.47182175622542,19.921363040629096
9,Decision Tree,0.8,0.25,0.03,84.01048492791612,24.90170380078637
10,Decision Tree,0.8,0.3,0.03,86.89384010484928,29.882044560943644
11,Decision Tree,0.8,0.4,0.03,86.76277850589777,39.973787680209696
12,Decision Tree,0.8,0.1,0.05,82.56880733944953,9.960681520314548
13,Decision Tree,0.8,0.15,0.05,82.96199213630406,14.941022280471822
14,Decision Tree,0.8,0.2,0.05,80.99606815203146,19.921363040629096
15,Decision Tree,0.8,0.25,0.05,85.3211009174312,24.90170380078637
16,Decision Tree,0.8,0.3,0.05,86.89384010484928,29.882044560943644
17,Decision Tree,0.8,0.4,0.05,86.63171690694627,39.973787680209696
18,Decision Tree,0.8,0.1,0.08,82.69986893840105,9.960681520314548
19,Decision Tree,0.8,0.15,0.08,83.22411533420707,14.941022280471822
20,Decision Tree,0.8,0.2,0.08,80.60288335517693,19.921363040629096
21,Decision Tree,0.8,0.25,0.08,84.79685452162516,24.90170380078637
22,Decision Tree,0.8,0.3,0.08,86.76277850589777,29.882044560943644
23,Decision Tree,0.8,0.4,0.08,86.50065530799476,39.973787680209696
24,Decision Tree,0.8,0.1,0.1,83.4862385321101,9.960681520314548
25,Decision Tree,0.8,0.15,0.1,82.17562254259502,14.941022280471822
26,Decision Tree,0.8,0.2,0.1,80.99606815203146,19.921363040629096
27,Decision Tree,0.8,0.25,0.1,84.27260812581913,24.90170380078637
28,Decision Tree,0.8,0.3,0.1,86.10747051114024,29.882044560943644
29,Decision Tree,0.8,0.4,0.1,86.10747051114024,39.973787680209696
30,Decision Tree,0.8,0.1,0.15,82.56880733944953,9.960681520314548
31,Decision Tree,0.8,0.15,0.15,83.22411533420707,14.941022280471822
32,Decision Tree,0.8,0.2,0.15,80.86500655307995,19.921363040629096
33,Decision Tree,0.8,0.25,0.15,84.53473132372216,24.90170380078637
34,Decision Tree,0.8,0.3,0.15,86.36959370904324,29.882044560943644
35,Decision Tree,0.8,0.4,0.15,86.63171690694627,39.973787680209696
36,Decision Tree,0.85,0.1,0.01,81.25819134993446,9.960681520314548
37,Decision Tree,0.85,0.15,0.01,83.22411533420707,14.941022280471822
38,Decision Tree,0.85,0.2,0.01,80.73394495412845,19.921363040629096
39,Decision Tree,0.85,0.25,0.01,84.27260812581913,24.90170380078637
40,Decision Tree,0.85,0.3,0.01,86.23853211009174,29.882044560943644
41,Decision Tree,0.85,0.4,0.01,86.76277850589777,39.973787680209696
42,Decision Tree,0.85,0.1,0.03,81.25819134993446,9.960681520314548
43,Decision Tree,0.85,0.15,0.03,82.83093053735256,14.941022280471822
44,Decision Tree,0.85,0.2,0.03,80.86500655307995,19.921363040629096
45,Decision Tree,0.85,0.25,0.03,85.05897771952817,24.90170380078637
46,Decision Tree,0.85,0.3,0.03,87.02490170380078,29.882044560943644
47,Decision Tree,0.85,0.4,0.03,86.50065530799476,39.973787680209696
48,Decision Tree,0.85,0.1,0.05,82.56880733944953,9.960681520314548
49,Decision Tree,0.85,0.15,0.05,81.913499344692,14.941022280471822
50,Decision Tree,0.85,0.2,0.05,80.73394495412845,19.921363040629096
51,Decision Tree,0.85,0.25,0.05,84.40366972477064,24.90170380078637
52,Decision Tree,0.85,0.3,0.05,85.84534731323723,29.882044560943644
53,Decision Tree,0.85,0.4,0.05,85.97640891218873,39.973787680209696
54,Decision Tree,0.85,0.1,0.08,82.56880733944953,9.960681520314548
55,Decision Tree,0.85,0.15,0.08,82.96199213630406,14.941022280471822
56,Decision Tree,0.85,0.2,0.08,80.34076015727392,19.921363040629096
57,Decision Tree,0.85,0.25,0.08,85.05897771952817,24.90170380078637
58,Decision Tree,0.85,0.3,0.08,86.63171690694627,29.882044560943644
59,Decision Tree,0.85,0.4,0.08,85.84534731323723,39.973787680209696
60,Decision Tree,0.85,0.1,0.1,81.25819134993446,9.960681520314548
61,Decision Tree,0.85,0.15,0.1,82.83093053735256,14.941022280471822
62,Decision Tree,0.85,0.2,0.1,80.73394495412845,19.921363040629096
63,Decision Tree,0.85,0.25,0.1,84.66579292267366,24.90170380078637
64,Decision Tree,0.85,0.3,0.1,86.76277850589777,29.882044560943644
65,Decision Tree,0.85,0.4,0.1,85.84534731323723,39.973787680209696
66,Decision Tree,0.85,0.1,0.15,82.56880733944953,9.960681520314548
67,Decision Tree,0.85,0.15,0.15,83.22411533420707,14.941022280471822
68,Decision Tree,0.85,0.2,0.15,80.86500655307995,19.921363040629096
69,Decision Tree,0.85,0.25,0.15,85.05897771952817,24.90170380078637
70,Decision Tree,0.85,0.3,0.15,86.36959370904324,29.882044560943644
71,Decision Tree,0.85,0.4,0.15,86.23853211009174,39.973787680209696
72,Decision Tree,0.9,0.1,0.01,82.17562254259502,9.960681520314548
73,Decision Tree,0.9,0.15,0.01,82.83093053735256,14.941022280471822
74,Decision Tree,0.9,0.2,0.01,80.73394495412845,19.921363040629096
75,Decision Tree,0.9,0.25,0.01,85.05897771952817,24.90170380078637
76,Decision Tree,0.9,0.3,0.01,86.50065530799476,29.882044560943644
77,Decision Tree,0.9,0.4,0.01,86.36959370904324,39.973787680209696
78,Decision Tree,0.9,0.1,0.03,83.09305373525557,9.960681520314548
79,Decision Tree,0.9,0.15,0.03,82.17562254259502,14.941022280471822
80,Decision Tree,0.9,0.2,0.03,80.47182175622542,19.921363040629096
81,Decision Tree,0.9,0.25,0.03,84.79685452162516,24.90170380078637
82,Decision Tree,0.9,0.3,0.03,86.89384010484928,29.882044560943644
83,Decision Tree,0.9,0.4,0.03,85.71428571428571,39.973787680209696
84,Decision Tree,0.9,0.1,0.05,81.25819134993446,9.960681520314548
85,Decision Tree,0.9,0.15,0.05,82.96199213630406,14.941022280471822
86,Decision Tree,0.9,0.2,0.05,80.73394495412845,19.921363040629096
87,Decision Tree,0.9,0.25,0.05,83.7483617300131,24.90170380078637
88,Decision Tree,0.9,0.3,0.05,86.76277850589777,29.882044560943644
89,Decision Tree,0.9,0.4,0.05,86.10747051114024,39.973787680209696
90,Decision Tree,0.9,0.1,0.08,83.4862385321101,9.960681520314548
91,Decision Tree,0.9,0.15,0.08,81.913499344692,14.941022280471822
92,Decision Tree,0.9,0.2,0.08,80.86500655307995,19.921363040629096
93,Decision Tree,0.9,0.25,0.08,84.92791612057667,24.90170380078637
94,Decision Tree,0.9,0.3,0.08,86.10747051114024,29.882044560943644
95,Decision Tree,0.9,0.4,0.08,86.89384010484928,39.973787680209696
96,Decision Tree,0.9,0.1,0.1,82.56880733944953,9.960681520314548
97,Decision Tree,0.9,0.15,0.1,82.56880733944953,14.941022280471822
98,Decision Tree,0.9,0.2,0.1,80.73394495412845,19.921363040629096
99,Decision Tree,0.9,0.25,0.1,84.79685452162516,24.90170380078637
100,Decision Tree,0.9,0.3,0.1,86.36959370904324,29.882044560943644
101,Decision Tree,0.9,0.4,0.1,86.50065530799476,39.973787680209696
102,Decision Tree,0.9,0.1,0.15,82.17562254259502,9.960681520314548
103,Decision Tree,0.9,0.15,0.15,82.96199213630406,14.941022280471822
104,Decision Tree,0.9,0.2,0.15,80.73394495412845,19.921363040629096
105,Decision Tree,0.9,0.25,0.15,85.4521625163827,24.90170380078637
106,Decision Tree,0.9,0.3,0.15,86.76277850589777,29.882044560943644
107,Decision Tree,0.9,0.4,0.15,86.63171690694627,39.973787680209696
108,Decision Tree,0.95,0.1,0.01,80.99606815203146,9.960681520314548
109,Decision Tree,0.95,0.15,0.01,82.83093053735256,14.941022280471822
110,Decision Tree,0.95,0.2,0.01,80.73394495412845,19.921363040629096
111,Decision Tree,0.95,0.25,0.01,84.92791612057667,24.90170380078637
112,Decision Tree,0.95,0.3,0.01,86.63171690694627,29.882044560943644
113,Decision Tree,0.95,0.4,0.01,86.63171690694627,39.973787680209696
114,Decision Tree,0.95,0.1,0.03,82.56880733944953,9.960681520314548
115,Decision Tree,0.95,0.15,0.03,83.22411533420707,14.941022280471822
116,Decision Tree,0.95,0.2,0.03,80.34076015727392,19.921363040629096
117,Decision Tree,0.95,0.25,0.03,83.87942332896462,24.90170380078637
118,Decision Tree,0.95,0.3,0.03,85.84534731323723,29.882044560943644
119,Decision Tree,0.95,0.4,0.03,86.63171690694627,39.973787680209696
120,Decision Tree,0.95,0.1,0.05,82.56880733944953,9.960681520314548
121,Decision Tree,0.95,0.15,0.05,83.22411533420707,14.941022280471822
122,Decision Tree,0.95,0.2,0.05,80.60288335517693,19.921363040629096
123,Decision Tree,0.95,0.25,0.05,83.4862385321101,24.90170380078637
124,Decision Tree,0.95,0.3,0.05,86.23853211009174,29.882044560943644
125,Decision Tree,0.95,0.4,0.05,86.76277850589777,39.973787680209696
