,model,threshold,split_1,split_2,accuracy,human effort
0,Logistic Regression,0.8,0.1,0.01,89.1218872870249,22.93577981651376
1,Logistic Regression,0.8,0.15,0.01,91.74311926605505,32.241153342070774
2,Logistic Regression,0.8,0.2,0.01,92.26736566186108,36.566186107470514
3,Logistic Regression,0.8,0.25,0.01,92.52948885976409,39.31847968545216
4,Logistic Regression,0.8,0.3,0.01,93.44692005242464,44.42988204456094
5,Logistic Regression,0.8,0.4,0.01,95.15072083879423,54.25950196592398
6,Logistic Regression,0.8,0.1,0.03,89.51507208387942,24.37745740498034
7,Logistic Regression,0.8,0.15,0.03,91.74311926605505,32.50327653997379
8,Logistic Regression,0.8,0.2,0.03,92.26736566186108,36.959370904325034
9,Logistic Regression,0.8,0.25,0.03,92.52948885976409,39.580602883355176
10,Logistic Regression,0.8,0.3,0.03,93.44692005242464,45.085190039318476
11,Logistic Regression,0.8,0.4,0.03,95.15072083879423,54.25950196592398
12,Logistic Regression,0.8,0.1,0.05,89.90825688073394,25.68807339449541
13,Logistic Regression,0.8,0.15,0.05,91.74311926605505,32.634338138925294
14,Logistic Regression,0.8,0.2,0.05,92.26736566186108,36.959370904325034
15,Logistic Regression,0.8,0.25,0.05,92.52948885976409,39.44954128440367
16,Logistic Regression,0.8,0.3,0.05,93.57798165137615,44.82306684141547
17,Logistic Regression,0.8,0.4,0.05,95.15072083879423,54.25950196592398
18,Logistic Regression,0.8,0.1,0.08,90.30144167758847,26.081258191349935
19,Logistic Regression,0.8,0.15,0.08,91.74311926605505,32.50327653997379
20,Logistic Regression,0.8,0.2,0.08,92.26736566186108,36.959370904325034
21,Logistic Regression,0.8,0.25,0.08,92.52948885976409,39.71166448230668
22,Logistic Regression,0.8,0.3,0.08,93.57798165137615,45.34731323722149
23,Logistic Regression,0.8,0.4,0.08,95.15072083879423,54.25950196592398
24,Logistic Regression,0.8,0.1,0.1,90.30144167758847,26.86762778505898
25,Logistic Regression,0.8,0.15,0.1,91.74311926605505,32.89646133682831
26,Logistic Regression,0.8,0.2,0.1,92.26736566186108,36.959370904325034
27,Logistic Regression,0.8,0.25,0.1,92.52948885976409,39.71166448230668
28,Logistic Regression,0.8,0.3,0.1,93.57798165137615,45.34731323722149
29,Logistic Regression,0.8,0.4,0.1,95.15072083879423,54.25950196592398
30,Logistic Regression,0.8,0.1,0.15,90.8256880733945,28.833551769331585
31,Logistic Regression,0.8,0.15,0.15,91.74311926605505,33.027522935779814
