,model,threshold,split_1,split_2,accuracy,human effort
0,Random Forest,0.8,0.1,0.01,91.61205766710354,25.29488859764089
1,Random Forest,0.8,0.15,0.01,91.74311926605505,29.22673656618611
2,Random Forest,0.8,0.2,0.01,92.66055045871559,35.51769331585845
3,Random Forest,0.8,0.25,0.01,93.70904325032765,40.76015727391874
4,Random Forest,0.8,0.3,0.01,94.36435124508519,45.21625163826999
5,Random Forest,0.8,0.4,0.01,95.80602883355176,54.521625163827
6,Random Forest,0.8,0.1,0.03,93.31585845347313,29.22673656618611
7,Random Forest,0.8,0.15,0.03,92.26736566186108,30.275229357798164
8,Random Forest,0.8,0.2,0.03,92.92267365661861,37.48361730013106
9,Random Forest,0.8,0.25,0.03,94.4954128440367,43.25032765399738
10,Random Forest,0.8,0.3,0.03,94.75753604193972,46.52686762778506
11,Random Forest,0.8,0.4,0.03,95.80602883355176,55.17693315858453
12,Random Forest,0.8,0.1,0.05,93.70904325032765,31.061598951507207
13,Random Forest,0.8,0.15,0.05,92.79161205766711,32.241153342070774
14,Random Forest,0.8,0.2,0.05,93.84010484927916,39.056356487549145
15,Random Forest,0.8,0.25,0.05,94.75753604193972,43.774574049803405
16,Random Forest,0.8,0.3,0.05,95.54390563564876,47.96854521625164
17,Random Forest,0.8,0.4,0.05,96.19921363040629,55.96330275229358
18,Random Forest,0.8,0.1,0.08,93.84010484927916,32.89646133682831
19,Random Forest,0.8,0.15,0.08,92.52948885976409,32.37221494102228
20,Random Forest,0.8,0.2,0.08,94.10222804718218,38.92529488859764
21,Random Forest,0.8,0.25,0.08,94.75753604193972,44.03669724770642
22,Random Forest,0.8,0.3,0.08,95.54390563564876,48.36173001310616
23,Random Forest,0.8,0.4,0.08,96.19921363040629,56.74967234600262
24,Random Forest,0.8,0.1,0.1,93.97116644823066,33.158584534731325
25,Random Forest,0.8,0.15,0.1,92.66055045871559,33.28964613368283
26,Random Forest,0.8,0.2,0.1,94.23328964613368,40.49803407601573
27,Random Forest,0.8,0.25,0.1,94.75753604193972,44.82306684141547
28,Random Forest,0.8,0.3,0.1,95.67496723460026,49.1480996068152
29,Random Forest,0.8,0.4,0.1,96.3302752293578,57.142857142857146
30,Random Forest,0.8,0.1,0.15,94.10222804718218,34.20707732634338
31,Random Forest,0.8,0.15,0.15,92.92267365661861,34.469200524246396
32,Random Forest,0.8,0.2,0.15,94.75753604193972,42.463958060288334
33,Random Forest,0.8,0.25,0.15,95.01965923984272,45.478374836173
34,Random Forest,0.8,0.3,0.15,95.80602883355176,49.41022280471822
35,Random Forest,0.8,0.4,0.15,96.3302752293578,57.27391874180865
36,Random Forest,0.85,0.1,0.01,94.10222804718218,31.58584534731324
37,Random Forest,0.85,0.15,0.01,93.05373525557012,33.027522935779814
38,Random Forest,0.85,0.2,0.01,94.10222804718218,40.36697247706422
39,Random Forest,0.85,0.25,0.01,95.15072083879423,45.21625163826999
40,Random Forest,0.85,0.3,0.01,95.93709043250328,50.72083879423329
41,Random Forest,0.85,0.4,0.01,96.19921363040629,56.618610747051115
42,Random Forest,0.85,0.1,0.03,94.75753604193972,34.99344692005243
43,Random Forest,0.85,0.15,0.03,94.23328964613368,36.69724770642202
44,Random Forest,0.85,0.2,0.03,94.88859764089122,42.463958060288334
45,Random Forest,0.85,0.25,0.03,95.54390563564876,47.313237221494106
46,Random Forest,0.85,0.3,0.03,95.93709043250328,50.8519003931848
47,Random Forest,0.85,0.4,0.03,96.85452162516383,58.58453473132372
48,Random Forest,0.85,0.1,0.05,94.4954128440367,36.3040629095675
49,Random Forest,0.85,0.15,0.05,94.10222804718218,37.876802096985585
50,Random Forest,0.85,0.2,0.05,95.28178243774575,44.42988204456094
51,Random Forest,0.85,0.25,0.05,95.80602883355176,48.36173001310616
52,Random Forest,0.85,0.3,0.05,96.06815203145479,52.03145478374836
53,Random Forest,0.85,0.4,0.05,96.85452162516383,59.37090432503277
54,Random Forest,0.85,0.1,0.08,94.88859764089122,37.352555701179554
55,Random Forest,0.85,0.15,0.08,95.01965923984272,40.49803407601573
56,Random Forest,0.85,0.2,0.08,95.41284403669725,45.87155963302752
57,Random Forest,0.85,0.25,0.08,95.80602883355176,49.54128440366973
58,Random Forest,0.85,0.3,0.08,96.06815203145479,52.817824377457406
59,Random Forest,0.85,0.4,0.08,97.24770642201835,60.15727391874181
60,Random Forest,0.85,0.1,0.1,94.75753604193972,38.269986893840105
61,Random Forest,0.85,0.15,0.1,94.88859764089122,39.580602883355176
62,Random Forest,0.85,0.2,0.1,95.28178243774575,45.085190039318476
63,Random Forest,0.85,0.25,0.1,95.80602883355176,49.80340760157274
64,Random Forest,0.85,0.3,0.1,96.3302752293578,53.07994757536042
65,Random Forest,0.85,0.4,0.1,97.24770642201835,60.419397116644824
66,Random Forest,0.85,0.1,0.15,94.75753604193972,39.84272608125819
67,Random Forest,0.85,0.15,0.15,95.41284403669725,41.8086500655308
68,Random Forest,0.85,0.2,0.15,95.93709043250328,47.706422018348626
69,Random Forest,0.85,0.25,0.15,95.80602883355176,50.9829619921363
70,Random Forest,0.85,0.3,0.15,96.19921363040629,53.73525557011796
71,Random Forest,0.85,0.4,0.15,97.37876802096986,60.81258191349934
72,Random Forest,0.9,0.1,0.01,94.36435124508519,37.352555701179554
73,Random Forest,0.9,0.15,0.01,95.01965923984272,42.20183486238532
74,Random Forest,0.9,0.2,0.01,95.41284403669725,45.478374836173
75,Random Forest,0.9,0.25,0.01,96.59239842726082,52.16251638269987
76,Random Forest,0.9,0.3,0.01,96.59239842726082,54.914809960681524
77,Random Forest,0.9,0.4,0.01,97.11664482306684,61.59895150720839
78,Random Forest,0.9,0.1,0.03,95.28178243774575,40.23591087811271
79,Random Forest,0.9,0.15,0.03,94.4954128440367,42.988204456094365
80,Random Forest,0.9,0.2,0.03,96.3302752293578,49.67234600262123
81,Random Forest,0.9,0.25,0.03,96.19921363040629,52.94888597640891
82,Random Forest,0.9,0.3,0.03,96.85452162516383,56.618610747051115
83,Random Forest,0.9,0.4,0.03,97.37876802096986,63.17169069462648
84,Random Forest,0.9,0.1,0.05,95.41284403669725,41.15334207077326
85,Random Forest,0.9,0.15,0.05,95.80602883355176,46.788990825688074
86,Random Forest,0.9,0.2,0.05,96.3302752293578,50.8519003931848
87,Random Forest,0.9,0.25,0.05,96.3302752293578,54.25950196592398
88,Random Forest,0.9,0.3,0.05,96.72346002621232,56.88073394495413
89,Random Forest,0.9,0.4,0.05,97.50982961992136,64.08912188728702
90,Random Forest,0.9,0.1,0.08,95.41284403669725,42.070773263433814
91,Random Forest,0.9,0.15,0.08,96.06815203145479,47.575360419397114
92,Random Forest,0.9,0.2,0.08,96.72346002621232,51.76933158584535
93,Random Forest,0.9,0.25,0.08,96.3302752293578,55.70117955439056
94,Random Forest,0.9,0.3,0.08,96.98558322411533,57.929226736566186
95,Random Forest,0.9,0.4,0.08,97.64089121887287,65.13761467889908
96,Random Forest,0.9,0.1,0.1,95.80602883355176,43.25032765399738
97,Random Forest,0.9,0.15,0.1,95.80602883355176,47.313237221494106
98,Random Forest,0.9,0.2,0.1,96.4613368283093,51.63826998689384
99,Random Forest,0.9,0.25,0.1,96.3302752293578,55.43905635648755
100,Random Forest,0.9,0.3,0.1,97.50982961992136,58.97771952817824
101,Random Forest,0.9,0.4,0.1,97.50982961992136,65.26867627785059
102,Random Forest,0.9,0.1,0.15,96.06815203145479,46.395806028833555
103,Random Forest,0.9,0.15,0.15,95.93709043250328,48.62385321100918
104,Random Forest,0.9,0.2,0.15,96.3302752293578,52.94888597640891
105,Random Forest,0.9,0.25,0.15,96.4613368283093,57.011795543905635
106,Random Forest,0.9,0.3,0.15,96.98558322411533,59.76408912188729
107,Random Forest,0.9,0.4,0.15,97.77195281782437,66.18610747051115
108,Random Forest,0.95,0.1,0.01,95.67496723460026,44.56094364351245
109,Random Forest,0.95,0.15,0.01,96.72346002621232,51.63826998689384
110,Random Forest,0.95,0.2,0.01,96.72346002621232,55.43905635648755
111,Random Forest,0.95,0.25,0.01,97.24770642201835,59.76408912188729
112,Random Forest,0.95,0.3,0.01,97.37876802096986,62.254259501965926
113,Random Forest,0.95,0.4,0.01,98.0340760157274,69.0694626474443
114,Random Forest,0.95,0.1,0.03,95.80602883355176,46.52686762778506
115,Random Forest,0.95,0.15,0.03,97.24770642201835,55.04587155963303
116,Random Forest,0.95,0.2,0.03,97.11664482306684,57.66710353866317
117,Random Forest,0.95,0.25,0.03,97.37876802096986,61.730013106159895
118,Random Forest,0.95,0.3,0.03,97.50982961992136,63.17169069462648
119,Random Forest,0.95,0.4,0.03,98.0340760157274,70.64220183486239
120,Random Forest,0.95,0.1,0.05,95.80602883355176,47.575360419397114
121,Random Forest,0.95,0.15,0.05,97.11664482306684,54.78374836173001
122,Random Forest,0.95,0.2,0.05,97.37876802096986,58.71559633027523
