,model,threshold,split_1,split_2,accuracy,human effort
0,SVM,0.8,0.1,0.01,87.81127129750983,16.120576671035387
1,SVM,0.8,0.15,0.01,86.76277850589777,18.34862385321101
2,SVM,0.8,0.2,0.01,87.68020969855833,23.591087811271297
3,SVM,0.8,0.25,0.01,88.46657929226737,28.17824377457405
4,SVM,0.8,0.3,0.01,89.38401048492791,33.68283093053735
5,SVM,0.8,0.4,0.01,90.56356487549148,42.857142857142854
6,SVM,0.8,0.1,0.03,88.07339449541284,17.431192660550458
7,SVM,0.8,0.15,0.03,88.07339449541284,21.231979030144167
8,SVM,0.8,0.2,0.03,88.72870249017038,25.557011795543907
9,SVM,0.8,0.25,0.03,88.72870249017038,28.571428571428573
10,SVM,0.8,0.3,0.03,91.34993446920052,35.64875491480996
11,SVM,0.8,0.4,0.03,90.69462647444298,43.51245085190039
12,SVM,0.8,0.1,0.05,88.59764089121887,18.479685452162517
13,SVM,0.8,0.15,0.05,88.72870249017038,22.14941022280472
14,SVM,0.8,0.2,0.05,88.33551769331586,25.163826998689384
15,SVM,0.8,0.25,0.05,88.59764089121887,28.440366972477065
16,SVM,0.8,0.3,0.05,90.956749672346,36.04193971166448
17,SVM,0.8,0.4,0.05,90.69462647444298,43.51245085190039
18,SVM,0.8,0.1,0.08,88.85976408912188,19.134993446920053
19,SVM,0.8,0.15,0.08,88.72870249017038,22.93577981651376
20,SVM,0.8,0.2,0.08,88.20445609436435,25.032765399737876
21,SVM,0.8,0.25,0.08,88.72870249017038,28.440366972477065
22,SVM,0.8,0.3,0.08,90.956749672346,35.77981651376147
23,SVM,0.8,0.4,0.08,90.69462647444298,43.25032765399738
24,SVM,0.8,0.1,0.1,89.25294888597641,20.70773263433814
25,SVM,0.8,0.15,0.1,88.59764089121887,22.673656618610746
26,SVM,0.8,0.2,0.1,88.33551769331586,25.4259501965924
27,SVM,0.8,0.25,0.1,88.59764089121887,28.440366972477065
28,SVM,0.8,0.3,0.1,90.956749672346,35.91087811271297
29,SVM,0.8,0.4,0.1,90.8256880733945,43.6435124508519
30,SVM,0.8,0.1,0.15,89.1218872870249,19.790301441677588
31,SVM,0.8,0.15,0.15,88.59764089121887,22.804718217562254
32,SVM,0.8,0.2,0.15,88.46657929226737,25.557011795543907
33,SVM,0.8,0.25,0.15,88.59764089121887,28.571428571428573
34,SVM,0.8,0.3,0.15,89.77719528178244,34.20707732634338
35,SVM,0.8,0.4,0.15,90.69462647444298,43.25032765399738
36,SVM,0.85,0.1,0.01,88.59764089121887,17.82437745740498
37,SVM,0.85,0.15,0.01,87.94233289646134,20.838794233289647
38,SVM,0.85,0.2,0.01,88.72870249017038,25.29488859764089
39,SVM,0.85,0.25,0.01,88.9908256880734,29.61992136304063
40,SVM,0.85,0.3,0.01,91.21887287024902,36.69724770642202
41,SVM,0.85,0.4,0.01,92.66055045871559,44.95412844036697
42,SVM,0.85,0.1,0.03,90.03931847968545,21.494102228047183
43,SVM,0.85,0.15,0.03,88.59764089121887,22.411533420707734
44,SVM,0.85,0.2,0.03,89.1218872870249,26.081258191349935
45,SVM,0.85,0.25,0.03,89.64613368283094,30.40629095674967
46,SVM,0.85,0.3,0.03,92.79161205766711,40.23591087811271
47,SVM,0.85,0.4,0.03,93.70904325032765,47.05111402359109
48,SVM,0.85,0.1,0.05,93.57798165137615,32.241153342070774
49,SVM,0.85,0.15,0.05,89.38401048492791,24.50851900393185
50,SVM,0.85,0.2,0.05,89.25294888597641,26.474442988204455
51,SVM,0.85,0.25,0.05,89.38401048492791,30.275229357798164
52,SVM,0.85,0.3,0.05,92.66055045871559,40.10484927916121
53,SVM,0.85,0.4,0.05,93.70904325032765,46.52686762778506
54,SVM,0.85,0.1,0.08,95.54390563564876,38.79423328964614
55,SVM,0.85,0.15,0.08,89.1218872870249,24.246395806028833
56,SVM,0.85,0.2,0.08,89.1218872870249,26.605504587155963
57,SVM,0.85,0.25,0.08,89.90825688073394,30.9305373525557
58,SVM,0.85,0.3,0.08,93.57798165137615,41.677588466579294
59,SVM,0.85,0.4,0.08,93.18479685452162,46.13368283093054
60,SVM,0.85,0.1,0.1,90.17038007863695,23.32896461336828
61,SVM,0.85,0.15,0.1,89.1218872870249,25.032765399737876
62,SVM,0.85,0.2,0.1,89.38401048492791,26.998689384010486
63,SVM,0.85,0.25,0.1,89.38401048492791,30.275229357798164
64,SVM,0.85,0.3,0.1,93.18479685452162,41.02228047182176
65,SVM,0.85,0.4,0.1,93.18479685452162,46.26474442988204
66,SVM,0.85,0.1,0.15,90.17038007863695,23.591087811271297
67,SVM,0.85,0.15,0.15,89.77719528178244,27.391874180865006
68,SVM,0.85,0.2,0.15,89.64613368283094,28.571428571428573
69,SVM,0.85,0.25,0.15,89.51507208387942,30.40629095674967
70,SVM,0.85,0.3,0.15,93.05373525557012,40.62909567496723
71,SVM,0.85,0.4,0.15,92.66055045871559,45.60943643512451
72,SVM,0.9,0.1,0.01,97.90301441677589,58.322411533420706
73,SVM,0.9,0.15,0.01,97.77195281782437,57.79816513761468
74,SVM,0.9,0.2,0.01,98.42726081258192,71.95281782437746
75,SVM,0.9,0.25,0.01,98.82044560943643,76.14678899082568
76,SVM,0.9,0.3,0.01,98.82044560943643,78.63695937090432
77,SVM,0.9,0.4,0.01,98.95150720838794,84.66579292267366
78,SVM,0.9,0.1,0.03,93.57798165137615,35.51769331585845
