,model,threshold,split_1,split_2,accuracy,human effort
0,SVM,0.8,0.1,0.01,87.8112713,16.12057667
1,SVM,0.8,0.15,0.01,86.76277851,18.34862385
2,SVM,0.8,0.2,0.01,87.6802097,23.59108781
3,SVM,0.8,0.25,0.01,88.46657929,28.17824377
4,SVM,0.8,0.3,0.01,89.38401048,33.68283093
5,SVM,0.8,0.4,0.01,90.56356488,42.85714286
6,SVM,0.8,0.1,0.03,88.0733945,17.43119266
7,SVM,0.8,0.15,0.03,88.0733945,21.23197903
8,SVM,0.8,0.2,0.03,88.72870249,25.5570118
9,SVM,0.8,0.25,0.03,88.72870249,28.57142857
10,SVM,0.8,0.3,0.03,91.34993447,35.64875491
11,SVM,0.8,0.4,0.03,90.69462647,43.51245085
12,SVM,0.8,0.1,0.05,88.59764089,18.47968545
13,SVM,0.8,0.15,0.05,88.72870249,22.14941022
14,SVM,0.8,0.2,0.05,88.33551769,25.163827
15,SVM,0.8,0.25,0.05,88.59764089,28.44036697
16,SVM,0.8,0.3,0.05,90.95674967,36.04193971
17,SVM,0.8,0.4,0.05,90.69462647,43.51245085
18,SVM,0.8,0.1,0.08,88.85976409,19.13499345
19,SVM,0.8,0.15,0.08,88.72870249,22.93577982
20,SVM,0.8,0.2,0.08,88.20445609,25.0327654
21,SVM,0.8,0.25,0.08,88.72870249,28.44036697
22,SVM,0.8,0.3,0.08,90.95674967,35.77981651
23,SVM,0.8,0.4,0.08,90.69462647,43.25032765
24,SVM,0.8,0.1,0.1,89.25294889,20.70773263
25,SVM,0.8,0.15,0.1,88.59764089,22.67365662
26,SVM,0.8,0.2,0.1,88.33551769,25.4259502
27,SVM,0.8,0.25,0.1,88.59764089,28.44036697
28,SVM,0.8,0.3,0.1,90.95674967,35.91087811
29,SVM,0.8,0.4,0.1,90.82568807,43.64351245
30,SVM,0.8,0.1,0.15,89.12188729,19.79030144
31,SVM,0.8,0.15,0.15,88.59764089,22.80471822
32,SVM,0.8,0.2,0.15,88.46657929,25.5570118
33,SVM,0.8,0.25,0.15,88.59764089,28.57142857
34,SVM,0.8,0.3,0.15,89.77719528,34.20707733
35,SVM,0.8,0.4,0.15,90.69462647,43.25032765
36,SVM,0.85,0.1,0.01,88.59764089,17.82437746
37,SVM,0.85,0.15,0.01,87.9423329,20.83879423
38,SVM,0.85,0.2,0.01,88.72870249,25.2948886
39,SVM,0.85,0.25,0.01,88.99082569,29.61992136
40,SVM,0.85,0.3,0.01,91.21887287,36.69724771
41,SVM,0.85,0.4,0.01,92.66055046,44.95412844
42,SVM,0.85,0.1,0.03,90.03931848,21.49410223
43,SVM,0.85,0.15,0.03,88.59764089,22.41153342
44,SVM,0.85,0.2,0.03,89.12188729,26.08125819
45,SVM,0.85,0.25,0.03,89.64613368,30.40629096
46,SVM,0.85,0.3,0.03,92.79161206,40.23591088
47,SVM,0.85,0.4,0.03,93.70904325,47.05111402
48,SVM,0.85,0.1,0.05,93.57798165,32.24115334
49,SVM,0.85,0.15,0.05,89.38401048,24.508519
50,SVM,0.85,0.2,0.05,89.25294889,26.47444299
51,SVM,0.85,0.25,0.05,89.38401048,30.27522936
52,SVM,0.85,0.3,0.05,92.66055046,40.10484928
53,SVM,0.85,0.4,0.05,93.70904325,46.52686763
54,SVM,0.85,0.1,0.08,95.54390564,38.79423329
55,SVM,0.85,0.15,0.08,89.12188729,24.24639581
56,SVM,0.85,0.2,0.08,89.12188729,26.60550459
57,SVM,0.85,0.25,0.08,89.90825688,30.93053735
58,SVM,0.85,0.3,0.08,93.57798165,41.67758847
59,SVM,0.85,0.4,0.08,93.18479685,46.13368283
60,SVM,0.85,0.1,0.1,90.17038008,23.32896461
61,SVM,0.85,0.15,0.1,89.12188729,25.0327654
62,SVM,0.85,0.2,0.1,89.38401048,26.99868938
63,SVM,0.85,0.25,0.1,89.38401048,30.27522936
64,SVM,0.85,0.3,0.1,93.18479685,41.02228047
65,SVM,0.85,0.4,0.1,93.18479685,46.26474443
66,SVM,0.85,0.1,0.15,90.17038008,23.59108781
67,SVM,0.85,0.15,0.15,89.77719528,27.39187418
68,SVM,0.85,0.2,0.15,89.64613368,28.57142857
69,SVM,0.85,0.25,0.15,89.51507208,30.40629096
70,SVM,0.85,0.3,0.15,93.05373526,40.62909567
71,SVM,0.85,0.4,0.15,92.66055046,45.60943644
72,SVM,0.9,0.1,0.01,97.90301442,58.32241153
73,SVM,0.9,0.15,0.01,97.77195282,57.79816514
74,SVM,0.9,0.2,0.01,98.42726081,71.95281782
75,SVM,0.9,0.25,0.01,98.82044561,76.14678899
76,SVM,0.9,0.3,0.01,98.82044561,78.63695937
77,SVM,0.9,0.4,0.01,98.95150721,84.66579292
78,SVM,0.9,0.1,0.03,93.57798165,35.51769332
79,SVM,0.9,0.15,0.03,97.77195282,58.19134993
80,SVM,0.9,0.2,0.03,98.29619921,73.78768021
81,SVM,0.9,0.25,0.03,99.08256881,79.42332896
82,SVM,0.9,0.3,0.03,98.29619921,75.3604194
83,SVM,0.9,0.4,0.03,99.08256881,87.1559633
84,SVM,0.9,0.1,0.05,97.64089122,60.41939712
85,SVM,0.9,0.15,0.05,98.42726081,65.66186107
86,SVM,0.9,0.2,0.05,98.82044561,77.45740498
87,SVM,0.9,0.25,0.05,98.95150721,82.56880734
88,SVM,0.9,0.3,0.05,99.21363041,82.43774574
89,SVM,0.9,0.4,0.05,99.08256881,87.5491481
90,SVM,0.9,0.1,0.08,98.55832241,72.87024902
91,SVM,0.9,0.15,0.08,98.16513761,60.41939712
92,SVM,0.9,0.2,0.08,98.68938401,74.31192661
93,SVM,0.9,0.25,0.08,99.08256881,83.09305374
94,SVM,0.9,0.3,0.08,99.21363041,82.04456094
95,SVM,0.9,0.4,0.08,99.8689384,95.41284404
96,SVM,0.9,0.1,0.1,98.68938401,73.52555701
97,SVM,0.9,0.15,0.1,98.82044561,75.75360419
98,SVM,0.9,0.2,0.1,98.68938401,76.14678899
99,SVM,0.9,0.25,0.1,99.08256881,88.46657929
100,SVM,0.9,0.3,0.1,99.08256881,78.11271298
101,SVM,0.9,0.4,0.1,99.08256881,89.38401048
102,SVM,0.9,0.1,0.15,98.42726081,67.88990826
103,SVM,0.9,0.15,0.15,98.68938401,75.6225426
104,SVM,0.9,0.2,0.15,99.08256881,86.50065531
105,SVM,0.9,0.25,0.15,99.34469201,88.59764089
106,SVM,0.9,0.3,0.15,99.4757536,83.74836173
107,SVM,0.9,0.4,0.15,99.4757536,92.79161206
108,SVM,0.95,0.1,0.01,99.4757536,92.39842726
109,SVM,0.95,0.15,0.01,99.7378768,98.95150721
110,SVM,0.95,0.2,0.01,99.6068152,98.42726081
111,SVM,0.95,0.25,0.01,99.6068152,98.68938401
112,SVM,0.95,0.3,0.01,99.7378768,99.08256881
113,SVM,0.95,0.4,0.01,99.7378768,99.21363041
114,SVM,0.95,0.1,0.03,100,99.8689384
115,SVM,0.95,0.15,0.03,99.7378768,98.82044561
116,SVM,0.95,0.2,0.03,100,99.8689384
117,SVM,0.95,0.25,0.03,99.6068152,98.42726081
118,SVM,0.95,0.3,0.03,100,100
119,SVM,0.95,0.4,0.03,100,100
120,SVM,0.95,0.1,0.05,100,100
121,SVM,0.95,0.15,0.05,100,100
122,SVM,0.95,0.2,0.05,100,99.6068152
123,SVM,0.95,0.25,0.05,100,99.7378768
124,SVM,0.95,0.3,0.05,100,100
125,SVM,0.95,0.4,0.05,100,100
126,SVM,0.95,0.1,0.08,100,99.8689384
127,SVM,0.95,0.15,0.08,100,100
128,SVM,0.95,0.2,0.08,100,99.8689384
129,SVM,0.95,0.25,0.08,100,99.8689384
130,SVM,0.95,0.3,0.08,99.8689384,99.4757536
131,SVM,0.95,0.4,0.08,100,100
132,SVM,0.95,0.1,0.1,100,99.6068152
133,SVM,0.95,0.15,0.1,100,99.8689384
134,SVM,0.95,0.2,0.1,100,100
135,SVM,0.95,0.25,0.1,100,100
136,SVM,0.95,0.3,0.1,100,100
137,SVM,0.95,0.4,0.1,99.8689384,99.6068152
138,SVM,0.95,0.1,0.15,100,100
139,SVM,0.95,0.15,0.15,100,100
140,SVM,0.95,0.2,0.15,100,100
141,SVM,0.95,0.25,0.15,100,100
142,SVM,0.95,0.3,0.15,99.8689384,98.82044561
143,SVM,0.95,0.4,0.15,100,100
144,SVM,0.99,0.1,0.01,100,100
145,SVM,0.99,0.15,0.01,100,100
146,SVM,0.99,0.2,0.01,100,100
147,SVM,0.99,0.25,0.01,100,100
148,SVM,0.99,0.3,0.01,100,100
149,SVM,0.99,0.4,0.01,100,100
150,SVM,0.99,0.1,0.03,100,100
151,SVM,0.99,0.15,0.03,100,100
152,SVM,0.99,0.2,0.03,100,100
153,SVM,0.99,0.25,0.03,100,100
154,SVM,0.99,0.3,0.03,100,100
155,SVM,0.99,0.4,0.03,100,100
156,SVM,0.99,0.1,0.05,100,100
157,SVM,0.99,0.15,0.05,100,100
158,SVM,0.99,0.2,0.05,100,100
159,SVM,0.99,0.25,0.05,100,100
160,SVM,0.99,0.3,0.05,100,100
161,SVM,0.99,0.4,0.05,100,100
162,SVM,0.99,0.1,0.08,100,100
163,SVM,0.99,0.15,0.08,100,100
164,SVM,0.99,0.2,0.08,100,100
165,SVM,0.99,0.25,0.08,100,100
166,SVM,0.99,0.3,0.08,100,100
167,SVM,0.99,0.4,0.08,100,100
168,SVM,0.99,0.1,0.1,100,100
169,SVM,0.99,0.15,0.1,100,100
170,SVM,0.99,0.2,0.1,100,100
