,model,threshold,split_1,split_2,accuracy,precision,recall,human effort
0,Decision Tree,0.8,0.1,0.01,73.88818297331639,87.06896551724138,79.46498819826908,9.974587039390089
1,Decision Tree,0.8,0.15,0.01,77.76365946632782,87.65331152902698,84.34303697875688,14.993646759847522
2,Decision Tree,0.8,0.2,0.01,81.38500635324016,88.93312101910828,87.8835562549174,19.949174078780178
3,Decision Tree,0.8,0.25,0.01,83.67217280813215,90.04739336492891,89.69315499606608,24.968233799237613
4,Decision Tree,0.8,0.3,0.01,83.29097839898348,89.56043956043956,89.77183320220298,29.987293519695044
5,Decision Tree,0.8,0.4,0.01,87.35705209656925,92.20472440944881,92.13217938630999,39.96188055908513
6,Decision Tree,0.8,0.1,0.03,74.58703939008895,86.62741799831791,81.03855232100707,9.974587039390089
7,Decision Tree,0.8,0.15,0.03,77.8271918678526,87.41883116883118,84.73642800944138,14.993646759847522
8,Decision Tree,0.8,0.2,0.03,81.44853875476493,89.06624102154828,87.8048780487805,19.949174078780178
9,Decision Tree,0.8,0.25,0.03,83.2274459974587,89.99205718824464,89.14240755310779,24.968233799237613
10,Decision Tree,0.8,0.3,0.03,85.26048284625159,90.55425448868071,91.26671911880409,29.987293519695044
11,Decision Tree,0.8,0.4,0.03,86.9123252858958,92.36276849642005,91.34539732494099,39.96188055908513
12,Decision Tree,0.8,0.1,0.05,74.96823379923761,86.26964433416046,82.06136900078678,9.974587039390089
13,Decision Tree,0.8,0.15,0.05,79.22490470139772,88.43648208469055,85.44453186467348,14.993646759847522
14,Decision Tree,0.8,0.2,0.05,81.63913595933926,89.0302066772655,88.1195908733281,19.949174078780178
15,Decision Tree,0.8,0.25,0.05,82.90978398983482,89.88853503184713,88.82769472856019,24.968233799237613
16,Decision Tree,0.8,0.3,0.05,84.75222363405337,90.49489395129615,90.6372934697089,29.987293519695044
17,Decision Tree,0.8,0.4,0.05,86.14993646759848,92.1537229783827,90.558615263572,39.96188055908513
18,Decision Tree,0.8,0.1,0.08,75.22236340533672,86.80033416875523,81.74665617623918,9.974587039390089
19,Decision Tree,0.8,0.15,0.08,77.31893265565438,87.45901639344262,83.94964594807239,14.993646759847522
20,Decision Tree,0.8,0.2,0.08,81.8297331639136,89.30566640063847,88.0409126671912,19.949174078780178
21,Decision Tree,0.8,0.25,0.08,81.44853875476493,89.12869704236611,87.72619984264358,24.968233799237613
22,Decision Tree,0.8,0.3,0.08,84.3710292249047,89.94544037412315,90.79464988198269,29.987293519695044
23,Decision Tree,0.8,0.4,0.08,87.35705209656925,92.07221350078493,92.2895357985838,39.96188055908513
24,Decision Tree,0.8,0.1,0.1,73.3163913595934,86.33646456020496,79.54366640440598,9.974587039390089
25,Decision Tree,0.8,0.15,0.1,77.31893265565438,87.58223684210526,83.79228953579859,14.993646759847522
26,Decision Tree,0.8,0.2,0.1,81.95679796696315,89.70233306516492,87.72619984264358,19.949174078780178
27,Decision Tree,0.8,0.25,0.1,82.71918678526048,89.54869358669833,88.98505114083399,24.968233799237613
28,Decision Tree,0.8,0.3,0.1,83.73570520965693,89.86645718774548,90.0078678206137,29.987293519695044
29,Decision Tree,0.8,0.4,0.1,86.97585768742059,92.03470031545741,91.81746656176239,39.96188055908513
30,Decision Tree,0.8,0.1,0.15,76.6836086404066,87.29372937293729,83.24154209284028,9.974587039390089
