,model,threshold,split_1,split_2,accuracy,precision,recall,human effort
0,Logistic Regression,0.8,0.1,0.01,91.99491740787802,91.21670266378689,99.6852871754524,26.810673443456164
1,Logistic Regression,0.8,0.15,0.01,94.53621346886912,93.66249078850406,100.0,37.484116899618805
2,Logistic Regression,0.8,0.2,0.01,94.40914866581957,93.52465047829286,100.0,39.39008894536214
3,Logistic Regression,0.8,0.25,0.01,94.72681067344345,93.87001477104874,100.0,43.26556543837357
4,Logistic Regression,0.8,0.3,0.01,94.79034307496823,93.93939393939394,100.0,45.489199491740784
5,Logistic Regression,0.8,0.4,0.01,95.55273189326556,94.91398653702319,99.8426435877262,53.6848792884371
6,Logistic Regression,0.8,0.1,0.03,93.13850063532402,92.2909090909091,99.8426435877262,31.893265565438373
7,Logistic Regression,0.8,0.15,0.03,94.53621346886912,93.66249078850406,100.0,39.07242693773825
8,Logistic Regression,0.8,0.2,0.03,94.91740787801778,94.07846039970393,100.0,41.16899618805591
9,Logistic Regression,0.8,0.25,0.03,94.98094027954257,94.14814814814815,100.0,44.53621346886912
10,Logistic Regression,0.8,0.3,0.03,94.91740787801778,94.07846039970393,100.0,46.3151207115629
11,Logistic Regression,0.8,0.4,0.03,95.7433290978399,94.99252615844544,100.0,54.8284625158831
12,Logistic Regression,0.8,0.1,0.05,93.26556543837357,92.42534595775673,99.8426435877262,33.100381194409145
13,Logistic Regression,0.8,0.15,0.05,94.79034307496823,94.00444115470022,99.9213217938631,40.27954256670902
14,Logistic Regression,0.8,0.2,0.05,94.91740787801778,94.07846039970393,100.0,41.61372299872935
15,Logistic Regression,0.8,0.25,0.05,94.91740787801778,94.07846039970393,100.0,45.04447268106735
16,Logistic Regression,0.8,0.3,0.05,94.85387547649302,94.00887573964496,100.0,46.56925031766201
17,Logistic Regression,0.8,0.4,0.05,96.06099110546378,95.34883720930233,100.0,56.5438373570521
18,Logistic Regression,0.8,0.1,0.08,93.13850063532402,92.2909090909091,99.8426435877262,32.52858958068615
19,Logistic Regression,0.8,0.15,0.08,94.72681067344345,93.87001477104874,100.0,40.85133418043202
20,Logistic Regression,0.8,0.2,0.08,95.04447268106735,94.21793921423277,100.0,43.26556543837357
21,Logistic Regression,0.8,0.25,0.08,94.98094027954257,94.14814814814815,100.0,46.37865311308767
22,Logistic Regression,0.8,0.3,0.08,94.79034307496823,93.93939393939394,100.0,46.56925031766201
23,Logistic Regression,0.8,0.4,0.08,95.93392630241424,95.2059925093633,100.0,55.9720457433291
24,Logistic Regression,0.8,0.1,0.1,93.20203303684879,92.35807860262008,99.8426435877262,34.18043202033037
25,Logistic Regression,0.8,0.15,0.1,94.91740787801778,94.07846039970393,100.0,41.93138500635324
26,Logistic Regression,0.8,0.2,0.1,95.10800508259213,94.28783382789318,100.0,43.329097839898346
27,Logistic Regression,0.8,0.25,0.1,95.23506988564168,94.42793462109955,100.0,47.33163913595934
28,Logistic Regression,0.8,0.3,0.1,94.91740787801778,94.07846039970393,100.0,47.33163913595934
29,Logistic Regression,0.8,0.4,0.1,95.997458703939,95.27736131934033,100.0,57.24269377382465
30,Logistic Regression,0.8,0.1,0.15,93.20203303684879,92.35807860262008,99.8426435877262,35.95933926302414
31,Logistic Regression,0.8,0.15,0.15,94.98094027954257,94.14814814814815,100.0,42.82083862770013
32,Logistic Regression,0.8,0.2,0.15,95.23506988564168,94.42793462109955,100.0,45.29860228716645
33,Logistic Regression,0.8,0.25,0.15,95.29860228716646,94.49814126394052,100.0,47.903430749682336
34,Logistic Regression,0.8,0.3,0.15,94.91740787801778,94.07846039970393,100.0,47.903430749682336
35,Logistic Regression,0.8,0.4,0.15,96.06099110546378,95.34883720930233,100.0,57.81448538754765
36,Logistic Regression,0.85,0.1,0.01,94.47268106734434,93.65781710914455,99.9213217938631,39.96188055908513
37,Logistic Regression,0.85,0.15,0.01,95.7433290978399,94.99252615844544,100.0,49.04701397712834
38,Logistic Regression,0.85,0.2,0.01,95.67979669631512,94.92158327109783,100.0,49.11054637865311
39,Logistic Regression,0.85,0.25,0.01,96.06099110546378,95.34883720930233,100.0,51.84243964421855
40,Logistic Regression,0.85,0.3,0.01,96.12452350698857,95.42042042042043,100.0,53.748411689961884
41,Logistic Regression,0.85,0.4,0.01,96.37865311308768,95.84592145015105,99.8426435877262,60.292249047013975
42,Logistic Regression,0.85,0.1,0.03,95.36213468869123,94.56845238095238,100.0,43.96442185514613
43,Logistic Regression,0.85,0.15,0.03,95.87039390088945,95.13473053892216,100.0,51.016518424396445
44,Logistic Regression,0.85,0.2,0.03,95.87039390088945,95.13473053892216,100.0,50.31766200762389
45,Logistic Regression,0.85,0.25,0.03,96.18805590851335,95.49211119459054,100.0,54.00254129606099
46,Logistic Regression,0.85,0.3,0.03,96.37865311308768,95.7078313253012,100.0,55.27318932655654
47,Logistic Regression,0.85,0.4,0.03,96.56925031766201,95.9245283018868,100.0,61.11817026683609
48,Logistic Regression,0.85,0.1,0.05,95.36213468869123,94.56845238095238,100.0,45.80686149936468
49,Logistic Regression,0.85,0.15,0.05,96.06099110546378,95.34883720930233,100.0,51.96950444726811
50,Logistic Regression,0.85,0.2,0.05,95.80686149936467,95.06357516828722,100.0,51.39771283354511
51,Logistic Regression,0.85,0.25,0.05,96.25158831003812,95.56390977443608,100.0,53.87547649301143
52,Logistic Regression,0.85,0.3,0.05,96.12452350698857,95.42042042042043,100.0,55.90851334180432
53,Logistic Regression,0.85,0.4,0.05,96.63278271918678,95.99697885196375,100.0,62.19822109275731
