,model,threshold,split_1,split_2,accuracy,precision,recall,human effort
0,Random Forest,0.8,0.1,0.01,92.6302414231258,91.69675090252707,99.9213217938631,31.00381194409149
1,Random Forest,0.8,0.15,0.01,93.96442185514613,93.10850439882698,99.9213217938631,36.14993646759847
2,Random Forest,0.8,0.2,0.01,94.15501905972046,93.37748344370861,99.8426435877262,39.64421855146124
3,Random Forest,0.8,0.25,0.01,95.10800508259213,94.28783382789318,100.0,43.58322744599746
4,Random Forest,0.8,0.3,0.01,95.36213468869123,94.56845238095238,100.0,46.442185514612454
5,Random Forest,0.8,0.4,0.01,96.63278271918678,95.99697885196375,100.0,55.14612452350699
6,Random Forest,0.8,0.1,0.03,92.50317662007623,91.50467962562995,100.0,32.46505717916137
7,Random Forest,0.8,0.15,0.03,94.53621346886912,93.66249078850406,100.0,38.88182973316391
8,Random Forest,0.8,0.2,0.03,94.40914866581957,93.58879882092852,99.9213217938631,41.74078780177891
9,Random Forest,0.8,0.25,0.03,95.04447268106735,94.21793921423277,100.0,45.870393900889454
10,Random Forest,0.8,0.3,0.03,95.61626429479034,94.85074626865672,100.0,49.04701397712834
11,Random Forest,0.8,0.4,0.03,96.69631512071156,96.06953892668179,100.0,57.49682337992376
12,Random Forest,0.8,0.1,0.05,92.94790343074968,91.96816208393632,100.0,34.243964421855146
13,Random Forest,0.8,0.15,0.05,94.5997458703939,93.73156342182891,100.0,39.83481575603558
14,Random Forest,0.8,0.2,0.05,94.28208386277001,93.45106696100073,99.9213217938631,42.82083862770013
15,Random Forest,0.8,0.25,0.05,95.67979669631512,94.92158327109783,100.0,48.284625158831005
16,Random Forest,0.8,0.3,0.05,95.7433290978399,94.99252615844544,100.0,50.571791613723
17,Random Forest,0.8,0.4,0.05,96.88691232528589,96.28787878787878,100.0,58.25921219822109
18,Random Forest,0.8,0.1,0.08,93.71029224904701,92.77372262773723,100.0,37.03939008894536
19,Random Forest,0.8,0.15,0.08,94.72681067344345,93.87001477104874,100.0,41.61372299872935
20,Random Forest,0.8,0.2,0.08,94.91740787801778,94.14381022979985,99.9213217938631,45.29860228716645
21,Random Forest,0.8,0.25,0.08,95.67979669631512,94.92158327109783,100.0,48.983481575603555
22,Random Forest,0.8,0.3,0.08,95.87039390088945,95.13473053892216,100.0,51.58831003811944
23,Random Forest,0.8,0.4,0.08,97.141041931385,96.580547112462,100.0,59.783989834815756
24,Random Forest,0.8,0.1,0.1,93.58322744599747,92.63848396501457,100.0,37.80177890724269
25,Random Forest,0.8,0.15,0.1,95.10800508259213,94.28783382789318,100.0,43.64675984752223
26,Random Forest,0.8,0.2,0.1,94.66327827191868,93.86548410938654,99.9213217938631,45.42566709021601
27,Random Forest,0.8,0.25,0.1,95.7433290978399,94.99252615844544,100.0,49.68233799237611
28,Random Forest,0.8,0.3,0.1,95.997458703939,95.27736131934033,100.0,52.096569250317664
29,Random Forest,0.8,0.4,0.1,97.07750952986022,96.50721336370539,100.0,59.91105463786531
30,Random Forest,0.8,0.1,0.15,93.58322744599747,92.63848396501457,100.0,40.9148665819568
31,Random Forest,0.8,0.15,0.15,95.23506988564168,94.42793462109955,100.0,45.362134688691235
32,Random Forest,0.8,0.2,0.15,94.85387547649302,94.07407407407408,99.9213217938631,47.141041931385004
33,Random Forest,0.8,0.25,0.15,95.87039390088945,95.13473053892216,100.0,51.46124523506989
34,Random Forest,0.8,0.3,0.15,95.87039390088945,95.13473053892216,100.0,52.92249047013977
35,Random Forest,0.8,0.4,0.15,97.07750952986022,96.50721336370539,100.0,61.11817026683609
36,Random Forest,0.85,0.1,0.01,93.58322744599747,92.63848396501457,100.0,37.674714104193136
37,Random Forest,0.85,0.15,0.01,95.04447268106735,94.21793921423277,100.0,44.5997458703939
38,Random Forest,0.85,0.2,0.01,95.48919949174079,94.70938897168405,100.0,47.712833545108005
39,Random Forest,0.85,0.25,0.01,96.06099110546378,95.34883720930233,100.0,50.69885641677256
40,Random Forest,0.85,0.3,0.01,96.12452350698857,95.42042042042043,100.0,53.557814485387546
41,Random Forest,0.85,0.4,0.01,97.141041931385,96.580547112462,100.0,60.99110546378653
42,Random Forest,0.85,0.1,0.03,94.53621346886912,93.66249078850406,100.0,42.69377382465057
43,Random Forest,0.85,0.15,0.03,96.06099110546378,95.34883720930233,100.0,48.856416772554006
44,Random Forest,0.85,0.2,0.03,95.997458703939,95.27736131934033,100.0,50.88945362134689
45,Random Forest,0.85,0.25,0.03,96.3151207115629,95.63581640331076,100.0,54.19313850063532
