,model,threshold,split_1,split_2,accuracy,precision,recall,human effort
0,SVM,0.8,0.1,0.01,90.72426937738247,90.84967320261438,98.426435877262,21.53748411689962
1,SVM,0.8,0.15,0.01,91.10546378653113,91.12727272727273,98.5837922895358,26.429479034307498
2,SVM,0.8,0.2,0.01,91.80432020330369,91.86217008797654,98.5837922895358,30.432020330368488
3,SVM,0.8,0.25,0.01,93.32909783989835,92.86764705882354,99.3705743509048,35.57814485387548
4,SVM,0.8,0.3,0.01,93.39263024142312,92.87288758265981,99.4492525570417,38.88182973316391
5,SVM,0.8,0.4,0.01,94.72681067344345,94.13075780089153,99.6852871754524,48.66581956797967
6,SVM,0.8,0.1,0.03,91.23252858958068,91.38056975894814,98.426435877262,24.45997458703939
7,SVM,0.8,0.15,0.03,92.12198221092757,91.76984705025491,99.1345397324941,28.843710292249046
8,SVM,0.8,0.2,0.03,92.50317662007623,92.6090169992609,98.5837922895358,32.52858958068615
9,SVM,0.8,0.25,0.03,93.39263024142312,92.93598233995586,99.3705743509048,37.10292249047014
10,SVM,0.8,0.3,0.03,93.90088945362135,93.35793357933579,99.5279307631786,40.216010165184244
11,SVM,0.8,0.4,0.03,94.91740787801778,94.3410275502606,99.6852871754524,49.936467598475225
12,SVM,0.8,0.1,0.05,91.93138500635324,91.50943396226415,99.213217938631,26.238881829733163
13,SVM,0.8,0.15,0.05,92.56670902160101,92.17836257309942,99.213217938631,30.622617534942822
14,SVM,0.8,0.2,0.05,92.88437102922491,92.76752767527675,98.8985051140834,34.11689961880559
15,SVM,0.8,0.25,0.05,93.71029224904701,93.21533923303835,99.4492525570417,38.055908513341805
16,SVM,0.8,0.3,0.05,93.90088945362135,93.35793357933579,99.5279307631786,40.787801778907244
17,SVM,0.8,0.4,0.05,94.91740787801778,94.3410275502606,99.6852871754524,50.063532401524775
18,SVM,0.8,0.1,0.08,92.18551461245235,91.65457184325109,99.3705743509048,28.081321473951714
19,SVM,0.8,0.15,0.08,92.6302414231258,92.18407596785975,99.2918961447679,32.59212198221093
20,SVM,0.8,0.2,0.08,93.13850063532402,93.10600444773907,98.81982690794649,35.38754764930114
21,SVM,0.8,0.25,0.08,94.15501905972046,93.50553505535055,99.6852871754524,40.47013977128336
22,SVM,0.8,0.3,0.08,94.21855146124524,93.44624447717231,99.8426435877262,41.80432020330368
23,SVM,0.8,0.4,0.08,94.98094027954257,94.3452380952381,99.7639653815893,50.69885641677256
24,SVM,0.8,0.1,0.1,91.74078780177891,91.49090909090908,98.9771833202203,28.46251588310038
25,SVM,0.8,0.15,0.1,93.07496823379924,92.65785609397945,99.2918961447679,34.053367217280815
26,SVM,0.8,0.2,0.1,93.01143583227446,92.90465631929047,98.8985051140834,35.832274459974585
27,SVM,0.8,0.25,0.1,93.90088945362135,93.4220251293422,99.4492525570417,40.15247776365947
28,SVM,0.8,0.3,0.1,94.09148665819568,93.62962962962963,99.4492525570417,41.867852604828464
