,model,threshold,split_1,split_2,accuracy,precision,recall,human effort,classifier
0,Decision Tree,0.8,0.1,0.01,73.88818297,87.06896552,79.4649882,9.974587039,1
1,Decision Tree,0.8,0.15,0.01,77.76365947,87.65331153,84.34303698,14.99364676,1
2,Decision Tree,0.8,0.2,0.01,81.38500635,88.93312102,87.88355625,19.94917408,1
3,Decision Tree,0.8,0.25,0.01,83.67217281,90.04739336,89.693155,24.9682338,1
4,Decision Tree,0.8,0.3,0.01,83.2909784,89.56043956,89.7718332,29.98729352,1
5,Decision Tree,0.8,0.4,0.01,87.3570521,92.20472441,92.13217939,39.96188056,1
6,Decision Tree,0.8,0.1,0.03,74.58703939,86.627418,81.03855232,9.974587039,1
7,Decision Tree,0.8,0.15,0.03,77.82719187,87.41883117,84.73642801,14.99364676,1
8,Decision Tree,0.8,0.2,0.03,81.44853875,89.06624102,87.80487805,19.94917408,1
9,Decision Tree,0.8,0.25,0.03,83.227446,89.99205719,89.14240755,24.9682338,1
10,Decision Tree,0.8,0.3,0.03,85.26048285,90.55425449,91.26671912,29.98729352,1
11,Decision Tree,0.8,0.4,0.03,86.91232529,92.3627685,91.34539732,39.96188056,1
12,Decision Tree,0.8,0.1,0.05,74.9682338,86.26964433,82.061369,9.974587039,1
13,Decision Tree,0.8,0.15,0.05,79.2249047,88.43648208,85.44453186,14.99364676,1
14,Decision Tree,0.8,0.2,0.05,81.63913596,89.03020668,88.11959087,19.94917408,1
15,Decision Tree,0.8,0.25,0.05,82.90978399,89.88853503,88.82769473,24.9682338,1
16,Decision Tree,0.8,0.3,0.05,84.75222363,90.49489395,90.63729347,29.98729352,1
17,Decision Tree,0.8,0.4,0.05,86.14993647,92.15372298,90.55861526,39.96188056,1
18,Decision Tree,0.8,0.1,0.08,75.22236341,86.80033417,81.74665618,9.974587039,1
19,Decision Tree,0.8,0.15,0.08,77.31893266,87.45901639,83.94964595,14.99364676,1
20,Decision Tree,0.8,0.2,0.08,81.82973316,89.3056664,88.04091267,19.94917408,1
21,Decision Tree,0.8,0.25,0.08,81.44853875,89.12869704,87.72619984,24.9682338,1
22,Decision Tree,0.8,0.3,0.08,84.37102922,89.94544037,90.79464988,29.98729352,1
23,Decision Tree,0.8,0.4,0.08,87.3570521,92.0722135,92.2895358,39.96188056,1
24,Decision Tree,0.8,0.1,0.1,73.31639136,86.33646456,79.5436664,9.974587039,1
25,Decision Tree,0.8,0.15,0.1,77.31893266,87.58223684,83.79228954,14.99364676,1
26,Decision Tree,0.8,0.2,0.1,81.95679797,89.70233307,87.72619984,19.94917408,1
27,Decision Tree,0.8,0.25,0.1,82.71918679,89.54869359,88.98505114,24.9682338,1
28,Decision Tree,0.8,0.3,0.1,83.73570521,89.86645719,90.00786782,29.98729352,1
29,Decision Tree,0.8,0.4,0.1,86.97585769,92.03470032,91.81746656,39.96188056,1
30,Decision Tree,0.8,0.1,0.15,76.68360864,87.29372937,83.24154209,9.974587039,1
31,Decision Tree,0.8,0.15,0.15,78.01778907,87.51013788,84.89378442,14.99364676,1
