,model,threshold,split_1,split_2,accuracy,precision,recall,human effort
0,Decision Tree,0.8,0.1,0.01,74.85714285714286,78.13620071684588,88.9795918367347,15.142857142857142
1,Decision Tree,0.8,0.15,0.01,76.0,80.6083650190114,86.53061224489795,20.0
2,Decision Tree,0.8,0.2,0.01,78.85714285714286,80.42704626334519,92.24489795918367,26.0
3,Decision Tree,0.8,0.25,0.01,77.71428571428571,82.23938223938224,86.93877551020408,30.857142857142858
4,Decision Tree,0.8,0.3,0.01,82.85714285714286,84.38661710037175,92.65306122448979,36.0
5,Decision Tree,0.8,0.4,0.01,86.28571428571429,86.08058608058609,95.91836734693878,46.57142857142857
6,Decision Tree,0.8,0.1,0.03,77.71428571428571,79.29824561403508,92.24489795918367,19.142857142857142
7,Decision Tree,0.8,0.15,0.03,76.28571428571429,80.68181818181819,86.93877551020408,20.571428571428573
8,Decision Tree,0.8,0.2,0.03,80.28571428571429,82.3529411764706,91.42857142857143,28.571428571428573
9,Decision Tree,0.8,0.25,0.03,79.71428571428571,83.72093023255815,88.16326530612245,33.714285714285715
10,Decision Tree,0.8,0.3,0.03,83.42857142857143,85.28301886792453,92.24489795918367,38.285714285714285
11,Decision Tree,0.8,0.4,0.03,87.14285714285714,87.31343283582089,95.51020408163265,46.857142857142854
12,Decision Tree,0.8,0.1,0.05,79.42857142857143,80.56537102473499,93.06122448979592,22.571428571428573
13,Decision Tree,0.8,0.15,0.05,77.71428571428571,81.74904942965779,87.75510204081633,24.857142857142858
14,Decision Tree,0.8,0.2,0.05,79.14285714285714,80.28169014084507,93.06122448979592,27.714285714285715
15,Decision Tree,0.8,0.25,0.05,79.42857142857143,83.65758754863813,87.75510204081633,34.0
16,Decision Tree,0.8,0.3,0.05,85.14285714285714,85.34798534798534,95.10204081632654,42.285714285714285
17,Decision Tree,0.8,0.4,0.05,86.57142857142857,86.13138686131387,96.3265306122449,48.57142857142857
18,Decision Tree,0.8,0.1,0.08,80.57142857142857,81.2720848056537,93.87755102040816,27.714285714285715
19,Decision Tree,0.8,0.15,0.08,77.71428571428571,81.74904942965779,87.75510204081633,25.714285714285715
