,model,threshold,split_1,split_2,accuracy,precision,recall,human effort
0,Logistic Regression,0.8,0.1,0.01,89.14285714285714,87.63636363636364,98.36734693877551,48.0
1,Logistic Regression,0.8,0.15,0.01,88.0,86.64259927797833,97.95918367346938,46.857142857142854
2,Logistic Regression,0.8,0.2,0.01,91.71428571428571,89.70588235294117,99.59183673469387,57.42857142857143
3,Logistic Regression,0.8,0.25,0.01,92.0,90.03690036900369,99.59183673469387,61.142857142857146
4,Logistic Regression,0.8,0.3,0.01,94.85714285714286,93.15589353612167,100.0,71.42857142857143
5,Logistic Regression,0.8,0.4,0.01,97.71428571428571,96.83794466403162,100.0,82.0
6,Logistic Regression,0.8,0.1,0.03,89.71428571428571,88.0,98.77551020408163,50.285714285714285
7,Logistic Regression,0.8,0.15,0.03,88.57142857142857,87.27272727272727,97.95918367346938,48.57142857142857
8,Logistic Regression,0.8,0.2,0.03,92.0,89.74358974358974,100.0,58.57142857142857
9,Logistic Regression,0.8,0.25,0.03,92.0,90.03690036900369,99.59183673469387,61.142857142857146
10,Logistic Regression,0.8,0.3,0.03,94.85714285714286,93.15589353612167,100.0,71.42857142857143
11,Logistic Regression,0.8,0.4,0.03,97.71428571428571,96.83794466403162,100.0,82.0
12,Logistic Regression,0.8,0.1,0.05,88.85714285714286,87.05035971223022,98.77551020408163,47.42857142857143
13,Logistic Regression,0.8,0.15,0.05,89.14285714285714,87.36462093862816,98.77551020408163,50.285714285714285
14,Logistic Regression,0.8,0.2,0.05,91.42857142857143,89.66789667896678,99.18367346938776,57.714285714285715
15,Logistic Regression,0.8,0.25,0.05,92.57142857142857,90.4059040590406,100.0,62.285714285714285
16,Logistic Regression,0.8,0.3,0.05,94.85714285714286,93.15589353612167,100.0,71.71428571428571
17,Logistic Regression,0.8,0.4,0.05,97.71428571428571,96.83794466403162,100.0,82.28571428571429
18,Logistic Regression,0.8,0.1,0.08,90.0,88.32116788321167,98.77551020408163,50.857142857142854
