,model,threshold,split_1,split_2,accuracy,precision,recall,human effort
0,SVM,0.8,0.1,0.01,84.0,82.69896193771626,97.55102040816327,36.0
1,SVM,0.8,0.15,0.01,87.42857142857143,85.51236749116607,98.77551020408163,41.42857142857143
2,SVM,0.8,0.2,0.01,90.0,87.5,100.0,53.42857142857143
3,SVM,0.8,0.25,0.01,87.42857142857143,86.02150537634408,97.95918367346938,46.0
4,SVM,0.8,0.3,0.01,98.28571428571429,100.0,97.55102040816327,94.28571428571429
5,SVM,0.8,0.4,0.01,100.0,100.0,100.0,99.71428571428571
6,SVM,0.8,0.1,0.03,86.85714285714286,84.19243986254295,100.0,41.142857142857146
7,SVM,0.8,0.15,0.03,88.0,85.36585365853658,100.0,46.0
8,SVM,0.8,0.2,0.03,98.28571428571429,97.60956175298804,100.0,91.42857142857143
9,SVM,0.8,0.25,0.03,95.14285714285714,93.5114503816794,100.0,75.42857142857143
10,SVM,0.8,0.3,0.03,98.28571428571429,100.0,97.55102040816327,94.57142857142857
11,SVM,0.8,0.4,0.03,100.0,100.0,100.0,100.0
12,SVM,0.8,0.1,0.05,98.28571428571429,97.60956175298804,100.0,91.42857142857143
13,SVM,0.8,0.15,0.05,95.71428571428571,95.63492063492063,98.36734693877551,81.42857142857143
14,SVM,0.8,0.2,0.05,97.14285714285714,96.07843137254902,100.0,86.57142857142857
15,SVM,0.8,0.25,0.05,88.57142857142857,85.96491228070175,100.0,48.857142857142854
16,SVM,0.8,0.3,0.05,98.28571428571429,100.0,97.55102040816327,95.42857142857143
17,SVM,0.8,0.4,0.05,100.0,100.0,100.0,100.0
18,SVM,0.8,0.1,0.08,87.14285714285714,84.48275862068965,100.0,42.57142857142857
19,SVM,0.8,0.15,0.08,88.85714285714286,86.26760563380282,100.0,81.14285714285714
20,SVM,0.8,0.2,0.08,98.0,97.22222222222223,100.0,90.28571428571429
21,SVM,0.8,0.25,0.08,89.71428571428571,87.18861209964413,100.0,52.857142857142854
22,SVM,0.8,0.3,0.08,100.0,100.0,100.0,100.0
23,SVM,0.8,0.4,0.08,100.0,100.0,100.0,100.0
24,SVM,0.8,0.1,0.1,88.57142857142857,85.96491228070175,100.0,58.285714285714285
25,SVM,0.8,0.15,0.1,99.71428571428571,99.59349593495935,100.0,97.14285714285714
26,SVM,0.8,0.2,0.1,96.57142857142857,96.78714859437751,98.36734693877551,85.71428571428571
27,SVM,0.8,0.25,0.1,99.42857142857143,99.19028340080972,100.0,96.28571428571429
28,SVM,0.8,0.3,0.1,100.0,100.0,100.0,100.0
29,SVM,0.8,0.4,0.1,100.0,100.0,100.0,100.0
30,SVM,0.8,0.1,0.15,96.57142857142857,95.3307392996109,100.0,82.57142857142857
31,SVM,0.8,0.15,0.15,100.0,100.0,100.0,99.71428571428571
32,SVM,0.8,0.2,0.15,97.71428571428571,98.36734693877551,98.36734693877551,90.85714285714286
33,SVM,0.8,0.25,0.15,89.71428571428571,87.18861209964413,100.0,52.0
34,SVM,0.8,0.3,0.15,100.0,100.0,100.0,100.0
35,SVM,0.8,0.4,0.15,100.0,100.0,100.0,100.0
36,SVM,0.85,0.1,0.01,89.71428571428571,87.18861209964413,100.0,82.85714285714286
37,SVM,0.85,0.15,0.01,100.0,100.0,100.0,100.0
38,SVM,0.85,0.2,0.01,100.0,100.0,100.0,100.0
39,SVM,0.85,0.25,0.01,100.0,100.0,100.0,100.0
40,SVM,0.85,0.3,0.01,100.0,100.0,100.0,100.0
41,SVM,0.85,0.4,0.01,100.0,100.0,100.0,100.0
42,SVM,0.85,0.1,0.03,100.0,100.0,100.0,100.0
43,SVM,0.85,0.15,0.03,100.0,100.0,100.0,100.0
44,SVM,0.85,0.2,0.03,100.0,100.0,100.0,100.0
45,SVM,0.85,0.25,0.03,100.0,100.0,100.0,100.0
46,SVM,0.85,0.3,0.03,100.0,100.0,100.0,100.0
47,SVM,0.85,0.4,0.03,100.0,100.0,100.0,100.0
48,SVM,0.85,0.1,0.05,100.0,100.0,100.0,100.0
49,SVM,0.85,0.15,0.05,100.0,100.0,100.0,100.0
50,SVM,0.85,0.2,0.05,100.0,100.0,100.0,100.0
51,SVM,0.85,0.25,0.05,100.0,100.0,100.0,100.0
52,SVM,0.85,0.3,0.05,100.0,100.0,100.0,100.0
53,SVM,0.85,0.4,0.05,100.0,100.0,100.0,100.0
54,SVM,0.85,0.1,0.08,100.0,100.0,100.0,100.0
55,SVM,0.85,0.15,0.08,100.0,100.0,100.0,100.0
56,SVM,0.85,0.2,0.08,100.0,100.0,100.0,100.0
57,SVM,0.85,0.25,0.08,100.0,100.0,100.0,100.0
58,SVM,0.85,0.3,0.08,100.0,100.0,100.0,100.0
59,SVM,0.85,0.4,0.08,100.0,100.0,100.0,100.0
