,model,threshold,split_1,split_2,accuracy,precision,recall,human effort,name
0,Decision Tree,0.8,0.1,0.01,80.73394495,44.24778761,37.31343284,9.96068152,Decision Tree
1,Decision Tree,0.8,0.15,0.01,84.01048493,55.88235294,42.53731343,14.94102228,Decision Tree
2,Decision Tree,0.8,0.2,0.01,84.01048493,55.17241379,47.76119403,19.92136304,Decision Tree
3,Decision Tree,0.8,0.25,0.01,83.61730013,53.65853659,49.25373134,24.9017038,Decision Tree
4,Decision Tree,0.8,0.3,0.01,84.27260813,56.03448276,48.50746269,29.88204456,Decision Tree
5,Decision Tree,0.8,0.4,0.01,87.0249017,64.70588235,57.46268657,39.97378768,Decision Tree
6,Decision Tree,0.8,0.1,0.03,79.68545216,42.10526316,41.79104478,9.96068152,Decision Tree
7,Decision Tree,0.8,0.15,0.03,84.92791612,59.04761905,46.26865672,14.94102228,Decision Tree
8,Decision Tree,0.8,0.2,0.03,84.79685452,57.89473684,49.25373134,19.92136304,Decision Tree
9,Decision Tree,0.8,0.25,0.03,83.22411533,52.38095238,49.25373134,24.9017038,Decision Tree
10,Decision Tree,0.8,0.3,0.03,85.19003932,59.2920354,50,29.88204456,Decision Tree
11,Decision Tree,0.8,0.4,0.03,86.8938401,64.16666667,57.46268657,39.97378768,Decision Tree
12,Decision Tree,0.8,0.1,0.05,80.73394495,43.80952381,34.32835821,9.96068152,Decision Tree
13,Decision Tree,0.8,0.15,0.05,82.83093054,51.30434783,44.02985075,14.94102228,Decision Tree
14,Decision Tree,0.8,0.2,0.05,86.23853211,63.55140187,50.74626866,19.92136304,Decision Tree
15,Decision Tree,0.8,0.25,0.05,84.27260813,55.73770492,50.74626866,24.9017038,Decision Tree
16,Decision Tree,0.8,0.3,0.05,84.66579292,57.94392523,46.26865672,29.88204456,Decision Tree
17,Decision Tree,0.8,0.4,0.05,87.0249017,65.2173913,55.97014925,39.97378768,Decision Tree
18,Decision Tree,0.8,0.1,0.08,79.16120577,40.60150376,40.29850746,9.96068152,Decision Tree
19,Decision Tree,0.8,0.15,0.08,83.61730013,54.12844037,44.02985075,14.94102228,Decision Tree
20,Decision Tree,0.8,0.2,0.08,84.79685452,57.89473684,49.25373134,19.92136304,Decision Tree
21,Decision Tree,0.8,0.25,0.08,85.84534731,61.81818182,50.74626866,24.9017038,Decision Tree
22,Decision Tree,0.8,0.3,0.08,84.01048493,54.61538462,52.98507463,29.88204456,Decision Tree
23,Decision Tree,0.8,0.4,0.08,86.8938401,63.49206349,59.70149254,39.97378768,Decision Tree
24,Decision Tree,0.8,0.1,0.1,80.07863696,43.07692308,41.79104478,9.96068152,Decision Tree
25,Decision Tree,0.8,0.15,0.1,83.35517693,53.09734513,44.7761194,14.94102228,Decision Tree
26,Decision Tree,0.8,0.2,0.1,85.32110092,60,49.25373134,19.92136304,Decision Tree
27,Decision Tree,0.8,0.25,0.1,83.48623853,53.17460317,50,24.9017038,Decision Tree
28,Decision Tree,0.8,0.3,0.1,85.05897772,57.69230769,55.97014925,29.88204456,Decision Tree
29,Decision Tree,0.8,0.4,0.1,86.8938401,63.28125,60.44776119,39.97378768,Decision Tree
30,Decision Tree,0.8,0.1,0.15,80.47182176,44,41.04477612,9.96068152,Decision Tree
31,Decision Tree,0.8,0.15,0.15,83.22411533,52.5862069,45.52238806,14.94102228,Decision Tree
32,Decision Tree,0.8,0.2,0.15,85.32110092,60.18518519,48.50746269,19.92136304,Decision Tree
33,Decision Tree,0.8,0.25,0.15,85.71428571,61.68224299,49.25373134,24.9017038,Decision Tree
34,Decision Tree,0.8,0.3,0.15,84.40366972,56.30252101,50,29.88204456,Decision Tree
35,Decision Tree,0.8,0.4,0.15,86.23853211,61.06870229,59.70149254,39.97378768,Decision Tree
36,Decision Tree,0.85,0.1,0.01,80.07863696,42.62295082,38.80597015,9.96068152,Decision Tree
37,Decision Tree,0.85,0.15,0.01,82.69986894,50.74626866,50.74626866,14.94102228,Decision Tree
38,Decision Tree,0.85,0.2,0.01,84.79685452,57.62711864,50.74626866,19.92136304,Decision Tree
39,Decision Tree,0.85,0.25,0.01,83.87942333,54.47154472,50,24.9017038,Decision Tree
40,Decision Tree,0.85,0.3,0.01,85.05897772,57.57575758,56.71641791,29.88204456,Decision Tree
41,Decision Tree,0.85,0.4,0.01,86.23853211,61.24031008,58.95522388,39.97378768,Decision Tree
42,Decision Tree,0.85,0.1,0.03,79.94757536,41.59292035,35.07462687,9.96068152,Decision Tree
43,Decision Tree,0.85,0.15,0.03,83.09305374,52.0661157,47.01492537,14.94102228,Decision Tree
44,Decision Tree,0.85,0.2,0.03,85.45216252,60.17699115,50.74626866,19.92136304,Decision Tree
45,Decision Tree,0.85,0.25,0.03,84.40366972,56.41025641,49.25373134,24.9017038,Decision Tree
46,Decision Tree,0.85,0.3,0.03,84.53473132,56.06060606,55.2238806,29.88204456,Decision Tree
47,Decision Tree,0.85,0.4,0.03,86.63171691,62.90322581,58.20895522,39.97378768,Decision Tree
48,Decision Tree,0.85,0.1,0.05,80.20969856,43.7037037,44.02985075,9.96068152,Decision Tree
