,model,threshold,split_1,split_2,accuracy,precision,recall,human effort,name
0,Logistic Regression,0.8,0.1,0.01,90.30144168,100,44.7761194,22.93577982,Logistic Regression
1,Logistic Regression,0.8,0.15,0.01,91.87418087,100,53.73134328,30.66841415,Logistic Regression
2,Logistic Regression,0.8,0.2,0.01,92.79161206,100,58.95522388,36.17300131,Logistic Regression
3,Logistic Regression,0.8,0.25,0.01,92.92267366,100,59.70149254,39.97378768,Logistic Regression
4,Logistic Regression,0.8,0.3,0.01,93.31585845,100,61.94029851,44.16775885,Logistic Regression
5,Logistic Regression,0.8,0.4,0.01,95.67496723,100,75.37313433,55.04587156,Logistic Regression
6,Logistic Regression,0.8,0.1,0.03,90.30144168,100,44.7761194,23.06684142,Logistic Regression
7,Logistic Regression,0.8,0.15,0.03,91.87418087,100,53.73134328,30.66841415,Logistic Regression
8,Logistic Regression,0.8,0.2,0.03,92.92267366,100,59.70149254,36.69724771,Logistic Regression
9,Logistic Regression,0.8,0.25,0.03,93.31585845,100,61.94029851,40.89121887,Logistic Regression
10,Logistic Regression,0.8,0.3,0.03,93.31585845,100,61.94029851,44.56094364,Logistic Regression
11,Logistic Regression,0.8,0.4,0.03,95.67496723,100,75.37313433,55.04587156,Logistic Regression
12,Logistic Regression,0.8,0.1,0.05,90.30144168,100,44.7761194,23.19790301,Logistic Regression
13,Logistic Regression,0.8,0.15,0.05,91.87418087,100,53.73134328,30.66841415,Logistic Regression
14,Logistic Regression,0.8,0.2,0.05,92.92267366,100,59.70149254,36.69724771,Logistic Regression
15,Logistic Regression,0.8,0.25,0.05,93.31585845,100,61.94029851,40.89121887,Logistic Regression
16,Logistic Regression,0.8,0.3,0.05,93.31585845,100,61.94029851,44.56094364,Logistic Regression
17,Logistic Regression,0.8,0.4,0.05,95.67496723,100,75.37313433,55.43905636,Logistic Regression
18,Logistic Regression,0.8,0.1,0.08,90.30144168,100,44.7761194,23.06684142,Logistic Regression
19,Logistic Regression,0.8,0.15,0.08,91.87418087,100,53.73134328,30.79947575,Logistic Regression
20,Logistic Regression,0.8,0.2,0.08,92.92267366,100,59.70149254,36.69724771,Logistic Regression
21,Logistic Regression,0.8,0.25,0.08,93.31585845,100,61.94029851,40.89121887,Logistic Regression
22,Logistic Regression,0.8,0.3,0.08,93.31585845,100,61.94029851,44.56094364,Logistic Regression
23,Logistic Regression,0.8,0.4,0.08,95.67496723,100,75.37313433,55.43905636,Logistic Regression
24,Logistic Regression,0.8,0.1,0.1,90.30144168,100,44.7761194,23.19790301,Logistic Regression
25,Logistic Regression,0.8,0.15,0.1,91.87418087,100,53.73134328,30.79947575,Logistic Regression
26,Logistic Regression,0.8,0.2,0.1,92.92267366,100,59.70149254,36.69724771,Logistic Regression
27,Logistic Regression,0.8,0.25,0.1,93.31585845,100,61.94029851,40.89121887,Logistic Regression
28,Logistic Regression,0.8,0.3,0.1,93.31585845,100,61.94029851,44.56094364,Logistic Regression
29,Logistic Regression,0.8,0.4,0.1,95.67496723,100,75.37313433,55.43905636,Logistic Regression
30,Logistic Regression,0.8,0.1,0.15,90.30144168,100,44.7761194,23.32896461,Logistic Regression
31,Logistic Regression,0.8,0.15,0.15,91.87418087,100,53.73134328,31.06159895,Logistic Regression
32,Logistic Regression,0.8,0.2,0.15,92.92267366,100,59.70149254,36.9593709,Logistic Regression
33,Logistic Regression,0.8,0.25,0.15,93.31585845,100,61.94029851,40.89121887,Logistic Regression
34,Logistic Regression,0.8,0.3,0.15,93.31585845,100,61.94029851,44.56094364,Logistic Regression
35,Logistic Regression,0.8,0.4,0.15,95.67496723,100,75.37313433,55.43905636,Logistic Regression
36,Logistic Regression,0.85,0.1,0.01,94.36435125,100,67.91044776,37.7457405,Logistic Regression
37,Logistic Regression,0.85,0.15,0.01,95.28178244,100,73.13432836,44.29882045,Logistic Regression
38,Logistic Regression,0.85,0.2,0.01,95.93709043,100,76.86567164,48.88597641,Logistic Regression
39,Logistic Regression,0.85,0.25,0.01,96.06815203,100,77.6119403,51.90039318,Logistic Regression
40,Logistic Regression,0.85,0.3,0.01,96.06815203,100,77.6119403,53.21100917,Logistic Regression
41,Logistic Regression,0.85,0.4,0.01,98.16513761,100,89.55223881,65.79292267,Logistic Regression
42,Logistic Regression,0.85,0.1,0.03,94.88859764,100,70.89552239,40.36697248,Logistic Regression
