,model,threshold,split_1,split_2,accuracy,precision,recall,human effort
0,Random Forest,0.8,0.1,0.01,90.56356487549148,98.4375,47.014925373134325,22.280471821756226
1,Random Forest,0.8,0.15,0.01,91.21887287024902,100.0,50.0,27.522935779816514
2,Random Forest,0.8,0.2,0.01,92.00524246395806,100.0,54.47761194029851,32.37221494102228
3,Random Forest,0.8,0.25,0.01,93.44692005242464,100.0,62.6865671641791,39.71166448230668
4,Random Forest,0.8,0.3,0.01,94.36435124508519,100.0,67.91044776119404,45.74049803407602
5,Random Forest,0.8,0.4,0.01,95.67496723460026,100.0,75.3731343283582,55.30799475753604
6,Random Forest,0.8,0.1,0.03,90.956749672346,98.50746268656717,49.25373134328358,24.639580602883356
7,Random Forest,0.8,0.15,0.03,92.66055045871559,100.0,58.208955223880594,30.53735255570118
8,Random Forest,0.8,0.2,0.03,92.52948885976409,100.0,57.46268656716418,34.20707732634338
9,Random Forest,0.8,0.25,0.03,94.88859764089122,100.0,70.8955223880597,41.93971166448231
10,Random Forest,0.8,0.3,0.03,94.4954128440367,100.0,68.65671641791045,46.92005242463958
11,Random Forest,0.8,0.4,0.03,96.06815203145479,100.0,77.61194029850746,56.09436435124508
12,Random Forest,0.8,0.1,0.05,91.48099606815204,98.59154929577464,52.23880597014925,26.212319790301443
13,Random Forest,0.8,0.15,0.05,92.79161205766711,100.0,58.95522388059702,30.9305373525557
14,Random Forest,0.8,0.2,0.05,92.79161205766711,100.0,58.95522388059702,35.77981651376147
15,Random Forest,0.8,0.25,0.05,95.01965923984272,100.0,71.64179104477611,42.72608125819135
16,Random Forest,0.8,0.3,0.05,95.15072083879423,100.0,72.38805970149254,48.75491480996068
17,Random Forest,0.8,0.4,0.05,96.98558322411533,100.0,82.83582089552239,57.79816513761468
18,Random Forest,0.8,0.1,0.08,91.87418086500655,98.64864864864865,54.47761194029851,27.916120576671034
19,Random Forest,0.8,0.15,0.08,93.18479685452162,100.0,61.19402985074627,32.37221494102228
20,Random Forest,0.8,0.2,0.08,93.44692005242464,100.0,62.6865671641791,37.352555701179554
21,Random Forest,0.8,0.25,0.08,95.41284403669725,100.0,73.88059701492537,43.90563564875492
22,Random Forest,0.8,0.3,0.08,95.15072083879423,100.0,72.38805970149254,48.885976408912185
23,Random Forest,0.8,0.4,0.08,97.11664482306684,100.0,83.58208955223881,59.10878112712975
24,Random Forest,0.8,0.1,0.1,91.21887287024902,98.55072463768116,50.74626865671642,27.916120576671034
25,Random Forest,0.8,0.15,0.1,93.31585845347313,100.0,61.940298507462686,33.158584534731325
26,Random Forest,0.8,0.2,0.1,93.57798165137615,100.0,63.43283582089552,38.40104849279161
