,model,threshold,split_1,split_2,accuracy,human effort
0,Decision Tree,0.8,0.1,0.01,82.1608040201005,9.798994974874372
1,Decision Tree,0.8,0.15,0.01,80.65326633165829,14.824120603015075
2,Decision Tree,0.8,0.2,0.01,80.65326633165829,19.849246231155778
3,Decision Tree,0.8,0.25,0.01,83.41708542713567,24.87437185929648
4,Decision Tree,0.8,0.3,0.01,84.92462311557789,29.899497487437184
5,Decision Tree,0.8,0.4,0.01,88.19095477386935,39.949748743718594
6,Decision Tree,0.8,0.1,0.03,82.1608040201005,9.798994974874372
7,Decision Tree,0.8,0.15,0.03,81.4070351758794,14.824120603015075
8,Decision Tree,0.8,0.2,0.03,82.91457286432161,19.849246231155778
9,Decision Tree,0.8,0.25,0.03,83.66834170854271,24.87437185929648
10,Decision Tree,0.8,0.3,0.03,88.94472361809045,29.899497487437184
11,Decision Tree,0.8,0.4,0.03,85.678391959799,39.949748743718594
12,Decision Tree,0.8,0.1,0.05,82.1608040201005,9.798994974874372
13,Decision Tree,0.8,0.15,0.05,81.4070351758794,14.824120603015075
14,Decision Tree,0.8,0.2,0.05,81.65829145728644,19.849246231155778
15,Decision Tree,0.8,0.25,0.05,84.17085427135679,24.87437185929648
16,Decision Tree,0.8,0.3,0.05,87.1859296482412,29.899497487437184
17,Decision Tree,0.8,0.4,0.05,85.678391959799,39.949748743718594
18,Decision Tree,0.8,0.1,0.08,82.1608040201005,9.798994974874372
19,Decision Tree,0.8,0.15,0.08,81.4070351758794,14.824120603015075
20,Decision Tree,0.8,0.2,0.08,83.16582914572864,19.849246231155778
21,Decision Tree,0.8,0.25,0.08,83.41708542713567,24.87437185929648
22,Decision Tree,0.8,0.3,0.08,85.17587939698493,29.899497487437184
23,Decision Tree,0.8,0.4,0.08,86.93467336683418,39.949748743718594
24,Decision Tree,0.8,0.1,0.1,82.1608040201005,9.798994974874372
25,Decision Tree,0.8,0.15,0.1,81.4070351758794,14.824120603015075
26,Decision Tree,0.8,0.2,0.1,80.90452261306532,19.849246231155778
27,Decision Tree,0.8,0.25,0.1,83.16582914572864,24.87437185929648
28,Decision Tree,0.8,0.3,0.1,87.93969849246231,29.899497487437184
29,Decision Tree,0.8,0.4,0.1,86.18090452261306,39.949748743718594
30,Decision Tree,0.8,0.1,0.15,82.1608040201005,9.798994974874372
31,Decision Tree,0.8,0.15,0.15,80.65326633165829,14.824120603015075
32,Decision Tree,0.8,0.2,0.15,82.41206030150754,19.849246231155778
33,Decision Tree,0.8,0.25,0.15,83.91959798994975,24.87437185929648
34,Decision Tree,0.8,0.3,0.15,85.17587939698493,29.899497487437184
35,Decision Tree,0.8,0.4,0.15,85.678391959799,39.949748743718594
36,Decision Tree,0.85,0.1,0.01,82.1608040201005,9.798994974874372
37,Decision Tree,0.85,0.15,0.01,81.4070351758794,14.824120603015075
38,Decision Tree,0.85,0.2,0.01,83.41708542713567,19.849246231155778
39,Decision Tree,0.85,0.25,0.01,84.42211055276383,24.87437185929648
40,Decision Tree,0.85,0.3,0.01,86.18090452261306,29.899497487437184
41,Decision Tree,0.85,0.4,0.01,87.43718592964824,39.949748743718594
42,Decision Tree,0.85,0.1,0.03,82.1608040201005,9.798994974874372
43,Decision Tree,0.85,0.15,0.03,81.4070351758794,14.824120603015075
44,Decision Tree,0.85,0.2,0.03,81.65829145728644,19.849246231155778
45,Decision Tree,0.85,0.25,0.03,83.41708542713567,24.87437185929648
46,Decision Tree,0.85,0.3,0.03,84.17085427135679,29.899497487437184
47,Decision Tree,0.85,0.4,0.03,86.68341708542714,39.949748743718594
48,Decision Tree,0.85,0.1,0.05,82.1608040201005,9.798994974874372
49,Decision Tree,0.85,0.15,0.05,81.4070351758794,14.824120603015075
50,Decision Tree,0.85,0.2,0.05,82.91457286432161,19.849246231155778
51,Decision Tree,0.85,0.25,0.05,84.42211055276383,24.87437185929648
52,Decision Tree,0.85,0.3,0.05,88.44221105527639,29.899497487437184
53,Decision Tree,0.85,0.4,0.05,86.18090452261306,39.949748743718594
54,Decision Tree,0.85,0.1,0.08,82.1608040201005,9.798994974874372
55,Decision Tree,0.85,0.15,0.08,81.4070351758794,14.824120603015075
56,Decision Tree,0.85,0.2,0.08,83.16582914572864,19.849246231155778
57,Decision Tree,0.85,0.25,0.08,83.41708542713567,24.87437185929648
58,Decision Tree,0.85,0.3,0.08,89.44723618090453,29.899497487437184
59,Decision Tree,0.85,0.4,0.08,86.68341708542714,39.949748743718594
60,Decision Tree,0.85,0.1,0.1,82.1608040201005,9.798994974874372
61,Decision Tree,0.85,0.15,0.1,81.4070351758794,14.824120603015075
62,Decision Tree,0.85,0.2,0.1,80.90452261306532,19.849246231155778
63,Decision Tree,0.85,0.25,0.1,83.91959798994975,24.87437185929648
64,Decision Tree,0.85,0.3,0.1,85.17587939698493,29.899497487437184
65,Decision Tree,0.85,0.4,0.1,87.43718592964824,39.949748743718594
66,Decision Tree,0.85,0.1,0.15,82.1608040201005,9.798994974874372
67,Decision Tree,0.85,0.15,0.15,81.4070351758794,14.824120603015075
68,Decision Tree,0.85,0.2,0.15,81.15577889447236,19.849246231155778
69,Decision Tree,0.85,0.25,0.15,82.41206030150754,24.87437185929648
70,Decision Tree,0.85,0.3,0.15,84.92462311557789,29.899497487437184
71,Decision Tree,0.85,0.4,0.15,86.18090452261306,39.949748743718594
72,Decision Tree,0.9,0.1,0.01,82.1608040201005,9.798994974874372
73,Decision Tree,0.9,0.15,0.01,81.4070351758794,14.824120603015075
74,Decision Tree,0.9,0.2,0.01,80.65326633165829,19.849246231155778
75,Decision Tree,0.9,0.25,0.01,84.42211055276383,24.87437185929648
76,Decision Tree,0.9,0.3,0.01,85.17587939698493,29.899497487437184
77,Decision Tree,0.9,0.4,0.01,87.93969849246231,39.949748743718594
78,Decision Tree,0.9,0.1,0.03,82.1608040201005,9.798994974874372
