,model,threshold,split_1,split_2,accuracy,human effort
0,Logistic Regression,0.8,0.1,0.01,94.72361809045226,42.21105527638191
1,Logistic Regression,0.8,0.15,0.01,95.7286432160804,47.73869346733668
2,Logistic Regression,0.8,0.2,0.01,96.23115577889448,49.49748743718593
3,Logistic Regression,0.8,0.25,0.01,94.9748743718593,50.50251256281407
4,Logistic Regression,0.8,0.3,0.01,95.7286432160804,55.02512562814071
5,Logistic Regression,0.8,0.4,0.01,96.48241206030151,62.311557788944725
6,Logistic Regression,0.8,0.1,0.03,94.72361809045226,42.462311557788944
7,Logistic Regression,0.8,0.15,0.03,95.97989949748744,47.73869346733668
8,Logistic Regression,0.8,0.2,0.03,96.23115577889448,49.74874371859296
9,Logistic Regression,0.8,0.25,0.03,95.22613065326634,50.753768844221106
10,Logistic Regression,0.8,0.3,0.03,96.23115577889448,56.28140703517588
11,Logistic Regression,0.8,0.4,0.03,96.73366834170854,63.06532663316583
12,Logistic Regression,0.8,0.1,0.05,94.9748743718593,42.71356783919598
13,Logistic Regression,0.8,0.15,0.05,96.23115577889448,49.74874371859296
14,Logistic Regression,0.8,0.2,0.05,96.23115577889448,49.74874371859296
15,Logistic Regression,0.8,0.25,0.05,95.22613065326634,50.753768844221106
16,Logistic Regression,0.8,0.3,0.05,95.97989949748744,55.778894472361806
17,Logistic Regression,0.8,0.4,0.05,96.73366834170854,63.06532663316583
18,Logistic Regression,0.8,0.1,0.08,94.9748743718593,43.21608040201005
19,Logistic Regression,0.8,0.15,0.08,96.23115577889448,49.74874371859296
20,Logistic Regression,0.8,0.2,0.08,96.23115577889448,50.25125628140704
21,Logistic Regression,0.8,0.25,0.08,95.22613065326634,51.005025125628144
22,Logistic Regression,0.8,0.3,0.08,96.48241206030151,56.78391959798995
23,Logistic Regression,0.8,0.4,0.08,96.73366834170854,63.06532663316583
24,Logistic Regression,0.8,0.1,0.1,94.9748743718593,42.71356783919598
25,Logistic Regression,0.8,0.15,0.1,96.23115577889448,50.25125628140704
26,Logistic Regression,0.8,0.2,0.1,96.23115577889448,50.50251256281407
27,Logistic Regression,0.8,0.25,0.1,95.47738693467336,51.50753768844221
28,Logistic Regression,0.8,0.3,0.1,96.48241206030151,56.78391959798995
29,Logistic Regression,0.8,0.4,0.1,96.73366834170854,63.06532663316583
30,Logistic Regression,0.8,0.1,0.15,94.9748743718593,42.71356783919598
31,Logistic Regression,0.8,0.15,0.15,96.23115577889448,50.25125628140704
32,Logistic Regression,0.8,0.2,0.15,96.48241206030151,51.75879396984924
33,Logistic Regression,0.8,0.25,0.15,95.47738693467336,51.50753768844221
34,Logistic Regression,0.8,0.3,0.15,96.48241206030151,57.03517587939699
35,Logistic Regression,0.8,0.4,0.15,96.73366834170854,63.5678391959799
36,Logistic Regression,0.85,0.1,0.01,97.73869346733669,58.54271356783919
37,Logistic Regression,0.85,0.15,0.01,98.49246231155779,59.79899497487437
38,Logistic Regression,0.85,0.2,0.01,97.73869346733669,58.79396984924623
39,Logistic Regression,0.85,0.25,0.01,97.48743718592965,59.04522613065327
40,Logistic Regression,0.85,0.3,0.01,97.73869346733669,61.55778894472362
41,Logistic Regression,0.85,0.4,0.01,98.49246231155779,69.84924623115577
