,model,threshold,split_1,split_2,accuracy,human effort
0,Random Forest,0.8,0.1,0.01,89.19597989949749,29.396984924623116
1,Random Forest,0.8,0.15,0.01,93.21608040201005,40.45226130653266
2,Random Forest,0.8,0.2,0.01,92.71356783919597,43.71859296482412
3,Random Forest,0.8,0.25,0.01,93.46733668341709,47.73869346733668
4,Random Forest,0.8,0.3,0.01,93.71859296482413,51.005025125628144
5,Random Forest,0.8,0.4,0.01,94.72361809045226,57.78894472361809
6,Random Forest,0.8,0.1,0.03,90.45226130653266,33.66834170854271
7,Random Forest,0.8,0.15,0.03,94.22110552763819,44.472361809045225
8,Random Forest,0.8,0.2,0.03,93.46733668341709,45.97989949748744
9,Random Forest,0.8,0.25,0.03,94.22110552763819,50.753768844221106
10,Random Forest,0.8,0.3,0.03,94.72361809045226,53.015075376884425
11,Random Forest,0.8,0.4,0.03,94.9748743718593,59.2964824120603
12,Random Forest,0.8,0.1,0.05,91.95979899497488,36.93467336683417
13,Random Forest,0.8,0.15,0.05,94.22110552763819,46.482412060301506
14,Random Forest,0.8,0.2,0.05,92.96482412060301,46.231155778894475
15,Random Forest,0.8,0.25,0.05,93.96984924623115,50.50251256281407
16,Random Forest,0.8,0.3,0.05,94.72361809045226,55.27638190954774
17,Random Forest,0.8,0.4,0.05,94.72361809045226,60.301507537688444
18,Random Forest,0.8,0.1,0.08,91.95979899497488,36.93467336683417
19,Random Forest,0.8,0.15,0.08,93.96984924623115,47.98994974874372
20,Random Forest,0.8,0.2,0.08,93.71859296482413,49.49748743718593
21,Random Forest,0.8,0.25,0.08,94.9748743718593,55.778894472361806
22,Random Forest,0.8,0.3,0.08,95.22613065326634,56.030150753768844
23,Random Forest,0.8,0.4,0.08,94.72361809045226,61.55778894472362
24,Random Forest,0.8,0.1,0.1,91.95979899497488,38.94472361809045
25,Random Forest,0.8,0.15,0.1,94.22110552763819,48.24120603015076
26,Random Forest,0.8,0.2,0.1,94.47236180904522,51.50753768844221
27,Random Forest,0.8,0.25,0.1,94.9748743718593,55.527638190954775
28,Random Forest,0.8,0.3,0.1,94.9748743718593,58.29145728643216
29,Random Forest,0.8,0.4,0.1,95.47738693467336,62.311557788944725
30,Random Forest,0.8,0.1,0.15,94.22110552763819,44.221105527638194
31,Random Forest,0.8,0.15,0.15,95.97989949748744,53.517587939698494
32,Random Forest,0.8,0.2,0.15,95.22613065326634,53.266331658291456
33,Random Forest,0.8,0.25,0.15,95.7286432160804,57.03517587939699
34,Random Forest,0.8,0.3,0.15,95.7286432160804,59.54773869346734
35,Random Forest,0.8,0.4,0.15,94.9748743718593,62.814070351758794
36,Random Forest,0.85,0.1,0.01,92.71356783919597,38.94472361809045
37,Random Forest,0.85,0.15,0.01,94.47236180904522,47.23618090452261
38,Random Forest,0.85,0.2,0.01,94.72361809045226,50.0
39,Random Forest,0.85,0.25,0.01,95.22613065326634,54.2713567839196
40,Random Forest,0.85,0.3,0.01,94.9748743718593,56.28140703517588
41,Random Forest,0.85,0.4,0.01,95.22613065326634,62.311557788944725
42,Random Forest,0.85,0.1,0.03,92.46231155778895,41.20603015075377
43,Random Forest,0.85,0.15,0.03,94.22110552763819,48.49246231155779
44,Random Forest,0.85,0.2,0.03,94.22110552763819,49.49748743718593
45,Random Forest,0.85,0.25,0.03,95.47738693467336,55.778894472361806
46,Random Forest,0.85,0.3,0.03,95.47738693467336,57.78894472361809
47,Random Forest,0.85,0.4,0.03,95.47738693467336,63.06532663316583
48,Random Forest,0.85,0.1,0.05,93.46733668341709,42.96482412060301
49,Random Forest,0.85,0.15,0.05,95.47738693467336,51.50753768844221
50,Random Forest,0.85,0.2,0.05,94.72361809045226,52.51256281407035
51,Random Forest,0.85,0.25,0.05,95.22613065326634,56.53266331658291
52,Random Forest,0.85,0.3,0.05,94.9748743718593,59.2964824120603
53,Random Forest,0.85,0.4,0.05,95.22613065326634,64.321608040201
54,Random Forest,0.85,0.1,0.08,94.22110552763819,46.984924623115575
55,Random Forest,0.85,0.15,0.08,95.7286432160804,55.527638190954775
56,Random Forest,0.85,0.2,0.08,94.9748743718593,53.517587939698494
57,Random Forest,0.85,0.25,0.08,96.48241206030151,59.54773869346734
58,Random Forest,0.85,0.3,0.08,95.22613065326634,61.30653266331658
59,Random Forest,0.85,0.4,0.08,95.97989949748744,65.07537688442211
60,Random Forest,0.85,0.1,0.1,94.22110552763819,44.97487437185929
61,Random Forest,0.85,0.15,0.1,95.47738693467336,55.02512562814071
62,Random Forest,0.85,0.2,0.1,95.47738693467336,54.52261306532663
63,Random Forest,0.85,0.25,0.1,96.48241206030151,61.30653266331658
64,Random Forest,0.85,0.3,0.1,95.22613065326634,60.552763819095475
65,Random Forest,0.85,0.4,0.1,95.7286432160804,65.32663316582915
66,Random Forest,0.85,0.1,0.15,95.47738693467336,49.246231155778894
67,Random Forest,0.85,0.15,0.15,97.23618090452261,59.54773869346734
68,Random Forest,0.85,0.2,0.15,96.48241206030151,57.537688442211056
