,model,threshold,split_1,split_2,accuracy,human effort
0,SVM,0.8,0.1,0.01,91.70854271356784,26.633165829145728
1,SVM,0.8,0.15,0.01,92.71356783919597,32.914572864321606
2,SVM,0.8,0.2,0.01,93.96984924623115,37.437185929648244
3,SVM,0.8,0.25,0.01,92.96482412060301,40.45226130653266
4,SVM,0.8,0.3,0.01,92.71356783919597,42.96482412060301
5,SVM,0.8,0.4,0.01,93.71859296482413,51.75879396984924
6,SVM,0.8,0.1,0.03,93.71859296482413,32.41206030150754
7,SVM,0.8,0.15,0.03,94.72361809045226,37.93969849246231
8,SVM,0.8,0.2,0.03,94.47236180904522,39.447236180904525
9,SVM,0.8,0.25,0.03,93.21608040201005,40.95477386934673
10,SVM,0.8,0.3,0.03,94.22110552763819,46.231155778894475
11,SVM,0.8,0.4,0.03,93.46733668341709,51.75879396984924
12,SVM,0.8,0.1,0.05,93.71859296482413,32.663316582914575
13,SVM,0.8,0.15,0.05,94.9748743718593,39.447236180904525
14,SVM,0.8,0.2,0.05,94.72361809045226,40.95477386934673
15,SVM,0.8,0.25,0.05,95.47738693467336,44.97487437185929
16,SVM,0.8,0.3,0.05,94.9748743718593,47.23618090452261
17,SVM,0.8,0.4,0.05,93.71859296482413,51.75879396984924
18,SVM,0.8,0.1,0.08,93.96984924623115,32.1608040201005
19,SVM,0.8,0.15,0.08,93.46733668341709,36.4321608040201
20,SVM,0.8,0.2,0.08,94.72361809045226,40.7035175879397
21,SVM,0.8,0.25,0.08,94.9748743718593,45.47738693467337
22,SVM,0.8,0.3,0.08,95.22613065326634,48.49246231155779
23,SVM,0.8,0.4,0.08,94.47236180904522,54.52261306532663
24,SVM,0.8,0.1,0.1,92.96482412060301,29.899497487437184
25,SVM,0.8,0.15,0.1,94.9748743718593,40.45226130653266
26,SVM,0.8,0.2,0.1,94.72361809045226,41.20603015075377
27,SVM,0.8,0.25,0.1,94.72361809045226,44.472361809045225
28,SVM,0.8,0.3,0.1,94.9748743718593,51.256281407035175
29,SVM,0.8,0.4,0.1,94.72361809045226,54.52261306532663
30,SVM,0.8,0.1,0.15,91.95979899497488,30.402010050251256
31,SVM,0.8,0.15,0.15,95.22613065326634,39.949748743718594
32,SVM,0.8,0.2,0.15,94.72361809045226,41.20603015075377
33,SVM,0.8,0.25,0.15,93.71859296482413,44.472361809045225
34,SVM,0.8,0.3,0.15,94.9748743718593,49.246231155778894
35,SVM,0.8,0.4,0.15,94.9748743718593,55.27638190954774
36,SVM,0.85,0.1,0.01,91.70854271356784,29.899497487437184
37,SVM,0.85,0.15,0.01,94.72361809045226,39.698492462311556
38,SVM,0.85,0.2,0.01,94.47236180904522,41.959798994974875
39,SVM,0.85,0.25,0.01,93.71859296482413,44.97487437185929
40,SVM,0.85,0.3,0.01,95.22613065326634,49.74874371859296
41,SVM,0.85,0.4,0.01,94.9748743718593,56.78391959798995
42,SVM,0.85,0.1,0.03,94.9748743718593,39.19597989949749
43,SVM,0.85,0.15,0.03,95.22613065326634,42.462311557788944
44,SVM,0.85,0.2,0.03,95.22613065326634,43.21608040201005
45,SVM,0.85,0.25,0.03,95.7286432160804,48.49246231155779
46,SVM,0.85,0.3,0.03,95.22613065326634,51.256281407035175
47,SVM,0.85,0.4,0.03,95.22613065326634,58.040201005025125
48,SVM,0.85,0.1,0.05,94.72361809045226,37.185929648241206
49,SVM,0.85,0.15,0.05,95.97989949748744,45.47738693467337
50,SVM,0.85,0.2,0.05,95.22613065326634,43.969849246231156
51,SVM,0.85,0.25,0.05,93.96984924623115,45.97989949748744
52,SVM,0.85,0.3,0.05,95.22613065326634,51.50753768844221
53,SVM,0.85,0.4,0.05,94.9748743718593,57.28643216080402
54,SVM,0.85,0.1,0.08,94.72361809045226,37.437185929648244
55,SVM,0.85,0.15,0.08,94.9748743718593,41.20603015075377
56,SVM,0.85,0.2,0.08,94.9748743718593,42.96482412060301
57,SVM,0.85,0.25,0.08,94.9748743718593,47.48743718592965
58,SVM,0.85,0.3,0.08,95.47738693467336,53.266331658291456
59,SVM,0.85,0.4,0.08,95.47738693467336,59.04522613065327
60,SVM,0.85,0.1,0.1,94.9748743718593,43.21608040201005
61,SVM,0.85,0.15,0.1,95.7286432160804,44.97487437185929
62,SVM,0.85,0.2,0.1,94.9748743718593,46.231155778894475
63,SVM,0.85,0.25,0.1,95.7286432160804,49.49748743718593
