,model,threshold,split_1,split_2,accuracy,human effort
0,Decision Tree,0.8,0.1,0.01,74.12060301507537,9.798994974874372
1,Decision Tree,0.8,0.15,0.01,82.91457286432161,23.115577889447238
2,Decision Tree,0.8,0.2,0.01,85.42713567839196,28.14070351758794
3,Decision Tree,0.8,0.25,0.01,86.68341708542714,34.17085427135678
4,Decision Tree,0.8,0.3,0.01,88.69346733668341,39.949748743718594
5,Decision Tree,0.8,0.4,0.01,89.44723618090453,48.49246231155779
6,Decision Tree,0.8,0.1,0.03,74.12060301507537,9.798994974874372
7,Decision Tree,0.8,0.15,0.03,82.91457286432161,23.115577889447238
8,Decision Tree,0.8,0.2,0.03,85.42713567839196,28.14070351758794
9,Decision Tree,0.8,0.25,0.03,86.68341708542714,34.17085427135678
10,Decision Tree,0.8,0.3,0.03,88.69346733668341,39.949748743718594
11,Decision Tree,0.8,0.4,0.03,89.44723618090453,48.49246231155779
12,Decision Tree,0.8,0.1,0.05,74.12060301507537,9.798994974874372
13,Decision Tree,0.8,0.15,0.05,83.41708542713567,24.371859296482413
14,Decision Tree,0.8,0.2,0.05,85.92964824120602,29.396984924623116
15,Decision Tree,0.8,0.25,0.05,86.68341708542714,34.17085427135678
16,Decision Tree,0.8,0.3,0.05,88.69346733668341,39.949748743718594
17,Decision Tree,0.8,0.4,0.05,89.94974874371859,49.74874371859296
18,Decision Tree,0.8,0.1,0.08,74.12060301507537,9.798994974874372
19,Decision Tree,0.8,0.15,0.08,83.41708542713567,24.371859296482413
20,Decision Tree,0.8,0.2,0.08,85.92964824120602,29.396984924623116
21,Decision Tree,0.8,0.25,0.08,86.68341708542714,34.17085427135678
22,Decision Tree,0.8,0.3,0.08,88.69346733668341,39.949748743718594
23,Decision Tree,0.8,0.4,0.08,89.94974874371859,49.74874371859296
24,Decision Tree,0.8,0.1,0.1,74.12060301507537,9.798994974874372
25,Decision Tree,0.8,0.15,0.1,83.41708542713567,24.371859296482413
26,Decision Tree,0.8,0.2,0.1,85.92964824120602,29.396984924623116
27,Decision Tree,0.8,0.25,0.1,86.68341708542714,34.17085427135678
28,Decision Tree,0.8,0.3,0.1,88.69346733668341,39.949748743718594
29,Decision Tree,0.8,0.4,0.1,89.94974874371859,49.74874371859296
30,Decision Tree,0.8,0.1,0.15,74.12060301507537,9.798994974874372
31,Decision Tree,0.8,0.15,0.15,83.41708542713567,24.371859296482413
32,Decision Tree,0.8,0.2,0.15,85.92964824120602,29.396984924623116
33,Decision Tree,0.8,0.25,0.15,86.68341708542714,34.17085427135678
34,Decision Tree,0.8,0.3,0.15,88.69346733668341,39.949748743718594
35,Decision Tree,0.8,0.4,0.15,89.94974874371859,49.74874371859296
36,Decision Tree,0.85,0.1,0.01,74.87437185929649,15.829145728643216
37,Decision Tree,0.85,0.15,0.01,83.66834170854271,28.14070351758794
38,Decision Tree,0.85,0.2,0.01,85.92964824120602,30.90452261306533
39,Decision Tree,0.85,0.25,0.01,86.68341708542714,34.17085427135678
40,Decision Tree,0.85,0.3,0.01,88.69346733668341,40.20100502512563
41,Decision Tree,0.85,0.4,0.01,89.94974874371859,49.74874371859296
42,Decision Tree,0.85,0.1,0.03,75.12562814070351,18.09045226130653
43,Decision Tree,0.85,0.15,0.03,83.91959798994975,29.64824120603015
44,Decision Tree,0.85,0.2,0.03,86.18090452261306,31.90954773869347
45,Decision Tree,0.85,0.25,0.03,86.68341708542714,34.17085427135678
46,Decision Tree,0.85,0.3,0.03,88.69346733668341,41.70854271356784
47,Decision Tree,0.85,0.4,0.03,89.94974874371859,49.74874371859296
48,Decision Tree,0.85,0.1,0.05,75.37688442211055,19.34673366834171
49,Decision Tree,0.85,0.15,0.05,84.42211055276383,32.914572864321606
50,Decision Tree,0.85,0.2,0.05,86.4321608040201,33.91959798994975
51,Decision Tree,0.85,0.25,0.05,86.68341708542714,34.17085427135678
52,Decision Tree,0.85,0.3,0.05,88.69346733668341,43.46733668341709
53,Decision Tree,0.85,0.4,0.05,89.94974874371859,49.74874371859296
54,Decision Tree,0.85,0.1,0.08,75.12562814070351,17.587939698492463
55,Decision Tree,0.85,0.15,0.08,84.17085427135679,31.65829145728643
56,Decision Tree,0.85,0.2,0.08,86.68341708542714,36.18090452261306
