,model,threshold,split_1,split_2,accuracy,human effort
0,Logistic Regression,0.8,0.1,0.01,87.43718592964824,37.185929648241206
1,Logistic Regression,0.8,0.15,0.01,95.22613065326634,47.98994974874372
2,Logistic Regression,0.8,0.2,0.01,95.7286432160804,51.256281407035175
3,Logistic Regression,0.8,0.25,0.01,96.73366834170854,54.52261306532663
4,Logistic Regression,0.8,0.3,0.01,96.73366834170854,56.78391959798995
5,Logistic Regression,0.8,0.4,0.01,96.73366834170854,61.55778894472362
6,Logistic Regression,0.8,0.1,0.03,87.43718592964824,37.437185929648244
7,Logistic Regression,0.8,0.15,0.03,94.72361809045226,47.48743718592965
8,Logistic Regression,0.8,0.2,0.03,96.23115577889448,51.256281407035175
9,Logistic Regression,0.8,0.25,0.03,96.73366834170854,55.527638190954775
10,Logistic Regression,0.8,0.3,0.03,96.98492462311557,57.537688442211056
11,Logistic Regression,0.8,0.4,0.03,96.48241206030151,62.562814070351756
12,Logistic Regression,0.8,0.1,0.05,87.93969849246231,39.698492462311556
13,Logistic Regression,0.8,0.15,0.05,95.47738693467336,50.25125628140704
14,Logistic Regression,0.8,0.2,0.05,96.48241206030151,52.76381909547739
15,Logistic Regression,0.8,0.25,0.05,96.48241206030151,55.527638190954775
16,Logistic Regression,0.8,0.3,0.05,96.98492462311557,57.78894472361809
17,Logistic Regression,0.8,0.4,0.05,96.73366834170854,62.814070351758794
18,Logistic Regression,0.8,0.1,0.08,87.93969849246231,39.698492462311556
19,Logistic Regression,0.8,0.15,0.08,95.7286432160804,51.005025125628144
20,Logistic Regression,0.8,0.2,0.08,96.48241206030151,53.517587939698494
21,Logistic Regression,0.8,0.25,0.08,96.73366834170854,57.03517587939699
22,Logistic Regression,0.8,0.3,0.08,96.73366834170854,58.79396984924623
23,Logistic Regression,0.8,0.4,0.08,96.98492462311557,64.82412060301507
24,Logistic Regression,0.8,0.1,0.1,87.68844221105527,39.447236180904525
25,Logistic Regression,0.8,0.15,0.1,95.47738693467336,50.753768844221106
26,Logistic Regression,0.8,0.2,0.1,96.48241206030151,53.517587939698494
27,Logistic Regression,0.8,0.25,0.1,96.73366834170854,57.28643216080402
28,Logistic Regression,0.8,0.3,0.1,96.98492462311557,59.2964824120603
29,Logistic Regression,0.8,0.4,0.1,96.98492462311557,64.07035175879398
30,Logistic Regression,0.8,0.1,0.15,87.93969849246231,39.698492462311556
31,Logistic Regression,0.8,0.15,0.15,95.7286432160804,53.015075376884425
32,Logistic Regression,0.8,0.2,0.15,96.73366834170854,54.2713567839196
33,Logistic Regression,0.8,0.25,0.15,96.73366834170854,57.28643216080402
34,Logistic Regression,0.8,0.3,0.15,96.98492462311557,60.050251256281406
35,Logistic Regression,0.8,0.4,0.15,96.73366834170854,65.57788944723617
36,Logistic Regression,0.85,0.1,0.01,90.45226130653266,52.51256281407035
37,Logistic Regression,0.85,0.15,0.01,97.23618090452261,59.54773869346734
