,model,threshold,split_1,split_2,accuracy,human effort
0,Decision Tree,0.9,0.2,0.01,88.91454965357968,19.989735694123684
1,Decision Tree,0.9,0.2,0.03,88.99153194765204,19.989735694123684
2,Decision Tree,0.9,0.2,0.05,89.19681806517835,19.989735694123684
3,Decision Tree,0.9,0.2,0.08,89.09417500641518,19.989735694123684
4,Decision Tree,0.9,0.2,0.1,89.22247882986913,19.989735694123684
5,Decision Tree,0.9,0.2,0.15,89.01719271234283,19.989735694123684
6,SVM,0.9,0.2,0.01,97.38260200153965,35.36053374390557
7,SVM,0.9,0.2,0.03,97.51090582499359,36.207338978701564
8,SVM,0.9,0.2,0.05,97.58788811906595,36.72055427251732
9,SVM,0.9,0.2,0.08,97.63920964844752,37.00282268411598
10,SVM,0.9,0.2,0.1,97.63920964844752,37.516037977931745
11,SVM,0.9,0.2,0.15,97.79317423659225,38.439825506800105
12,Logistic Regression,0.9,0.2,0.01,99.20451629458557,50.987939440595326
13,Logistic Regression,0.9,0.2,0.03,99.20451629458557,51.16756479343084
14,Logistic Regression,0.9,0.2,0.05,99.23017705927637,51.60379779317424
15,Logistic Regression,0.9,0.2,0.08,99.23017705927637,52.11701308698999
16,Logistic Regression,0.9,0.2,0.1,99.23017705927637,52.06569155760842
17,Logistic Regression,0.9,0.2,0.15,99.25583782396716,52.98947908647678
18,Random Forest,0.9,0.2,0.01,97.22863741339492,36.87451886066205
19,Random Forest,0.9,0.2,0.03,97.6905311778291,39.0813446240698
20,Random Forest,0.9,0.2,0.05,97.97279958942777,40.390043623299974
21,Random Forest,0.9,0.2,0.08,98.20374647164485,41.442134975622274
22,Random Forest,0.9,0.2,0.1,98.04978188350013,41.698742622530155
23,Random Forest,0.9,0.2,0.15,98.22940723633565,42.725173210161664
