,model,threshold,split_1,split_2,accuracy,precision,recall,human effort,name
0,SVM,0.8,0.1,0.01,94.61678832,94.37585734,97.45042493,17.33576642,SVM
1,SVM,0.8,0.15,0.01,94.61678832,94.25444596,97.59206799,22.08029197,SVM
7,SVM,0.8,0.15,0.03,94.7080292,94.26229508,97.73371105,21.89781022,SVM
6,SVM,0.8,0.1,0.03,95.25547445,94.91758242,97.87535411,18.33941606,SVM
13,SVM,0.8,0.15,0.05,95.25547445,94.55040872,98.30028329,23.08394161,SVM
19,SVM,0.8,0.15,0.08,95.4379562,95.17906336,97.87535411,23.54014599,SVM
25,SVM,0.8,0.15,0.1,95.4379562,95.05494505,98.01699717,23.63138686,SVM
37,SVM,0.85,0.15,0.01,95.62043796,95.94972067,97.30878187,24.36131387,SVM
12,SVM,0.8,0.1,0.05,95.71167883,96.21318373,97.16713881,19.61678832,SVM
31,SVM,0.8,0.15,0.15,95.71167883,95.44827586,98.01699717,24.08759124,SVM
43,SVM,0.85,0.15,0.03,95.98540146,95.97222222,97.87535411,25.45620438,SVM
36,SVM,0.85,0.1,0.01,96.07664234,96.36363636,97.59206799,20.80291971,SVM
2,SVM,0.8,0.2,0.01,96.16788321,95.9833795,98.15864023,29.01459854,SVM
8,SVM,0.8,0.2,0.03,96.16788321,96.11111111,98.01699717,28.64963504,SVM
49,SVM,0.85,0.15,0.05,96.25912409,95.98893499,98.30028329,26.00364964,SVM
55,SVM,0.85,0.15,0.08,96.25912409,96.24478442,98.01699717,26.09489051,SVM
61,SVM,0.85,0.15,0.1,96.25912409,95.98893499,98.30028329,26.45985401,SVM
9,SVM,0.8,0.25,0.03,96.44160584,96.38386648,98.15864023,34.03284672,SVM
18,SVM,0.8,0.1,0.08,96.53284672,96.38888889,98.30028329,21.35036496,SVM
30,SVM,0.8,0.1,0.15,96.53284672,96.38888889,98.30028329,21.53284672,SVM
42,SVM,0.85,0.1,0.03,96.53284672,96.38888889,98.30028329,22.53649635,SVM
67,SVM,0.85,0.15,0.15,96.53284672,96.38888889,98.30028329,27.18978102,SVM
73,SVM,0.9,0.15,0.01,96.53284672,96.64804469,98.01699717,27.73722628,SVM
3,SVM,0.8,0.25,0.01,96.62408759,96.39389736,98.44192635,33.48540146,SVM
21,SVM,0.8,0.25,0.08,96.62408759,96.65271967,98.15864023,35.03649635,SVM
24,SVM,0.8,0.1,0.1,96.62408759,96.39389736,98.44192635,21.71532847,SVM
48,SVM,0.85,0.1,0.05,96.62408759,96.65271967,98.15864023,23.17518248,SVM
27,SVM,0.8,0.25,0.1,96.71532847,96.65738162,98.30028329,35.58394161,SVM
38,SVM,0.85,0.2,0.01,96.71532847,96.65738162,98.30028329,31.02189781,SVM
79,SVM,0.9,0.15,0.03,96.71532847,96.7877095,98.15864023,29.47080292,SVM
4,SVM,0.8,0.3,0.01,96.80656934,96.79218968,98.30028329,38.04744526,SVM
14,SVM,0.8,0.2,0.05,96.80656934,96.40387275,98.72521246,30.2919708,SVM
20,SVM,0.8,0.2,0.08,96.80656934,96.40387275,98.72521246,30.47445255,SVM
26,SVM,0.8,0.2,0.1,96.80656934,96.40387275,98.72521246,30.56569343,SVM
32,SVM,0.8,0.2,0.15,96.80656934,96.40387275,98.72521246,30.74817518,SVM
15,SVM,0.8,0.25,0.05,96.89781022,96.66666667,98.58356941,35.03649635,SVM
33,SVM,0.8,0.25,0.15,96.89781022,96.66666667,98.58356941,36.04014599,SVM
54,SVM,0.85,0.1,0.08,96.89781022,96.79665738,98.44192635,23.99635036,SVM
85,SVM,0.9,0.15,0.05,96.98905109,97.06293706,98.30028329,30.65693431,SVM
91,SVM,0.9,0.15,0.08,96.98905109,96.93165969,98.44192635,30.20072993,SVM
10,SVM,0.8,0.3,0.03,97.08029197,96.80555556,98.72521246,38.77737226,SVM
16,SVM,0.8,0.3,0.05,97.08029197,96.80555556,98.72521246,39.14233577,SVM
22,SVM,0.8,0.3,0.08,97.08029197,96.80555556,98.72521246,39.32481752,SVM
28,SVM,0.8,0.3,0.1,97.08029197,96.80555556,98.72521246,39.32481752,SVM
34,SVM,0.8,0.3,0.15,97.08029197,96.80555556,98.72521246,39.59854015,SVM
45,SVM,0.85,0.25,0.03,97.08029197,96.93593315,98.58356941,36.49635036,SVM
72,SVM,0.9,0.1,0.01,97.08029197,96.80555556,98.72521246,25.54744526,SVM
103,SVM,0.9,0.15,0.15,97.08029197,96.93593315,98.58356941,30.74817518,SVM
39,SVM,0.85,0.25,0.01,97.17153285,96.80998613,98.86685552,35.58394161,SVM
40,SVM,0.85,0.3,0.01,97.17153285,96.80998613,98.86685552,39.96350365,SVM
44,SVM,0.85,0.2,0.03,97.17153285,96.80998613,98.86685552,32.29927007,SVM
50,SVM,0.85,0.2,0.05,97.17153285,96.80998613,98.86685552,32.66423358,SVM
52,SVM,0.85,0.3,0.05,97.17153285,96.94019471,98.72521246,40.41970803,SVM
56,SVM,0.85,0.2,0.08,97.17153285,96.80998613,98.86685552,32.48175182,SVM
62,SVM,0.85,0.2,0.1,97.17153285,96.80998613,98.86685552,33.12043796,SVM
68,SVM,0.85,0.2,0.15,97.17153285,96.80998613,98.86685552,33.39416058,SVM
97,SVM,0.9,0.15,0.1,97.17153285,97.07112971,98.58356941,30.20072993,SVM
46,SVM,0.85,0.3,0.03,97.26277372,96.94444444,98.86685552,40.05474453,SVM
60,SVM,0.85,0.1,0.1,97.26277372,97.07520891,98.72521246,26.09489051,SVM
