model,threshold,split_1,split_2,accuracy,human effort
SVM,0.8,0.1,0.01,94.97633782,18.3108846
SVM,0.8,0.15,0.01,95.48598471,23.26174008
SVM,0.8,0.2,0.01,95.7772115,27.84856207
SVM,0.8,0.25,0.01,95.9956316,32.25336731
SVM,0.8,0.3,0.01,96.17764834,36.40334911
SVM,0.8,0.4,0.01,96.76010193,45.46778304
SVM,0.8,0.1,0.03,95.41317801,19.83982526
SVM,0.8,0.15,0.03,95.41317801,23.37095013
SVM,0.8,0.2,0.03,96.21405169,28.72224245
SVM,0.8,0.25,0.03,96.17764834,32.7630142
SVM,0.8,0.3,0.03,96.35966509,37.09501274
SVM,0.8,0.4,0.03,96.76010193,45.72260648
SVM,0.8,0.1,0.05,95.70440481,20.67710229
SVM,0.8,0.15,0.05,95.52238806,24.17182381
SVM,0.8,0.2,0.05,95.9956316,28.6858391
SVM,0.8,0.25,0.05,96.17764834,33.05424099
SVM,0.8,0.3,0.05,96.43247179,37.53185293
SVM,0.8,0.4,0.05,96.90571533,46.08663997
SVM,0.8,0.1,0.08,96.0684383,21.84200946
SVM,0.8,0.15,0.08,95.55879141,24.42664725
SVM,0.8,0.2,0.08,96.17764834,29.12267929
SVM,0.8,0.25,0.08,96.28685839,33.30906443
SVM,0.8,0.3,0.08,96.54168183,37.85948307
SVM,0.8,0.4,0.08,96.94211867,46.12304332
SVM,0.8,0.1,0.1,96.0684383,21.58718602
SVM,0.8,0.15,0.1,95.81361485,25.33673098
SVM,0.8,0.2,0.1,96.39606844,29.77793957
SVM,0.8,0.25,0.1,96.35966509,33.41827448
SVM,0.8,0.3,0.1,96.50527849,37.67746633
SVM,0.8,0.4,0.1,96.90571533,46.01383327
SVM,0.8,0.1,0.15,96.03203495,22.6064798
SVM,0.8,0.15,0.15,95.88642155,25.44594103
SVM,0.8,0.2,0.15,96.21405169,29.34109938
SVM,0.8,0.25,0.15,96.39606844,33.38187113
SVM,0.8,0.3,0.15,96.54168183,37.85948307
SVM,0.8,0.4,0.15,96.90571533,46.08663997
SVM,0.85,0.1,0.01,96.10484165,22.3880597
SVM,0.85,0.15,0.01,96.03203495,25.37313433
SVM,0.85,0.2,0.01,96.50527849,30.32398981
SVM,0.85,0.25,0.01,96.65089188,34.43756826
SVM,0.85,0.3,0.01,96.72369858,38.25991991
SVM,0.85,0.4,0.01,97.23334547,47.1423371
SVM,0.85,0.1,0.03,96.25045504,22.75209319
SVM,0.85,0.15,0.03,96.10484165,26.10120131
SVM,0.85,0.2,0.03,96.57808518,30.6152166
SVM,0.85,0.25,0.03,96.76010193,35.05642519
SVM,0.85,0.3,0.03,96.83290863,39.06079359
SVM,0.85,0.4,0.03,97.34255552,47.50637059
SVM,0.85,0.1,0.05,96.50527849,23.91700036
SVM,0.85,0.15,0.05,96.39606844,27.01128504
SVM,0.85,0.2,0.05,96.68729523,30.97925009
SVM,0.85,0.25,0.05,96.90571533,35.34765198
