model,threshold,split_1,split_2,accuracy,human effort
Logistic Regression,0.8,0.1,0.01,97.56097561,32.8358209
Logistic Regression,0.8,0.15,0.01,97.70658901,35.38405533
Logistic Regression,0.8,0.2,0.01,97.81579905,39.13360029
Logistic Regression,0.8,0.25,0.01,97.9978158,42.62832181
Logistic Regression,0.8,0.3,0.01,98.10702585,46.05023662
Logistic Regression,0.8,0.4,0.01,98.25263924,52.89406625
Logistic Regression,0.8,0.1,0.03,97.70658901,33.45467783
Logistic Regression,0.8,0.15,0.03,97.8522024,36.03931562
Logistic Regression,0.8,0.2,0.03,97.81579905,39.24281034
Logistic Regression,0.8,0.25,0.03,98.03421915,42.73753185
Logistic Regression,0.8,0.3,0.03,98.17983254,46.45067346
Logistic Regression,0.8,0.4,0.03,98.28904259,53.0032763
Logistic Regression,0.8,0.1,0.05,97.67018566,33.56388788
Logistic Regression,0.8,0.15,0.05,97.81579905,36.03931562
Logistic Regression,0.8,0.2,0.05,97.8522024,39.46123043
Logistic Regression,0.8,0.25,0.05,98.0706225,42.88314525
Logistic Regression,0.8,0.3,0.05,98.1434292,46.45067346
Logistic Regression,0.8,0.4,0.05,98.32544594,53.2216964
Logistic Regression,0.8,0.1,0.08,97.7793957,34.03713142
Logistic Regression,0.8,0.15,0.08,97.8522024,36.51255916
Logistic Regression,0.8,0.2,0.08,97.96141245,39.93447397
Logistic Regression,0.8,0.25,0.08,98.0706225,43.13796869
Logistic Regression,0.8,0.3,0.08,98.28904259,46.81470695
Logistic Regression,0.8,0.4,0.08,98.28904259,53.47651984
Logistic Regression,0.8,0.1,0.1,97.70658901,34.14634146
Logistic Regression,0.8,0.15,0.1,97.88860575,36.80378595
Logistic Regression,0.8,0.2,0.1,98.0706225,40.29850746
Logistic Regression,0.8,0.25,0.1,98.21623589,43.46559884
Logistic Regression,0.8,0.3,0.1,98.28904259,47.03312705
Logistic Regression,0.8,0.4,0.1,98.32544594,53.36730979
Logistic Regression,0.8,0.1,0.15,97.81579905,35.20203859
Logistic Regression,0.8,0.15,0.15,98.0706225,37.49544958
Logistic Regression,0.8,0.2,0.15,98.10702585,40.66254095
Logistic Regression,0.8,0.25,0.15,98.17983254,43.61121223
Logistic Regression,0.8,0.3,0.15,98.28904259,46.9967237
Logistic Regression,0.8,0.4,0.15,98.43465599,53.98616673
Logistic Regression,0.85,0.1,0.01,98.72588278,40.40771751
Logistic Regression,0.85,0.15,0.01,98.58026938,41.60902803
Logistic Regression,0.85,0.2,0.01,98.65307608,44.44848926
Logistic Regression,0.85,0.25,0.01,98.76228613,47.43356389
Logistic Regression,0.85,0.3,0.01,98.79868948,50.41863851
Logistic Regression,0.85,0.4,0.01,98.79868948,56.38878777
Logistic Regression,0.85,0.1,0.03,98.76228613,40.6989443
