model,threshold,split_1,split_2,accuracy,human effort
Random Forest,0.8,0.1,0.01,94.83072443,18.456498
Random Forest,0.8,0.15,0.01,95.15835457,23.62577357
Random Forest,0.8,0.2,0.01,95.59519476,28.86785584
Random Forest,0.8,0.25,0.01,96.21405169,33.60029123
Random Forest,0.8,0.3,0.01,96.43247179,38.36912996
Random Forest,0.8,0.4,0.01,97.30615217,48.05242082
Random Forest,0.8,0.1,0.03,95.19475792,19.98543866
Random Forest,0.8,0.15,0.03,95.55879141,25.30032763
Random Forest,0.8,0.2,0.03,96.0684383,30.65161995
Random Forest,0.8,0.25,0.03,96.57808518,34.98361849
Random Forest,0.8,0.3,0.03,96.68729523,39.31561704
Random Forest,0.8,0.4,0.03,97.41536221,48.9989079
Random Forest,0.8,0.1,0.05,95.59519476,21.44157262
Random Forest,0.8,0.15,0.05,95.7772115,26.17400801
Random Forest,0.8,0.2,0.05,96.21405169,31.19767019
Random Forest,0.8,0.25,0.05,96.57808518,35.56607208
Random Forest,0.8,0.3,0.05,96.94211867,40.44412086
Random Forest,0.8,0.4,0.05,97.45176556,49.58136149
Random Forest,0.8,0.1,0.08,95.8500182,22.93410994
Random Forest,0.8,0.15,0.08,95.8500182,27.30251183
Random Forest,0.8,0.2,0.08,96.35966509,32.03494722
Random Forest,0.8,0.25,0.08,96.86931198,36.73097925
Random Forest,0.8,0.3,0.08,96.86931198,40.51692756
Random Forest,0.8,0.4,0.08,97.48816891,49.90899163
Random Forest,0.8,0.1,0.1,95.88642155,23.48016017
Random Forest,0.8,0.15,0.1,96.03203495,27.95777212
Random Forest,0.8,0.2,0.1,96.46887514,32.4717874
Random Forest,0.8,0.25,0.1,97.01492537,37.31343284
Random Forest,0.8,0.3,0.1,97.01492537,41.17218784
Random Forest,0.8,0.4,0.1,97.59737896,50.38223517
Random Forest,0.8,0.1,0.15,96.17764834,25.33673098
Random Forest,0.8,0.15,0.15,96.43247179,29.77793957
Random Forest,0.8,0.2,0.15,96.68729523,33.52748453
Random Forest,0.8,0.25,0.15,97.30615217,38.33272661
Random Forest,0.8,0.3,0.15,97.12413542,41.57262468
Random Forest,0.8,0.4,0.15,97.59737896,50.41863851
Random Forest,0.85,0.1,0.01,95.66800146,21.62358937
Random Forest,0.85,0.15,0.01,95.9956316,26.42883145
Random Forest,0.85,0.2,0.01,96.35966509,31.88933382
Random Forest,0.85,0.25,0.01,96.76010193,36.33054241
Random Forest,0.85,0.3,0.01,97.01492537,41.09938114
Random Forest,0.85,0.4,0.01,97.67018566,50.38223517
Random Forest,0.85,0.1,0.03,96.14124499,24.09901711
Random Forest,0.85,0.15,0.03,96.28685839,28.43101565
Random Forest,0.85,0.2,0.03,96.50527849,32.79941755
Random Forest,0.85,0.25,0.03,97.01492537,37.78667637
Random Forest,0.85,0.3,0.03,97.34255552,42.26428831
