,model,threshold,split_1,split_2,accuracy,precision,recall,human effort
0,Decision Tree,0.8,0.1,0.01,87.56489493201484,89.09691629955947,92.17622483858716,9.987639060568604
1,Decision Tree,0.8,0.15,0.01,89.29542645241038,90.98360655737704,92.74591720470946,14.981458590852904
2,Decision Tree,0.8,0.2,0.01,90.60568603213844,93.04547191440581,92.48006076718572,20.0
3,Decision Tree,0.8,0.25,0.01,90.11124845488257,91.95791055993988,92.93581466008355,24.993819530284302
4,Decision Tree,0.8,0.3,0.01,90.16069221260815,92.12212589521296,92.8218761868591,29.987639060568604
5,Decision Tree,0.8,0.4,0.01,92.7317676143387,93.91663537363875,94.98670717812381,40.0
6,Decision Tree,0.8,0.1,0.03,87.36711990111249,89.50111690245718,91.30269654386632,9.987639060568604
7,Decision Tree,0.8,0.15,0.03,89.83930778739185,90.6959706959707,94.03721990125332,14.981458590852904
8,Decision Tree,0.8,0.2,0.03,89.88875154511743,91.83596689240031,92.70793771363464,20.0
9,Decision Tree,0.8,0.25,0.03,90.3831891223733,92.33962264150944,92.93581466008355,24.993819530284302
10,Decision Tree,0.8,0.3,0.03,90.58096415327564,92.91158536585365,92.59399924041018,29.987639060568604
11,Decision Tree,0.8,0.4,0.03,93.15203955500618,94.48640483383686,95.02468666919863,40.0
12,Decision Tree,0.8,0.1,0.05,87.663782447466,89.60653303637713,91.6824914546145,9.987639060568604
13,Decision Tree,0.8,0.15,0.05,89.36959208899876,91.17757009345794,92.63197873148499,14.981458590852904
14,Decision Tree,0.8,0.2,0.05,90.08652657601978,92.4980959634425,92.2521838207368,20.0
15,Decision Tree,0.8,0.25,0.05,90.33374536464771,92.33383685800604,92.85985567793392,24.993819530284302
16,Decision Tree,0.8,0.3,0.05,90.92707045735476,93.04711246200608,93.0117736422332,29.987639060568604
17,Decision Tree,0.8,0.4,0.05,92.92954264524104,94.43392654297614,94.72085074060007,40.0
18,Decision Tree,0.8,0.1,0.08,87.6885043263288,89.34758569848876,92.06228636536271,9.987639060568604
19,Decision Tree,0.8,0.15,0.08,89.6415327564895,90.9090909090909,93.4295480440562,14.981458590852904
20,Decision Tree,0.8,0.2,0.08,89.74042027194066,92.19939117199391,92.02430687428789,20.0
21,Decision Tree,0.8,0.25,0.08,90.28430160692213,92.20045214770158,92.93581466008355,24.993819530284302
22,Decision Tree,0.8,0.3,0.08,90.33374536464771,92.81894576012223,92.29016331181163,29.987639060568604
23,Decision Tree,0.8,0.4,0.08,93.02843016069221,94.74685953559192,94.53095328522598,40.0
24,Decision Tree,0.8,0.1,0.1,87.93572311495673,89.30010993037743,92.55601974933536,9.987639060568604
25,Decision Tree,0.8,0.15,0.1,89.54264524103831,91.07806691449814,93.04975313330802,14.981458590852904
26,Decision Tree,0.8,0.2,0.1,89.34487021013597,92.11935730680949,91.45461450816559,20.0
27,Decision Tree,0.8,0.25,0.1,90.63040791100124,92.1150971599402,93.61944549943031,24.993819530284302
28,Decision Tree,0.8,0.3,0.1,90.30902348578492,92.71826153259626,92.36612229396125,29.987639060568604
29,Decision Tree,0.8,0.4,0.1,92.92954264524104,94.40030268634128,94.75883023167489,40.0
30,Decision Tree,0.8,0.1,0.15,87.91100123609394,89.55719557195572,92.17622483858716,9.987639060568604
31,Decision Tree,0.8,0.15,0.15,89.46847960444994,90.94619666048237,93.08773262438284,14.981458590852904
32,Decision Tree,0.8,0.2,0.15,89.71569839307787,92.13226909920182,92.06228636536271,20.0
33,Decision Tree,0.8,0.25,0.15,90.21013597033375,92.19162580158431,92.8218761868591,24.993819530284302
34,Decision Tree,0.8,0.3,0.15,90.65512978986403,92.8218761868591,92.8218761868591,29.987639060568604
35,Decision Tree,0.8,0.4,0.15,92.63288009888751,94.1398865784499,94.5689327763008,40.0
36,Decision Tree,0.85,0.1,0.01,87.88627935723115,89.84752696169579,91.75845043676415,9.987639060568604
37,Decision Tree,0.85,0.15,0.01,89.9629171817058,91.34793910137394,93.4295480440562,14.981458590852904
38,Decision Tree,0.85,0.2,0.01,89.29542645241038,91.41566265060241,92.21420432966198,20.0
39,Decision Tree,0.85,0.25,0.01,90.60568603213844,92.46136449302676,93.16369160653247,24.993819530284302
