,model,threshold,split_1,split_2,accuracy,precision,recall,human effort
0,Logistic Regression,0.8,0.1,0.01,94.41285537700865,94.26259654284664,97.34143562476262,34.09147095179234
1,Logistic Regression,0.8,0.15,0.01,94.48702101359703,93.94602479941648,97.83516900873528,37.52781211372064
2,Logistic Regression,0.8,0.2,0.01,94.70951792336217,94.28780666422556,97.79718951766047,40.716934487021014
3,Logistic Regression,0.8,0.25,0.01,95.55006180469715,95.34195933456562,97.94910748195974,46.427688504326326
4,Logistic Regression,0.8,0.3,0.01,95.52533992583436,95.00734214390602,98.29092290163312,48.99876390605686
5,Logistic Regression,0.8,0.4,0.01,95.92088998763906,95.56868537666175,98.29092290163312,55.82200247218788
6,Logistic Regression,0.8,0.1,0.03,95.22867737948084,95.05169867060562,97.75921002658565,36.81087762669963
7,Logistic Regression,0.8,0.15,0.03,94.88257107540173,94.43223443223444,97.91112799088492,38.66501854140915
8,Logistic Regression,0.8,0.2,0.03,94.88257107540173,94.53010279001468,97.79718951766047,41.779975278121135
9,Logistic Regression,0.8,0.25,0.03,95.99505562422745,95.6746765249538,98.29092290163312,48.084054388133495
10,Logistic Regression,0.8,0.3,0.03,96.06922126081582,95.74704142011835,98.32890239270793,50.3831891223733
11,Logistic Regression,0.8,0.4,0.03,96.1433868974042,95.78558225508318,98.40486137485757,56.46477132262052
12,Logistic Regression,0.8,0.1,0.05,95.20395550061805,95.08317929759704,97.683251044436,36.86032138442522
13,Logistic Regression,0.8,0.15,0.05,95.0309023485785,94.60748349229641,97.94910748195974,39.480840543881335
14,Logistic Regression,0.8,0.2,0.05,95.10506798516687,94.71171502019831,97.94910748195974,43.065512978986405
15,Logistic Regression,0.8,0.25,0.05,96.29171817058096,95.82871908453303,98.59475883023167,48.702101359703335
16,Logistic Regression,0.8,0.3,0.05,96.06922126081582,95.57848194546794,98.51879984808204,51.297898640296665
17,Logistic Regression,0.8,0.4,0.05,96.21755253399259,95.82409460458241,98.48082035700722,57.132262051915944
18,Logistic Regression,0.8,0.1,0.08,95.4017305315204,95.23105360443623,97.83516900873528,37.52781211372064
19,Logistic Regression,0.8,0.15,0.08,95.4017305315204,94.99816108863553,98.10102544625902,40.64276885043263
20,Logistic Regression,0.8,0.2,0.08,95.42645241038319,95.09948415622696,98.02506646410939,44.15327564894932
21,Logistic Regression,0.8,0.25,0.08,96.5142150803461,96.04582409460458,98.70869730345613,49.76514215080346
22,Logistic Regression,0.8,0.3,0.08,96.26699629171817,95.8271787296898,98.55677933915686,51.74289245982695
23,Logistic Regression,0.8,0.4,0.08,96.1433868974042,95.78558225508318,98.40486137485757,57.62669962917182
24,Logistic Regression,0.8,0.1,0.1,95.20395550061805,95.01661129568106,97.75921002658565,36.83559950556242
25,Logistic Regression,0.8,0.15,0.1,95.05562422744129,94.57676804690362,98.02506646410939,39.55500618046972
26,Logistic Regression,0.8,0.2,0.1,95.25339925834363,94.88782640676719,97.98708697303456,44.40049443757726
27,Logistic Regression,0.8,0.25,0.1,96.58838071693448,96.15242323344432,98.70869730345613,49.6415327564895
28,Logistic Regression,0.8,0.3,0.1,96.34116192830655,95.93345656192237,98.55677933915686,51.96538936959209
29,Logistic Regression,0.8,0.4,0.1,96.63782447466008,96.29217649239897,98.63273832130649,60.296662546353524
30,Logistic Regression,0.8,0.1,0.15,95.20395550061805,95.01661129568106,97.75921002658565,37.05809641532756
31,Logistic Regression,0.8,0.15,0.15,95.45117428924598,95.16783474732571,97.98708697303456,40.84054388133498
32,Logistic Regression,0.8,0.2,0.15,95.4017305315204,95.0976778474014,97.98708697303456,46.10630407911001
33,Logistic Regression,0.8,0.25,0.15,96.66254635352287,96.19082840236686,98.78465628560578,50.13597033374536
34,Logistic Regression,0.8,0.3,0.15,96.46477132262052,96.07698001480385,98.59475883023167,52.48454882571075
35,Logistic Regression,0.8,0.4,0.15,96.5142150803461,96.21661721068249,98.51879984808204,59.38195302843016
36,Logistic Regression,0.85,0.1,0.01,95.94561186650185,95.637707948244,98.2529434105583,40.96415327564895
37,Logistic Regression,0.85,0.15,0.01,95.84672435105068,95.46292880855773,98.29092290163312,43.88133498145859
38,Logistic Regression,0.85,0.2,0.01,96.61310259579729,96.32516703786192,98.55677933915686,49.09765142150803
39,Logistic Regression,0.85,0.25,0.01,97.08281829419036,96.6604823747681,98.93657424990505,52.90482076637824
40,Logistic Regression,0.85,0.3,0.01,96.5389369592089,96.18377176732123,98.59475883023167,54.11619283065513
41,Logistic Regression,0.85,0.4,0.01,96.76143386897404,96.43652561247217,98.67071781238131,60.27194066749073
42,Logistic Regression,0.85,0.1,0.03,96.44004944375773,96.24674842066146,98.36688188378275,43.436341161928304
43,Logistic Regression,0.85,0.15,0.03,96.86032138442522,96.57992565055763,98.67071781238131,47.73794808405439
44,Logistic Regression,0.85,0.2,0.03,96.41532756489494,96.07407407407408,98.51879984808204,49.07292954264524
45,Logistic Regression,0.85,0.25,0.03,97.15698393077874,96.76820208023774,98.93657424990505,53.325092707045734
46,Logistic Regression,0.85,0.3,0.03,96.88504326328801,96.51205936920222,98.78465628560578,55.08034610630408
47,Logistic Regression,0.85,0.4,0.03,96.86032138442522,96.61458333333333,98.63273832130649,60.81582200247219
48,Logistic Regression,0.85,0.1,0.05,96.95920889987639,96.72375279225615,98.67071781238131,45.414091470951796
49,Logistic Regression,0.85,0.15,0.05,96.76143386897404,96.43652561247217,98.67071781238131,47.09517923362176
50,Logistic Regression,0.85,0.2,0.05,96.78615574783683,96.47233568510954,98.67071781238131,50.53152039555006
51,Logistic Regression,0.85,0.25,0.05,97.20642768850432,96.80534918276375,98.97455374097987,54.165636588380714
52,Logistic Regression,0.85,0.3,0.05,96.95920889987639,96.55044510385757,98.8606152677554,55.79728059332509
53,Logistic Regression,0.85,0.4,0.05,97.08281829419036,96.8342644320298,98.74667679453096,61.95302843016069
54,Logistic Regression,0.85,0.1,0.08,97.00865265760197,96.76098287416232,98.70869730345613,45.85908529048208
55,Logistic Regression,0.85,0.15,0.08,96.88504326328801,96.6852886405959,98.59475883023167,48.00988875154512
56,Logistic Regression,0.85,0.2,0.08,96.83559950556243,96.57865377463742,98.63273832130649,51.07540173053152
57,Logistic Regression,0.85,0.25,0.08,97.3053152039555,97.05443698732289,98.8606152677554,54.73423980222497
58,Logistic Regression,0.85,0.3,0.08,97.3053152039555,96.91449814126393,99.0125332320547,57.50309023485785
59,Logistic Regression,0.85,0.4,0.08,97.3053152039555,96.9843633655994,98.93657424990505,62.76885043263288
60,Logistic Regression,0.85,0.1,0.1,96.9344870210136,96.75736116287737,98.59475883023167,45.51297898640296
61,Logistic Regression,0.85,0.15,0.1,96.5142150803461,96.38868205510052,98.32890239270793,46.47713226205192
62,Logistic Regression,0.85,0.2,0.1,96.68726823238566,96.43255295429208,98.55677933915686,50.432632880098886
63,Logistic Regression,0.85,0.25,0.1,97.42892459826948,97.13007827059262,98.97455374097987,55.723114956736715
64,Logistic Regression,0.85,0.3,0.1,97.35475896168109,97.05663189269747,98.93657424990505,57.65142150803461
65,Logistic Regression,0.85,0.4,0.1,97.3300370828183,97.05553484904956,98.89859475883023,63.11495673671199
66,Logistic Regression,0.85,0.1,0.15,96.9097651421508,96.65178571428571,98.67071781238131,45.364647713226205
67,Logistic Regression,0.85,0.15,0.15,96.9344870210136,96.72253258845437,98.63273832130649,48.18294190358467
68,Logistic Regression,0.85,0.2,0.15,96.88504326328801,96.6852886405959,98.59475883023167,51.495673671199015
69,Logistic Regression,0.85,0.25,0.15,97.10754017305315,96.83544303797468,98.78465628560578,54.78368355995055
70,Logistic Regression,0.85,0.3,0.15,97.45364647713227,97.16629381058911,98.97455374097987,58.14585908529048
71,Logistic Regression,0.85,0.4,0.15,97.3300370828183,97.09063782170831,98.8606152677554,64.02966625463536
72,Logistic Regression,0.9,0.1,0.01,97.45364647713227,97.41379310344827,98.70869730345613,50.679851668726826
73,Logistic Regression,0.9,0.15,0.01,97.50309023485785,97.30941704035874,98.89859475883023,53.52286773794808
74,Logistic Regression,0.9,0.2,0.01,97.60197775030902,97.45508982035928,98.89859475883023,56.21755253399258
75,Logistic Regression,0.9,0.25,0.01,97.84919653893697,97.64221556886227,99.08849221420434,60.24721878862793
76,Logistic Regression,0.9,0.3,0.01,97.75030902348578,97.46079163554892,99.12647170527914,61.582200247218786
77,Logistic Regression,0.9,0.4,0.01,97.99752781211372,97.75449101796407,99.20243068742879,67.2929542645241
78,Logistic Regression,0.9,0.1,0.03,97.67614338689741,97.56463094792056,98.89859475883023,53.62175525339926
79,Logistic Regression,0.9,0.15,0.03,97.7008652657602,97.56554307116104,98.93657424990505,55.475896168108775
80,Logistic Regression,0.9,0.2,0.03,97.72558714462299,97.56645451141894,98.97455374097987,57.42892459826947
81,Logistic Regression,0.9,0.25,0.03,97.87391841779976,97.64309764309765,99.12647170527914,60.939431396786155
82,Logistic Regression,0.9,0.3,0.03,97.94808405438813,97.75280898876404,99.12647170527914,63.288009888751546
83,Logistic Regression,0.9,0.4,0.03,98.14585908529048,97.93853073463268,99.24041017850361,68.4796044499382
84,Logistic Regression,0.9,0.1,0.05,97.79975278121137,97.74774774774775,98.89859475883023,54.78368355995055
85,Logistic Regression,0.9,0.15,0.05,97.84919653893697,97.71364317841079,99.0125332320547,56.9097651421508
86,Logistic Regression,0.9,0.2,0.05,97.67614338689741,97.49345304900861,98.97455374097987,57.799752781211374
87,Logistic Regression,0.9,0.25,0.05,97.97280593325092,97.82527184101987,99.08849221420434,61.95302843016069
88,Logistic Regression,0.9,0.3,0.05,98.04697156983931,97.79191616766467,99.24041017850361,64.35105067985167
89,Logistic Regression,0.9,0.4,0.05,98.24474660074165,98.04951237809452,99.27838966957843,69.39431396786156
90,Logistic Regression,0.9,0.1,0.08,97.84919653893697,97.78528528528528,98.93657424990505,55.203955500618044
91,Logistic Regression,0.9,0.15,0.08,97.75030902348578,97.60299625468164,98.97455374097987,56.04449938195303
92,Logistic Regression,0.9,0.2,0.08,97.75030902348578,97.60299625468164,98.97455374097987,58.590852904820764
93,Logistic Regression,0.9,0.25,0.08,98.17058096415327,97.97525309336334,99.24041017850361,63.485784919653895
94,Logistic Regression,0.9,0.3,0.08,98.02224969097651,97.79108947959566,99.20243068742879,63.88133498145859
95,Logistic Regression,0.9,0.4,0.08,98.31891223733004,98.12382739212008,99.31636916065325,71.47095179233622
96,Logistic Regression,0.9,0.1,0.1,97.77503090234858,97.74690199023658,98.8606152677554,54.2398022249691
97,Logistic Regression,0.9,0.15,0.1,97.87391841779976,97.75028121484814,99.0125332320547,57.3053152039555
98,Logistic Regression,0.9,0.2,0.1,97.92336217552534,97.75196702884976,99.08849221420434,59.92583436341162
99,Logistic Regression,0.9,0.25,0.1,98.0964153275649,97.93698424606151,99.16445119635397,63.263288009888754
100,Logistic Regression,0.9,0.3,0.1,98.12113720642769,97.9018358935931,99.24041017850361,65.04326328800988
101,Logistic Regression,0.9,0.4,0.1,98.29419035846725,98.12312312312312,99.27838966957843,70.4326328800989
102,Logistic Regression,0.9,0.1,0.15,97.94808405438813,97.89631855747558,98.97455374097987,56.04449938195303
103,Logistic Regression,0.9,0.15,0.15,97.87391841779976,97.75028121484814,99.0125332320547,57.20642768850433
104,Logistic Regression,0.9,0.2,0.15,97.99752781211372,97.89789789789789,99.05051272312951,60.568603213844256
105,Logistic Regression,0.9,0.25,0.15,98.0964153275649,97.90104947526237,99.20243068742879,62.66996291718171
106,Logistic Regression,0.9,0.3,0.15,98.24474660074165,98.04951237809452,99.27838966957843,66.20519159456119
107,Logistic Regression,0.9,0.4,0.15,98.31891223733004,98.1599699586932,99.27838966957843,70.60568603213844
108,Logistic Regression,0.95,0.1,0.01,98.61557478368356,98.64099660249151,99.24041017850361,65.88380716934488
109,Logistic Regression,0.95,0.15,0.01,98.68974042027195,98.67924528301887,99.31636916065325,67.51545117428924
110,Logistic Regression,0.95,0.2,0.01,98.66501854140915,98.7523629489603,99.20243068742879,68.10877626699629
111,Logistic Regression,0.95,0.25,0.01,98.66501854140915,98.49567506581421,99.46828712495252,70.13597033374536
112,Logistic Regression,0.95,0.3,0.01,98.91223733003709,98.75706214689265,99.58222559817699,73.30037082818295
113,Logistic Regression,0.95,0.4,0.01,98.93695920889988,98.86792452830188,99.50626661602735,76.9097651421508
114,Logistic Regression,0.95,0.1,0.03,98.68974042027195,98.78971255673223,99.20243068742879,65.63658838071693
115,Logistic Regression,0.95,0.15,0.03,98.93695920889988,98.97881996974282,99.39232814280288,70.23485784919654
116,Logistic Regression,0.95,0.2,0.03,98.76390605686032,98.86492622020431,99.24041017850361,70.67985166872683
117,Logistic Regression,0.95,0.25,0.03,98.78862793572311,98.644578313253,99.50626661602735,72.97898640296663
118,Logistic Regression,0.95,0.3,0.03,99.11001236093944,99.05553456743483,99.58222559817699,75.25339925834363
119,Logistic Regression,0.95,0.4,0.03,98.98640296662546,98.90566037735849,99.54424610710217,77.75030902348578
120,Logistic Regression,0.95,0.1,0.05,98.78862793572311,98.90234670704012,99.24041017850361,68.0840543881335
121,Logistic Regression,0.95,0.15,0.05,98.71446229913474,98.6797434930215,99.35434865172806,66.74907292954265
122,Logistic Regression,0.95,0.2,0.05,98.76390605686032,98.79108424631659,99.31636916065325,70.50679851668727
123,Logistic Regression,0.95,0.25,0.05,99.11001236093944,99.01849754624386,99.6202050892518,74.26452410383189
124,Logistic Regression,0.95,0.3,0.05,99.15945611866502,99.09331318473744,99.6202050892518,75.99505562422745
125,Logistic Regression,0.95,0.4,0.05,99.03584672435105,99.01738473167045,99.50626661602735,78.73918417799753
126,Logistic Regression,0.95,0.1,0.08,98.93695920889988,99.0530303030303,99.31636916065325,69.09765142150803
127,Logistic Regression,0.95,0.15,0.08,98.96168108776267,99.01626939084373,99.39232814280288,71.19901112484548
128,Logistic Regression,0.95,0.2,0.08,98.68974042027195,98.71601208459215,99.27838966957843,69.9876390605686
129,Logistic Regression,0.95,0.25,0.08,99.283065512979,99.24357034795764,99.65818458032662,76.1433868974042
130,Logistic Regression,0.95,0.3,0.08,99.15945611866502,99.0562476406191,99.65818458032662,76.09394313967861
131,Logistic Regression,0.95,0.4,0.08,99.08529048207664,99.0551776266062,99.54424610710217,78.8380716934487
132,Logistic Regression,0.95,0.1,0.1,98.91223733003709,99.01552442256721,99.31636916065325,68.80098887515452
133,Logistic Regression,0.95,0.15,0.1,99.01112484548825,99.01701323251417,99.46828712495252,71.29789864029667
134,Logistic Regression,0.95,0.2,0.1,98.93695920889988,99.12746585735964,99.24041017850361,71.71817058096416
135,Logistic Regression,0.95,0.25,0.1,98.96168108776267,98.94219871552701,99.46828712495252,73.34981458590853
136,Logistic Regression,0.95,0.3,0.1,99.15945611866502,99.09331318473744,99.6202050892518,76.46477132262052
137,Logistic Regression,0.95,0.4,0.1,99.11001236093944,99.09262759924385,99.54424610710217,79.67861557478368
138,Logistic Regression,0.95,0.1,0.15,98.98640296662546,99.1281273692191,99.31636916065325,70.21013597033375
139,Logistic Regression,0.95,0.15,0.15,99.01112484548825,99.0541051835036,99.4303076338777,71.32262051915946
140,Logistic Regression,0.95,0.2,0.15,98.93695920889988,98.97881996974282,99.39232814280288,72.60815822002472
141,Logistic Regression,0.95,0.25,0.15,99.283065512979,99.24357034795764,99.65818458032662,76.31644004944376
142,Logistic Regression,0.95,0.3,0.15,99.11001236093944,99.01849754624386,99.6202050892518,76.21755253399259
143,Logistic Regression,0.95,0.4,0.15,99.13473423980223,99.09297052154194,99.58222559817699,79.75278121137207
144,Logistic Regression,0.99,0.1,0.01,99.72805933250928,99.73444613050076,99.84808203570073,88.50432632880099
145,Logistic Regression,0.99,0.15,0.01,99.75278121137207,99.77229601518026,99.84808203570073,89.86402966625464
146,Logistic Regression,0.99,0.2,0.01,99.80222496909765,99.84808203570073,99.84808203570073,90.82818294190359
147,Logistic Regression,0.99,0.25,0.01,99.85166872682323,99.88606152677553,99.88606152677553,91.07540173053152
148,Logistic Regression,0.99,0.3,0.01,99.75278121137207,99.73454683352294,99.88606152677553,90.82818294190359
149,Logistic Regression,0.99,0.4,0.01,99.77750309023486,99.77238239757207,99.88606152677553,92.55871446229914
150,Logistic Regression,0.99,0.1,0.03,99.82694684796044,99.88601823708207,99.84808203570073,90.30902348578492
