,model,threshold,split_1,split_2,accuracy,precision,recall,human effort
0,Random Forest,0.8,0.1,0.01,96.86032138,96.57992565,98.67071781,22.54635352
6,Random Forest,0.8,0.1,0.03,96.98393078,96.79463287,98.63273832,23.63411619
12,Random Forest,0.8,0.1,0.05,97.10754017,96.83544304,98.78465629,24.94437577
18,Random Forest,0.8,0.1,0.08,97.18170581,96.8389736,98.89859476,25.56242274
24,Random Forest,0.8,0.1,0.1,97.25587145,96.98211624,98.86061527,25.95797281
1,Random Forest,0.8,0.15,0.01,97.05809642,96.79821296,98.74667679,26.8974042
30,Random Forest,0.8,0.1,0.15,97.35475896,97.05663189,98.93657425,26.8974042
36,Random Forest,0.85,0.1,0.01,97.65142151,97.49251497,98.93657425,27.14462299
7,Random Forest,0.8,0.15,0.03,97.20642769,96.9099032,98.86061527,27.93572311
13,Random Forest,0.8,0.15,0.05,97.20642769,96.97986577,98.78465629,28.55377009
42,Random Forest,0.85,0.1,0.03,97.79975278,97.53363229,99.12647171,28.6526576
19,Random Forest,0.8,0.15,0.08,97.25587145,96.98211624,98.86061527,28.92459827
25,Random Forest,0.8,0.15,0.1,97.25587145,96.98211624,98.86061527,29.14709518
48,Random Forest,0.85,0.1,0.05,97.92336218,97.64485981,99.20243069,29.74042027
31,Random Forest,0.8,0.15,0.15,97.35475896,97.0917226,98.89859476,30.28430161
54,Random Forest,0.85,0.1,0.08,97.84919654,97.6065819,99.12647171,30.48207664
60,Random Forest,0.85,0.1,0.1,97.87391842,97.53639418,99.24041018,31.07540173
37,Random Forest,0.85,0.15,0.01,97.92336218,97.6092641,99.24041018,31.10012361
2,Random Forest,0.8,0.2,0.01,97.52781211,97.34579439,98.89859476,31.84177998
43,Random Forest,0.85,0.15,0.03,97.94808405,97.68137622,99.20243069,32.06427689
66,Random Forest,0.85,0.1,0.15,98.04697157,97.75617053,99.27838967,32.33621755
8,Random Forest,0.8,0.2,0.03,97.65142151,97.42152466,99.01253323,32.75648949
14,Random Forest,0.8,0.2,0.05,97.67614339,97.60029996,98.86061527,33.25092707
49,Random Forest,0.85,0.15,0.05,98.04697157,97.79191617,99.24041018,33.30037083
72,Random Forest,0.9,0.1,0.01,98.34363412,98.23308271,99.24041018,33.62175525
55,Random Forest,0.85,0.15,0.08,98.04697157,97.86356822,99.1644512,33.86897404
20,Random Forest,0.8,0.2,0.08,97.87391842,97.71449981,99.05051272,34.21508035
61,Random Forest,0.85,0.15,0.1,98.09641533,97.86516854,99.24041018,34.33868974
26,Random Forest,0.8,0.2,0.1,97.8986403,97.71535581,99.08849221,34.41285538
67,Random Forest,0.85,0.15,0.15,98.17058096,97.97525309,99.24041018,35.05562423
78,Random Forest,0.9,0.1,0.03,98.31891224,98.26872412,99.1644512,35.10506799
32,Random Forest,0.8,0.2,0.15,97.92336218,97.75196703,99.08849221,35.27812114
38,Random Forest,0.85,0.2,0.01,98.12113721,97.97373358,99.1644512,35.30284302
