,model,threshold,split_1,split_2,accuracy,precision,recall,human effort
0,SVM,0.8,0.1,0.01,95.57478368355996,95.4781319495923,97.83516900873528,17.03337453646477
1,SVM,0.8,0.15,0.01,95.7972805933251,95.79769431015248,97.83516900873528,21.063040791100125
2,SVM,0.8,0.2,0.01,96.41532756489494,96.41791044776119,98.13900493733384,26.526576019777504
3,SVM,0.8,0.25,0.01,97.00865265760197,96.9006721433906,98.55677933915686,31.372064276885045
4,SVM,0.8,0.3,0.01,97.18170580964153,97.22534683164605,98.48082035700722,36.19283065512979
5,SVM,0.8,0.4,0.01,97.40420271940667,97.44744744744744,98.59475883023167,45.364647713226205
6,SVM,0.8,0.1,0.03,95.87144622991347,95.66666666666667,98.10102544625902,18.26946847960445
7,SVM,0.8,0.15,0.03,96.01977750309024,95.94795539033457,98.02506646410939,22.07663782447466
8,SVM,0.8,0.2,0.03,96.66254635352287,96.7440119760479,98.17698442840866,27.317676143386898
9,SVM,0.8,0.25,0.03,97.10754017305315,96.94029850746269,98.67071781238131,32.138442521631646
10,SVM,0.8,0.3,0.03,97.3053152039555,97.26591760299625,98.63273832130649,36.761433868974045
11,SVM,0.8,0.4,0.03,97.65142150803462,97.56371814092954,98.8606152677554,45.93325092707046
12,SVM,0.8,0.1,0.05,95.94561186650185,95.87513935340023,97.98708697303456,18.8380716934487
13,SVM,0.8,0.15,0.05,96.1433868974042,96.05801413164745,98.10102544625902,22.793572311495673
14,SVM,0.8,0.2,0.05,96.76143386897404,96.78384442782348,98.29092290163312,27.836835599505562
15,SVM,0.8,0.25,0.05,97.15698393077874,97.01269604182225,98.67071781238131,32.43510506798517
16,SVM,0.8,0.3,0.05,97.47836835599506,97.34380845491957,98.8226357766806,36.959208899876394
17,SVM,0.8,0.4,0.05,97.60197775030902,97.45508982035928,98.89859475883023,46.1310259579728
18,SVM,0.8,0.1,0.08,96.04449938195303,95.84723767148684,98.17698442840866,19.505562422744127
19,SVM,0.8,0.15,0.08,96.26699629171817,96.20253164556962,98.13900493733384,23.65883807169345
20,SVM,0.8,0.2,0.08,96.9097651421508,96.96629213483146,98.32890239270793,28.4548825710754
21,SVM,0.8,0.25,0.08,97.3300370828183,97.05553484904956,98.89859475883023,33.30037082818294
22,SVM,0.8,0.3,0.08,97.50309023485785,97.38023952095809,98.8226357766806,37.65142150803461
23,SVM,0.8,0.4,0.08,97.67614338689741,97.52901535005616,98.93657424990505,46.37824474660074
24,SVM,0.8,0.1,0.1,96.1928306551298,95.95847237671487,98.29092290163312,20.61804697156984
25,SVM,0.8,0.15,0.1,96.39060568603213,96.20958751393535,98.32890239270793,24.2274412855377
26,SVM,0.8,0.2,0.1,96.95920889987639,96.9685628742515,98.40486137485757,28.92459826946848
27,SVM,0.8,0.25,0.1,97.37948084054388,97.12793733681463,98.89859475883023,33.49814585908529
28,SVM,0.8,0.3,0.1,97.50309023485785,97.38023952095809,98.8226357766806,37.65142150803461
29,SVM,0.8,0.4,0.1,97.72558714462299,97.53086419753086,99.0125332320547,46.625463535228675
30,SVM,0.8,0.1,0.15,96.21755253399259,95.95997034840623,98.32890239270793,21.211372064276887
