,model,threshold,split_1,split_2,accuracy,precision,recall,human effort
0,Decision Tree,0.8,0.1,0.01,87.56489493,89.0969163,92.17622484,9.987639061
1,Decision Tree,0.8,0.15,0.01,89.29542645,90.98360656,92.7459172,14.98145859
2,Decision Tree,0.8,0.2,0.01,90.60568603,93.04547191,92.48006077,20
3,Decision Tree,0.8,0.25,0.01,90.11124845,91.95791056,92.93581466,24.99381953
4,Decision Tree,0.8,0.3,0.01,90.16069221,92.1221259,92.82187619,29.98763906
5,Decision Tree,0.8,0.4,0.01,92.73176761,93.91663537,94.98670718,40
6,Decision Tree,0.8,0.1,0.03,87.3671199,89.5011169,91.30269654,9.987639061
7,Decision Tree,0.8,0.15,0.03,89.83930779,90.6959707,94.0372199,14.98145859
8,Decision Tree,0.8,0.2,0.03,89.88875155,91.83596689,92.70793771,20
9,Decision Tree,0.8,0.25,0.03,90.38318912,92.33962264,92.93581466,24.99381953
10,Decision Tree,0.8,0.3,0.03,90.58096415,92.91158537,92.59399924,29.98763906
11,Decision Tree,0.8,0.4,0.03,93.15203956,94.48640483,95.02468667,40
12,Decision Tree,0.8,0.1,0.05,87.66378245,89.60653304,91.68249145,9.987639061
13,Decision Tree,0.8,0.15,0.05,89.36959209,91.17757009,92.63197873,14.98145859
14,Decision Tree,0.8,0.2,0.05,90.08652658,92.49809596,92.25218382,20
15,Decision Tree,0.8,0.25,0.05,90.33374536,92.33383686,92.85985568,24.99381953
16,Decision Tree,0.8,0.3,0.05,90.92707046,93.04711246,93.01177364,29.98763906
17,Decision Tree,0.8,0.4,0.05,92.92954265,94.43392654,94.72085074,40
18,Decision Tree,0.8,0.1,0.08,87.68850433,89.3475857,92.06228637,9.987639061
19,Decision Tree,0.8,0.15,0.08,89.64153276,90.90909091,93.42954804,14.98145859
20,Decision Tree,0.8,0.2,0.08,89.74042027,92.19939117,92.02430687,20
21,Decision Tree,0.8,0.25,0.08,90.28430161,92.20045215,92.93581466,24.99381953
