,model,threshold,split_1,split_2,accuracy,precision,recall,human effort,name
86,Decision Tree,0.9,0.2,0.05,88.04744526,90.89615932,90.50991501,19.98175182,Decision Tree
38,Decision Tree,0.85,0.2,0.01,88.22992701,90.80622348,90.93484419,19.98175182,Decision Tree
44,Decision Tree,0.85,0.2,0.03,88.22992701,90.80622348,90.93484419,19.98175182,Decision Tree
68,Decision Tree,0.85,0.2,0.15,88.22992701,90.80622348,90.93484419,19.98175182,Decision Tree
122,Decision Tree,0.95,0.2,0.05,88.22992701,90.80622348,90.93484419,19.98175182,Decision Tree
170,Decision Tree,0.99,0.2,0.1,88.22992701,90.80622348,90.93484419,19.98175182,Decision Tree
74,Decision Tree,0.9,0.2,0.01,88.32116788,90.93484419,90.93484419,19.98175182,Decision Tree
80,Decision Tree,0.9,0.2,0.03,88.50364964,90.96045198,91.21813031,19.98175182,Decision Tree
146,Decision Tree,0.99,0.2,0.01,88.50364964,90.96045198,91.21813031,19.98175182,Decision Tree
62,Decision Tree,0.85,0.2,0.1,88.59489051,91.32290185,90.93484419,19.98175182,Decision Tree
92,Decision Tree,0.9,0.2,0.08,88.59489051,91.32290185,90.93484419,19.98175182,Decision Tree
158,Decision Tree,0.99,0.2,0.05,88.59489051,91.32290185,90.93484419,19.98175182,Decision Tree
12,Decision Tree,0.8,0.1,0.05,88.68613139,91.81034483,90.50991501,9.945255474,Decision Tree
14,Decision Tree,0.8,0.2,0.05,88.68613139,90.98591549,91.50141643,19.98175182,Decision Tree
48,Decision Tree,0.85,0.1,0.05,88.68613139,91.81034483,90.50991501,9.945255474,Decision Tree
78,Decision Tree,0.9,0.1,0.03,88.68613139,91.81034483,90.50991501,9.945255474,Decision Tree
98,Decision Tree,0.9,0.2,0.1,88.68613139,90.87078652,91.64305949,19.98175182,Decision Tree
116,Decision Tree,0.95,0.2,0.03,88.68613139,90.87078652,91.64305949,19.98175182,Decision Tree
134,Decision Tree,0.95,0.2,0.1,88.68613139,90.87078652,91.64305949,19.98175182,Decision Tree
152,Decision Tree,0.99,0.2,0.03,88.68613139,91.33522727,91.07648725,19.98175182,Decision Tree
20,Decision Tree,0.8,0.2,0.08,88.77737226,91.34751773,91.21813031,19.98175182,Decision Tree
32,Decision Tree,0.8,0.2,0.15,88.77737226,91.23055163,91.35977337,19.98175182,Decision Tree
104,Decision Tree,0.9,0.2,0.15,88.77737226,90.99859353,91.64305949,19.98175182,Decision Tree
110,Decision Tree,0.95,0.2,0.01,88.77737226,91.23055163,91.35977337,19.98175182,Decision Tree
128,Decision Tree,0.95,0.2,0.08,88.77737226,91.23055163,91.35977337,19.98175182,Decision Tree
164,Decision Tree,0.99,0.2,0.08,88.77737226,91.34751773,91.21813031,19.98175182,Decision Tree
2,Decision Tree,0.8,0.2,0.01,88.86861314,91.35977337,91.35977337,19.98175182,Decision Tree
25,Decision Tree,0.8,0.15,0.1,88.86861314,90.33149171,92.63456091,14.96350365,Decision Tree
26,Decision Tree,0.8,0.2,0.1,88.86861314,91.35977337,91.35977337,19.98175182,Decision Tree
56,Decision Tree,0.85,0.2,0.08,88.86861314,91.24293785,91.50141643,19.98175182,Decision Tree
73,Decision Tree,0.9,0.15,0.01,88.86861314,89.67391304,93.48441926,14.96350365,Decision Tree
102,Decision Tree,0.9,0.1,0.15,88.86861314,92.19653179,90.36827195,9.945255474,Decision Tree
108,Decision Tree,0.95,0.1,0.01,88.86861314,92.19653179,90.36827195,9.945255474,Decision Tree
8,Decision Tree,0.8,0.2,0.03,88.95985401,91.37199434,91.50141643,19.98175182,Decision Tree
50,Decision Tree,0.85,0.2,0.05,88.95985401,91.37199434,91.50141643,19.98175182,Decision Tree
85,Decision Tree,0.9,0.15,0.05,88.95985401,89.36742934,94.0509915,14.96350365,Decision Tree
140,Decision Tree,0.95,0.2,0.15,88.95985401,91.37199434,91.50141643,19.98175182,Decision Tree
145,Decision Tree,0.99,0.15,0.01,88.95985401,89.47368421,93.90934844,14.96350365,Decision Tree
168,Decision Tree,0.99,0.1,0.1,88.95985401,92.08633094,90.65155807,9.945255474,Decision Tree
174,Decision Tree,0.99,0.1,0.15,88.95985401,92.08633094,90.65155807,9.945255474,Decision Tree
176,Decision Tree,0.99,0.2,0.15,88.95985401,91.37199434,91.50141643,19.98175182,Decision Tree
24,Decision Tree,0.8,0.1,0.1,89.05109489,92.09770115,90.79320113,9.945255474,Decision Tree
90,Decision Tree,0.9,0.1,0.08,89.05109489,92.09770115,90.79320113,9.945255474,Decision Tree
114,Decision Tree,0.95,0.1,0.03,89.05109489,92.09770115,90.79320113,9.945255474,Decision Tree
139,Decision Tree,0.95,0.15,0.15,89.05109489,89.48787062,94.0509915,14.96350365,Decision Tree
157,Decision Tree,0.99,0.15,0.05,89.05109489,89.91825613,93.48441926,14.96350365,Decision Tree
175,Decision Tree,0.99,0.15,0.15,89.05109489,90.35812672,92.91784703,14.96350365,Decision Tree
0,Decision Tree,0.8,0.1,0.01,89.14233577,92.47467438,90.50991501,9.945255474,Decision Tree
18,Decision Tree,0.8,0.1,0.08,89.14233577,92.23021583,90.79320113,9.945255474,Decision Tree
36,Decision Tree,0.85,0.1,0.01,89.14233577,92.23021583,90.79320113,9.945255474,Decision Tree
72,Decision Tree,0.9,0.1,0.01,89.14233577,92.47467438,90.50991501,9.945255474,Decision Tree
84,Decision Tree,0.9,0.1,0.05,89.14233577,92.47467438,90.50991501,9.945255474,Decision Tree
91,Decision Tree,0.9,0.15,0.08,89.14233577,89.29049531,94.47592068,14.96350365,Decision Tree
103,Decision Tree,0.9,0.15,0.15,89.14233577,89.29049531,94.47592068,14.96350365,Decision Tree
150,Decision Tree,0.99,0.1,0.03,89.14233577,92.47467438,90.50991501,9.945255474,Decision Tree
30,Decision Tree,0.8,0.1,0.15,89.23357664,92.36311239,90.79320113,9.945255474,Decision Tree
42,Decision Tree,0.85,0.1,0.03,89.23357664,92.36311239,90.79320113,9.945255474,Decision Tree
55,Decision Tree,0.85,0.15,0.08,89.23357664,90.38461538,93.20113314,14.96350365,Decision Tree
66,Decision Tree,0.85,0.1,0.15,89.23357664,92.36311239,90.79320113,9.945255474,Decision Tree
96,Decision Tree,0.9,0.1,0.1,89.23357664,92.48554913,90.65155807,9.945255474,Decision Tree
126,Decision Tree,0.95,0.1,0.08,89.23357664,92.36311239,90.79320113,9.945255474,Decision Tree
133,Decision Tree,0.95,0.15,0.1,89.23357664,89.51612903,94.33427762,14.96350365,Decision Tree
138,Decision Tree,0.95,0.1,0.15,89.23357664,92.36311239,90.79320113,9.945255474,Decision Tree
144,Decision Tree,0.99,0.1,0.01,89.23357664,92.48554913,90.65155807,9.945255474,Decision Tree
156,Decision Tree,0.99,0.1,0.05,89.23357664,92.24137931,90.93484419,9.945255474,Decision Tree
162,Decision Tree,0.99,0.1,0.08,89.23357664,92.12034384,91.07648725,9.945255474,Decision Tree
163,Decision Tree,0.99,0.15,0.08,89.23357664,90.38461538,93.20113314,14.96350365,Decision Tree
