,model,threshold,split_1,split_2,accuracy,precision,recall,human effort,name
1,Logistic Regression,0.8,0.15,0.01,97.26277372,96.55647383,99.2917847,37.5,Logistic Regression
7,Logistic Regression,0.8,0.15,0.03,97.26277372,96.55647383,99.2917847,37.77372263,Logistic Regression
19,Logistic Regression,0.8,0.15,0.08,97.26277372,96.55647383,99.2917847,38.68613139,Logistic Regression
25,Logistic Regression,0.8,0.15,0.1,97.26277372,96.55647383,99.2917847,38.68613139,Logistic Regression
13,Logistic Regression,0.8,0.15,0.05,97.3540146,96.68965517,99.2917847,38.13868613,Logistic Regression
31,Logistic Regression,0.8,0.15,0.15,97.3540146,96.68965517,99.2917847,39.32481752,Logistic Regression
0,Logistic Regression,0.8,0.1,0.01,98.08394161,97.50346741,99.57507082,37.59124088,Logistic Regression
6,Logistic Regression,0.8,0.1,0.03,98.08394161,97.50346741,99.57507082,38.32116788,Logistic Regression
2,Logistic Regression,0.8,0.2,0.01,98.17518248,97.63888889,99.57507082,42.60948905,Logistic Regression
8,Logistic Regression,0.8,0.2,0.03,98.17518248,97.63888889,99.57507082,42.97445255,Logistic Regression
14,Logistic Regression,0.8,0.2,0.05,98.17518248,97.63888889,99.57507082,43.15693431,Logistic Regression
20,Logistic Regression,0.8,0.2,0.08,98.17518248,97.63888889,99.57507082,43.06569343,Logistic Regression
3,Logistic Regression,0.8,0.25,0.01,98.26642336,97.64216366,99.71671388,45.80291971,Logistic Regression
4,Logistic Regression,0.8,0.3,0.01,98.26642336,97.64216366,99.71671388,48.44890511,Logistic Regression
9,Logistic Regression,0.8,0.25,0.03,98.26642336,97.64216366,99.71671388,46.35036496,Logistic Regression
15,Logistic Regression,0.8,0.25,0.05,98.26642336,97.64216366,99.71671388,46.35036496,Logistic Regression
26,Logistic Regression,0.8,0.2,0.1,98.26642336,97.77468707,99.57507082,43.70437956,Logistic Regression
32,Logistic Regression,0.8,0.2,0.15,98.26642336,97.77468707,99.57507082,44.06934307,Logistic Regression
10,Logistic Regression,0.8,0.3,0.03,98.35766423,97.77777778,99.71671388,48.90510949,Logistic Regression
21,Logistic Regression,0.8,0.25,0.08,98.35766423,97.77777778,99.71671388,46.89781022,Logistic Regression
27,Logistic Regression,0.8,0.25,0.1,98.35766423,97.77777778,99.71671388,47.17153285,Logistic Regression
33,Logistic Regression,0.8,0.25,0.15,98.35766423,97.77777778,99.71671388,47.44525547,Logistic Regression
5,Logistic Regression,0.8,0.4,0.01,98.44890511,97.78085992,99.85835694,55.01824818,Logistic Regression
16,Logistic Regression,0.8,0.3,0.05,98.44890511,97.91376912,99.71671388,49.08759124,Logistic Regression
18,Logistic Regression,0.8,0.1,0.08,98.44890511,98.0474198,99.57507082,40.60218978,Logistic Regression
22,Logistic Regression,0.8,0.3,0.08,98.44890511,97.91376912,99.71671388,49.27007299,Logistic Regression
28,Logistic Regression,0.8,0.3,0.1,98.44890511,97.91376912,99.71671388,49.36131387,Logistic Regression
29,Logistic Regression,0.8,0.4,0.1,98.44890511,97.78085992,99.85835694,55.38321168,Logistic Regression
34,Logistic Regression,0.8,0.3,0.15,98.44890511,97.91376912,99.71671388,49.45255474,Logistic Regression
