,model,threshold,split_1,split_2,accuracy,human effort
0,Random Forest,0.8,0.1,0.01,94.86712777575536,19.949035311248636
1,Random Forest,0.8,0.15,0.01,94.90353112486349,23.807790316709138
2,Random Forest,0.8,0.2,0.01,95.59519475791772,29.013469239170004
3,Random Forest,0.8,0.25,0.01,95.95922824899891,33.709501274117216
4,Random Forest,0.8,0.3,0.01,96.43247178740444,38.7331634510375
5,Random Forest,0.8,0.4,0.01,97.05132872224245,47.83400072806698
6,Random Forest,0.8,0.1,0.03,95.41317801237714,22.13323625773571
7,Random Forest,0.8,0.15,0.03,95.55879140880961,26.24681470695304
8,Random Forest,0.8,0.2,0.03,95.81361485256643,30.65161994903531
9,Random Forest,0.8,0.25,0.03,96.46887513651257,35.52966872952312
10,Random Forest,0.8,0.3,0.03,96.68729523116127,39.86166727338915
11,Random Forest,0.8,0.4,0.03,97.23334546778304,48.74408445576993
12,Random Forest,0.8,0.1,0.05,95.5223880597015,22.824899890789954
13,Random Forest,0.8,0.15,0.05,95.81361485256643,27.266108481980343
14,Random Forest,0.8,0.2,0.05,96.03203494721514,31.52530032763014
15,Random Forest,0.8,0.25,0.05,96.17764834364762,35.74808882417182
16,Random Forest,0.8,0.3,0.05,96.79650527848563,40.626137604659625
17,Random Forest,0.8,0.4,0.05,97.30615216599926,49.50855478704041
18,Random Forest,0.8,0.1,0.08,95.7408081543502,24.60866399708773
19,Random Forest,0.8,0.15,0.08,96.03203494721514,28.394612304332
20,Random Forest,0.8,0.2,0.08,96.28685839097197,32.54459410265744
21,Random Forest,0.8,0.25,0.08,96.50527848562068,36.767382599199124
22,Random Forest,0.8,0.3,0.08,97.01492537313433,41.31780123771387
23,Random Forest,0.8,0.4,0.08,97.30615216599926,49.87258827812159
24,Random Forest,0.8,0.1,0.1,95.88642155078267,25.30032763014197
25,Random Forest,0.8,0.15,0.1,96.28685839097197,29.26829268292683
26,Random Forest,0.8,0.2,0.1,96.35966508918821,33.12704768838733
27,Random Forest,0.8,0.25,0.1,96.7601019293775,37.204222788496544
28,Random Forest,0.8,0.3,0.1,97.12413542045869,42.00946487076811
29,Random Forest,0.8,0.4,0.1,97.3789588642155,50.38223516563524
