,model,threshold,split_1,split_2,accuracy,precision,recall,human effort
0,SVM,0.8,0.1,0.01,94.61678832116789,94.3758573388203,97.45042492917847,17.335766423357665
1,SVM,0.8,0.15,0.01,94.61678832116789,94.25444596443228,97.59206798866856,22.080291970802918
2,SVM,0.8,0.2,0.01,96.16788321167883,95.98337950138504,98.15864022662889,29.014598540145986
3,SVM,0.8,0.25,0.01,96.62408759124088,96.39389736477115,98.44192634560906,33.48540145985402
4,SVM,0.8,0.3,0.01,96.80656934306569,96.79218967921896,98.30028328611898,38.04744525547445
5,SVM,0.8,0.4,0.01,97.35401459854015,97.34265734265735,98.58356940509915,46.62408759124087
6,SVM,0.8,0.1,0.03,95.25547445255475,94.91758241758242,97.87535410764872,18.33941605839416
7,SVM,0.8,0.15,0.03,94.7080291970803,94.26229508196721,97.73371104815864,21.8978102189781
8,SVM,0.8,0.2,0.03,96.16788321167883,96.11111111111111,98.01699716713881,28.64963503649635
9,SVM,0.8,0.25,0.03,96.44160583941606,96.38386648122392,98.15864022662889,34.03284671532847
10,SVM,0.8,0.3,0.03,97.08029197080292,96.80555555555556,98.72521246458923,38.777372262773724
11,SVM,0.8,0.4,0.03,97.35401459854015,97.34265734265735,98.58356940509915,46.8978102189781
12,SVM,0.8,0.1,0.05,95.71167883211679,96.21318373071529,97.1671388101983,19.616788321167885
13,SVM,0.8,0.15,0.05,95.25547445255475,94.55040871934605,98.30028328611898,23.083941605839417
14,SVM,0.8,0.2,0.05,96.80656934306569,96.40387275242047,98.72521246458923,30.291970802919707
15,SVM,0.8,0.25,0.05,96.89781021897811,96.66666666666667,98.58356940509915,35.03649635036496
16,SVM,0.8,0.3,0.05,97.08029197080292,96.80555555555556,98.72521246458923,39.14233576642336
17,SVM,0.8,0.4,0.05,97.44525547445255,97.3463687150838,98.72521246458923,46.98905109489051
18,SVM,0.8,0.1,0.08,96.53284671532846,96.38888888888889,98.30028328611898,21.35036496350365
19,SVM,0.8,0.15,0.08,95.43795620437956,95.17906336088154,97.87535410764872,23.54014598540146
20,SVM,0.8,0.2,0.08,96.80656934306569,96.40387275242047,98.72521246458923,30.474452554744527
21,SVM,0.8,0.25,0.08,96.62408759124088,96.65271966527196,98.15864022662889,35.03649635036496
22,SVM,0.8,0.3,0.08,97.08029197080292,96.80555555555556,98.72521246458923,39.324817518248175
23,SVM,0.8,0.4,0.08,97.44525547445255,97.3463687150838,98.72521246458923,47.262773722627735
24,SVM,0.8,0.1,0.1,96.62408759124088,96.39389736477115,98.44192634560906,21.715328467153284
25,SVM,0.8,0.15,0.1,95.43795620437956,95.05494505494505,98.01699716713881,23.631386861313867
26,SVM,0.8,0.2,0.1,96.80656934306569,96.40387275242047,98.72521246458923,30.565693430656935
27,SVM,0.8,0.25,0.1,96.71532846715328,96.65738161559888,98.30028328611898,35.583941605839414
28,SVM,0.8,0.3,0.1,97.08029197080292,96.80555555555556,98.72521246458923,39.324817518248175
29,SVM,0.8,0.4,0.1,97.35401459854015,97.34265734265735,98.58356940509915,46.98905109489051
30,SVM,0.8,0.1,0.15,96.53284671532846,96.38888888888889,98.30028328611898,21.532846715328468
31,SVM,0.8,0.15,0.15,95.71167883211679,95.44827586206897,98.01699716713881,24.087591240875913
32,SVM,0.8,0.2,0.15,96.80656934306569,96.40387275242047,98.72521246458923,30.748175182481752
33,SVM,0.8,0.25,0.15,96.89781021897811,96.66666666666667,98.58356940509915,36.04014598540146
34,SVM,0.8,0.3,0.15,97.08029197080292,96.80555555555556,98.72521246458923,39.5985401459854
35,SVM,0.8,0.4,0.15,97.44525547445255,97.3463687150838,98.72521246458923,47.17153284671533
36,SVM,0.85,0.1,0.01,96.07664233576642,96.36363636363636,97.59206798866856,20.802919708029197
37,SVM,0.85,0.15,0.01,95.62043795620438,95.94972067039106,97.30878186968839,24.361313868613138
38,SVM,0.85,0.2,0.01,96.71532846715328,96.65738161559888,98.30028328611898,31.021897810218977
39,SVM,0.85,0.25,0.01,97.17153284671532,96.80998613037448,98.86685552407933,35.583941605839414
40,SVM,0.85,0.3,0.01,97.17153284671532,96.80998613037448,98.86685552407933,39.96350364963504
41,SVM,0.85,0.4,0.01,97.71897810218978,97.48953974895397,99.0084985835694,48.083941605839414
42,SVM,0.85,0.1,0.03,96.53284671532846,96.38888888888889,98.30028328611898,22.536496350364963
43,SVM,0.85,0.15,0.03,95.98540145985402,95.97222222222223,97.87535410764872,25.456204379562045
44,SVM,0.85,0.2,0.03,97.17153284671532,96.80998613037448,98.86685552407933,32.2992700729927
45,SVM,0.85,0.25,0.03,97.08029197080292,96.93593314763231,98.58356940509915,36.496350364963504
