,model,threshold,split_1,split_2,accuracy,human effort
0,Logistic Regression,0.8,0.1,0.01,97.5609756097561,32.83582089552239
1,Logistic Regression,0.8,0.15,0.01,97.70658900618857,35.38405533309064
2,Logistic Regression,0.8,0.2,0.01,97.81579905351292,39.13360029122679
3,Logistic Regression,0.8,0.25,0.01,97.99781579905351,42.62832180560611
4,Logistic Regression,0.8,0.3,0.01,98.10702584637787,46.0502366217692
5,Logistic Regression,0.8,0.4,0.01,98.25263924281033,52.89406625409538
6,Logistic Regression,0.8,0.1,0.03,97.70658900618857,33.454677830360396
7,Logistic Regression,0.8,0.15,0.03,97.85220240262105,36.03931561703677
8,Logistic Regression,0.8,0.2,0.03,97.81579905351292,39.242810338551145
9,Logistic Regression,0.8,0.25,0.03,98.03421914816163,42.737531852930466
10,Logistic Regression,0.8,0.3,0.03,98.1798325445941,46.4506734619585
11,Logistic Regression,0.8,0.4,0.03,98.28904259191846,53.00327630141973
12,Logistic Regression,0.8,0.1,0.05,97.67018565708045,33.56388787768475
13,Logistic Regression,0.8,0.15,0.05,97.81579905351292,36.03931561703677
14,Logistic Regression,0.8,0.2,0.05,97.85220240262105,39.46123043319985
15,Logistic Regression,0.8,0.25,0.05,98.07062249726975,42.88314524936294
16,Logistic Regression,0.8,0.3,0.05,98.14342919548598,46.4506734619585
17,Logistic Regression,0.8,0.4,0.05,98.32544594102657,53.22169639606844
18,Logistic Regression,0.8,0.1,0.08,97.7793957044048,34.03713141609028
19,Logistic Regression,0.8,0.15,0.08,97.85220240262105,36.512559155442304
20,Logistic Regression,0.8,0.2,0.08,97.9614124499454,39.934473971605385
21,Logistic Regression,0.8,0.25,0.08,98.07062249726975,43.13796869311977
22,Logistic Regression,0.8,0.3,0.08,98.28904259191846,46.81470695303968
23,Logistic Regression,0.8,0.4,0.08,98.28904259191846,53.476519839825265
24,Logistic Regression,0.8,0.1,0.1,97.70658900618857,34.146341463414636
25,Logistic Regression,0.8,0.15,0.1,97.88860575172916,36.803785948307244
26,Logistic Regression,0.8,0.2,0.1,98.07062249726975,40.298507462686565
27,Logistic Regression,0.8,0.25,0.1,98.21623589370222,43.46559883509283
28,Logistic Regression,0.8,0.3,0.1,98.28904259191846,47.03312704768839
29,Logistic Regression,0.8,0.4,0.1,98.32544594102657,53.36730979250091
30,Logistic Regression,0.8,0.1,0.15,97.81579905351292,35.20203858755006
31,Logistic Regression,0.8,0.15,0.15,98.07062249726975,37.495449581361484
32,Logistic Regression,0.8,0.2,0.15,98.10702584637787,40.662540953767746
33,Logistic Regression,0.8,0.25,0.15,98.1798325445941,43.6112122315253
34,Logistic Regression,0.8,0.3,0.15,98.28904259191846,46.99672369858027
35,Logistic Regression,0.8,0.4,0.15,98.43465598835093,53.98616672733891
36,Logistic Regression,0.85,0.1,0.01,98.72588278121587,40.40771751001092
37,Logistic Regression,0.85,0.15,0.01,98.5802693847834,41.60902803057881
38,Logistic Regression,0.85,0.2,0.01,98.65307608299963,44.448489261012014
39,Logistic Regression,0.85,0.25,0.01,98.76228613032399,47.43356388787768
40,Logistic Regression,0.85,0.3,0.01,98.79868947943211,50.41863851474336
41,Logistic Regression,0.85,0.4,0.01,98.79868947943211,56.3887877684747
42,Logistic Regression,0.85,0.1,0.03,98.76228613032399,40.698944302875866
43,Logistic Regression,0.85,0.15,0.03,98.68947943210776,42.33709501274117
44,Logistic Regression,0.85,0.2,0.03,98.61667273389152,44.484892610120134
45,Logistic Regression,0.85,0.25,0.03,98.79868947943211,47.83400072806698
46,Logistic Regression,0.85,0.3,0.03,98.79868947943211,50.56425191117583
47,Logistic Regression,0.85,0.4,0.03,98.79868947943211,56.570804514015286
48,Logistic Regression,0.85,0.1,0.05,98.76228613032399,41.1721878412814
49,Logistic Regression,0.85,0.15,0.05,98.68947943210776,42.737531852930466
50,Logistic Regression,0.85,0.2,0.05,98.65307608299963,44.95813614852567
51,Logistic Regression,0.85,0.25,0.05,98.76228613032399,47.906807426283216
52,Logistic Regression,0.85,0.3,0.05,98.83509282854023,50.81907535493266
53,Logistic Regression,0.85,0.4,0.05,98.79868947943211,56.68001456133965
54,Logistic Regression,0.85,0.1,0.08,98.76228613032399,41.24499453949763
55,Logistic Regression,0.85,0.15,0.08,98.72588278121587,42.91954859847106
56,Logistic Regression,0.85,0.2,0.08,98.65307608299963,45.176556243174375
57,Logistic Regression,0.85,0.25,0.08,98.79868947943211,48.08882417182381
58,Logistic Regression,0.85,0.3,0.08,98.83509282854023,50.89188205314889
59,Logistic Regression,0.85,0.4,0.08,98.83509282854023,56.934838005096466
60,Logistic Regression,0.85,0.1,0.1,98.79868947943211,41.791044776119406
61,Logistic Regression,0.85,0.15,0.1,98.72588278121587,43.28358208955224
62,Logistic Regression,0.85,0.2,0.1,98.68947943210776,45.431379686931194
63,Logistic Regression,0.85,0.25,0.1,98.79868947943211,48.38005096468875
64,Logistic Regression,0.85,0.3,0.1,98.83509282854023,51.1103021477976
65,Logistic Regression,0.85,0.4,0.1,98.87149617764834,57.04404805242082
66,Logistic Regression,0.85,0.1,0.15,98.79868947943211,42.00946487076811
67,Logistic Regression,0.85,0.15,0.15,98.68947943210776,43.720422278849654
68,Logistic Regression,0.85,0.2,0.15,98.65307608299963,46.159446669093555
69,Logistic Regression,0.85,0.25,0.15,98.83509282854023,48.78048780487805
70,Logistic Regression,0.85,0.3,0.15,98.87149617764834,51.5107389879869
71,Logistic Regression,0.85,0.4,0.15,98.83509282854023,57.11685475063706
72,Logistic Regression,0.9,0.1,0.01,99.381143065162,49.54495813614852
73,Logistic Regression,0.9,0.15,0.01,99.27193301783764,50.309428467419
74,Logistic Regression,0.9,0.2,0.01,99.27193301783764,52.96687295231161
75,Logistic Regression,0.9,0.25,0.01,99.23552966872953,54.859847105933746
76,Logistic Regression,0.9,0.3,0.01,99.30833636694575,57.66290498725883
77,Logistic Regression,0.9,0.4,0.01,99.27193301783764,62.24972697488169
78,Logistic Regression,0.9,0.1,0.03,99.381143065162,50.0910083727703
79,Logistic Regression,0.9,0.15,0.03,99.34473971605388,50.964688751365124
80,Logistic Regression,0.9,0.2,0.03,99.27193301783764,53.076082999635965
81,Logistic Regression,0.9,0.25,0.03,99.23552966872953,55.07826720058245
82,Logistic Regression,0.9,0.3,0.03,99.34473971605388,57.84492173279942
83,Logistic Regression,0.9,0.4,0.03,99.30833636694575,62.504550418638516
84,Logistic Regression,0.9,0.1,0.05,99.381143065162,50.45504186385148
