,model,threshold,split_1,split_2,accuracy,human effort
0,Random Forest,0.8,0.1,0.01,94.93993447,18.78412814
1,Random Forest,0.8,0.15,0.01,95.04914452,23.22533673
2,Random Forest,0.8,0.2,0.01,95.55879141,28.79504914
3,Random Forest,0.8,0.25,0.01,96.28685839,33.92792137
4,Random Forest,0.8,0.3,0.01,96.61448853,38.80597015
5,Random Forest,0.8,0.4,0.01,97.01492537,47.54277394
6,Random Forest,0.8,0.1,0.03,95.12195122,20.2402621
7,Random Forest,0.8,0.15,0.03,95.48598471,24.82708409
8,Random Forest,0.8,0.2,0.03,95.95922825,30.03276301
9,Random Forest,0.8,0.25,0.03,96.72369858,35.23844194
10,Random Forest,0.8,0.3,0.03,96.79650528,39.57044048
11,Random Forest,0.8,0.4,0.03,97.23334547,48.52566436
12,Random Forest,0.8,0.1,0.05,95.59519476,21.91481616
13,Random Forest,0.8,0.15,0.05,95.9228249,26.06479796
14,Random Forest,0.8,0.2,0.05,96.14124499,30.83363669
15,Random Forest,0.8,0.25,0.05,96.86931198,35.78449217
16,Random Forest,0.8,0.3,0.05,97.01492537,40.48052421
17,Random Forest,0.8,0.4,0.05,97.34255552,49.10811795
18,Random Forest,0.8,0.1,0.08,95.74080815,22.82489989
19,Random Forest,0.8,0.15,0.08,96.03203495,27.01128504
20,Random Forest,0.8,0.2,0.08,96.25045504,31.70731707
21,Random Forest,0.8,0.25,0.08,96.90571533,36.5489625
22,Random Forest,0.8,0.3,0.08,97.05132872,40.58973426
23,Random Forest,0.8,0.4,0.08,97.41536221,49.50855479
24,Random Forest,0.8,0.1,0.1,95.7772115,23.48016017
25,Random Forest,0.8,0.15,0.1,96.10484165,27.44812523
26,Random Forest,0.8,0.2,0.1,96.39606844,32.25336731
27,Random Forest,0.8,0.25,0.1,96.97852202,37.05860939
28,Random Forest,0.8,0.3,0.1,97.26974882,41.24499454
29,Random Forest,0.8,0.4,0.1,97.52457226,49.90899163
30,Random Forest,0.8,0.1,0.15,96.0684383,25.37313433
31,Random Forest,0.8,0.15,0.15,96.46887514,29.12267929
32,Random Forest,0.8,0.2,0.15,96.68729523,33.30906443
33,Random Forest,0.8,0.25,0.15,97.19694212,37.96869312
34,Random Forest,0.8,0.3,0.15,97.34255552,41.64543138
35,Random Forest,0.8,0.4,0.15,97.52457226,49.90899163
36,Random Forest,0.85,0.1,0.01,95.55879141,22.06042956
37,Random Forest,0.85,0.15,0.01,95.9956316,26.28321806
38,Random Forest,0.85,0.2,0.01,96.50527849,32.10775391
39,Random Forest,0.85,0.25,0.01,96.86931198,36.912996
40,Random Forest,0.85,0.3,0.01,97.23334547,41.35420459
41,Random Forest,0.85,0.4,0.01,97.48816891,49.79978158
42,Random Forest,0.85,0.1,0.03,96.14124499,23.91700036
43,Random Forest,0.85,0.15,0.03,96.35966509,28.10338551
