,model,threshold,split_1,split_2,accuracy,human effort
0,SVM,0.8,0.1,0.01,95.66800145613396,19.220968329086276
1,SVM,0.8,0.15,0.01,95.7408081543502,23.152530032763014
2,SVM,0.8,0.2,0.01,96.06843829632327,28.103385511467057
3,SVM,0.8,0.25,0.01,96.35966508918821,32.50819075354933
4,SVM,0.8,0.3,0.01,96.35966508918821,36.87659264652348
5,SVM,0.8,0.4,0.01,96.86931197670185,45.68620313068802
6,SVM,0.8,0.1,0.03,95.70440480524208,20.094648707681106
7,SVM,0.8,0.15,0.03,96.17764834364762,24.353840553330908
8,SVM,0.8,0.2,0.03,96.39606843829633,28.90425919184565
9,SVM,0.8,0.25,0.03,96.32326174008008,32.58099745176556
10,SVM,0.8,0.3,0.03,96.68729523116127,37.64106297779396
11,SVM,0.8,0.4,0.03,97.08773207135056,46.159446669093555
12,SVM,0.8,0.1,0.05,96.10484164543138,21.11394248270841
13,SVM,0.8,0.15,0.05,96.10484164543138,24.353840553330908
14,SVM,0.8,0.2,0.05,96.7601019293775,29.705132872224244
15,SVM,0.8,0.25,0.05,96.65089188205314,33.49108117946851
16,SVM,0.8,0.3,0.05,96.65089188205314,37.64106297779396
17,SVM,0.8,0.4,0.05,97.08773207135056,46.30506006552603
18,SVM,0.8,0.1,0.08,96.32326174008008,22.278849654168184
19,SVM,0.8,0.15,0.08,96.06843829632327,24.936294139060795
20,SVM,0.8,0.2,0.08,96.54168183472879,29.26829268292683
21,SVM,0.8,0.25,0.08,96.50527848562068,33.418274481252276
22,SVM,0.8,0.3,0.08,96.7601019293775,38.29632326174008
23,SVM,0.8,0.4,0.08,97.12413542045869,46.523480160174735
24,SVM,0.8,0.1,0.1,96.46887513651257,22.970513287222424
25,SVM,0.8,0.15,0.1,96.21405169275573,25.445941026574445
26,SVM,0.8,0.2,0.1,96.65089188205314,29.95995631598107
27,SVM,0.8,0.25,0.1,96.65089188205314,33.89151801965781
