,parameters,accuracy,human effort
0,"['Decision Tree', 0.8]",89.45342571,19.98973569
1,"['Decision Tree', 0.85]",89.37644342,19.98973569
2,"['Decision Tree', 0.9]",88.96587118,19.98973569
3,"['Decision Tree', 0.95]",88.99153195,19.98973569
4,"['Decision Tree', 0.99]",88.99153195,19.98973569
5,"['SVM', 0.8]",95.89427765,28.71439569
6,"['SVM', 0.85]",96.84372594,31.69104439
7,"['SVM', 0.9]",97.58788812,36.56658968
8,"['SVM', 0.95]",98.87092635,55.58121632
9,"['SVM', 0.99]",99.89735694,93.55914806
10,"['Logistic Regression', 0.8]",97.76751347,38.77341545
11,"['Logistic Regression', 0.85]",98.74262253,44.49576597
12,"['Logistic Regression', 0.9]",99.23017706,51.60379779
13,"['Logistic Regression', 0.95]",99.79471388,66.41005902
14,"['Logistic Regression', 0.99]",100,91.63459071
15,"['Random Forest', 0.8]",96.30484988,31.58840133
16,"['Random Forest', 0.85]",97.10033359,35.36053374
17,"['Random Forest', 0.9]",97.97279959,40.39004362
18,"['Random Forest', 0.95]",98.84526559,48.4731845
19,"['Random Forest', 0.99]",99.69207082,63.20246343
