,model,threshold,split_1,split_2,accuracy,human effort
0,Decision Tree,0.8,0.1,0.01,88.71496178,9.974517656
1,Decision Tree,0.8,0.15,0.01,88.78776847,14.99817983
2,Decision Tree,0.8,0.2,0.01,89.04259192,19.98543866
3,Decision Tree,0.8,0.25,0.01,90.35311249,24.97269749
4,Decision Tree,0.8,0.3,0.01,90.17109574,29.99635967
5,Decision Tree,0.8,0.4,0.01,91.59082636,39.97087732
6,Decision Tree,0.8,0.1,0.03,88.67855843,9.974517656
7,Decision Tree,0.8,0.15,0.03,89.00618857,14.99817983
8,Decision Tree,0.8,0.2,0.03,88.75136513,19.98543866
9,Decision Tree,0.8,0.25,0.03,90.78995268,24.97269749
10,Decision Tree,0.8,0.3,0.03,90.28030579,29.99635967
11,Decision Tree,0.8,0.4,0.03,91.62722971,39.97087732
12,Decision Tree,0.8,0.1,0.05,88.42373498,9.974517656
13,Decision Tree,0.8,0.15,0.05,88.60575173,14.99817983
14,Decision Tree,0.8,0.2,0.05,88.86057517,19.98543866
15,Decision Tree,0.8,0.25,0.05,90.71714598,24.97269749
16,Decision Tree,0.8,0.3,0.05,90.06188569,29.99635967
17,Decision Tree,0.8,0.4,0.05,92.10047324,39.97087732
18,Decision Tree,0.8,0.1,0.08,88.35092829,9.974517656
19,Decision Tree,0.8,0.15,0.08,88.64215508,14.99817983
20,Decision Tree,0.8,0.2,0.08,88.53294503,19.98543866
21,Decision Tree,0.8,0.25,0.08,90.82635602,24.97269749
22,Decision Tree,0.8,0.3,0.08,90.35311249,29.99635967
23,Decision Tree,0.8,0.4,0.08,91.7728431,39.97087732
24,Decision Tree,0.8,0.1,0.1,88.35092829,9.974517656
25,Decision Tree,0.8,0.15,0.1,88.78776847,14.99817983
26,Decision Tree,0.8,0.2,0.1,89.37022206,19.98543866
27,Decision Tree,0.8,0.25,0.1,90.53512923,24.97269749
28,Decision Tree,0.8,0.3,0.1,90.24390244,29.99635967
29,Decision Tree,0.8,0.4,0.1,91.88205315,39.97087732
30,Decision Tree,0.8,0.1,0.15,88.56934838,9.974517656
31,Decision Tree,0.8,0.15,0.15,88.71496178,14.99817983
32,Decision Tree,0.8,0.2,0.15,89.07899527,19.98543866
33,Decision Tree,0.8,0.25,0.15,90.31670914,24.97269749
34,Decision Tree,0.8,0.3,0.15,90.31670914,29.99635967
35,Decision Tree,0.8,0.4,0.15,91.66363305,39.97087732
36,Decision Tree,0.85,0.1,0.01,89.58864216,9.974517656
37,Decision Tree,0.85,0.15,0.01,88.86057517,14.99817983
38,Decision Tree,0.85,0.2,0.01,88.93338187,19.98543866
39,Decision Tree,0.85,0.25,0.01,90.89916272,24.97269749
40,Decision Tree,0.85,0.3,0.01,90.35311249,29.99635967
41,Decision Tree,0.85,0.4,0.01,91.9184565,39.97087732
42,Decision Tree,0.85,0.1,0.03,88.42373498,9.974517656
43,Decision Tree,0.85,0.15,0.03,89.47943211,14.99817983
44,Decision Tree,0.85,0.2,0.03,88.82417182,19.98543866
45,Decision Tree,0.85,0.25,0.03,90.82635602,24.97269749
46,Decision Tree,0.85,0.3,0.03,90.20749909,29.99635967
47,Decision Tree,0.85,0.4,0.03,91.8456498,39.97087732
48,Decision Tree,0.85,0.1,0.05,88.67855843,9.974517656
49,Decision Tree,0.85,0.15,0.05,88.86057517,14.99817983
50,Decision Tree,0.85,0.2,0.05,89.07899527,19.98543866
51,Decision Tree,0.85,0.25,0.05,90.93556607,24.97269749
52,Decision Tree,0.85,0.3,0.05,90.35311249,29.99635967
53,Decision Tree,0.85,0.4,0.05,91.88205315,39.97087732
54,Decision Tree,0.85,0.1,0.08,88.46013833,9.974517656
55,Decision Tree,0.85,0.15,0.08,88.82417182,14.99817983
56,Decision Tree,0.85,0.2,0.08,88.86057517,19.98543866
57,Decision Tree,0.85,0.25,0.08,90.89916272,24.97269749
58,Decision Tree,0.85,0.3,0.08,90.42591918,29.99635967
59,Decision Tree,0.85,0.4,0.08,91.80924645,39.97087732
60,Decision Tree,0.85,0.1,0.1,88.71496178,9.974517656
61,Decision Tree,0.85,0.15,0.1,88.75136513,14.99817983
62,Decision Tree,0.85,0.2,0.1,88.56934838,19.98543866
63,Decision Tree,0.85,0.25,0.1,90.42591918,24.97269749
64,Decision Tree,0.85,0.3,0.1,90.38951584,29.99635967
65,Decision Tree,0.85,0.4,0.1,91.9184565,39.97087732
66,Decision Tree,0.85,0.1,0.15,89.07899527,9.974517656
67,Decision Tree,0.85,0.15,0.15,89.04259192,14.99817983
68,Decision Tree,0.85,0.2,0.15,88.67855843,19.98543866
69,Decision Tree,0.85,0.25,0.15,90.64433928,24.97269749
70,Decision Tree,0.85,0.3,0.15,90.17109574,29.99635967
71,Decision Tree,0.85,0.4,0.15,91.9184565,39.97087732
72,Decision Tree,0.9,0.1,0.01,88.89697852,9.974517656
73,Decision Tree,0.9,0.15,0.01,89.04259192,14.99817983
74,Decision Tree,0.9,0.2,0.01,88.78776847,19.98543866
75,Decision Tree,0.9,0.25,0.01,90.89916272,24.97269749
76,Decision Tree,0.9,0.3,0.01,90.06188569,29.99635967
77,Decision Tree,0.9,0.4,0.01,92.02766655,39.97087732
78,Decision Tree,0.9,0.1,0.03,88.96978522,9.974517656
79,Decision Tree,0.9,0.15,0.03,88.82417182,14.99817983
80,Decision Tree,0.9,0.2,0.03,89.26101201,19.98543866
81,Decision Tree,0.9,0.25,0.03,90.49872588,24.97269749
82,Decision Tree,0.9,0.3,0.03,90.28030579,29.99635967
83,Decision Tree,0.9,0.4,0.03,91.9184565,39.97087732
84,Decision Tree,0.9,0.1,0.05,88.71496178,9.974517656
85,Decision Tree,0.9,0.15,0.05,89.18820531,14.99817983
86,Decision Tree,0.9,0.2,0.05,89.11539862,19.98543866
87,Decision Tree,0.9,0.25,0.05,90.42591918,24.97269749
88,Decision Tree,0.9,0.3,0.05,90.60793593,29.99635967
89,Decision Tree,0.9,0.4,0.05,91.55442301,39.97087732
90,Decision Tree,0.9,0.1,0.08,88.86057517,9.974517656
91,Decision Tree,0.9,0.15,0.08,88.96978522,14.99817983
92,Decision Tree,0.9,0.2,0.08,89.47943211,19.98543866
93,Decision Tree,0.9,0.25,0.08,90.71714598,24.97269749
94,Decision Tree,0.9,0.3,0.08,90.35311249,29.99635967
95,Decision Tree,0.9,0.4,0.08,91.8456498,39.97087732
96,Decision Tree,0.9,0.1,0.1,88.78776847,9.974517656
97,Decision Tree,0.9,0.15,0.1,88.86057517,14.99817983
98,Decision Tree,0.9,0.2,0.1,88.89697852,19.98543866
99,Decision Tree,0.9,0.25,0.1,90.64433928,24.97269749
100,Decision Tree,0.9,0.3,0.1,90.24390244,29.99635967
101,Decision Tree,0.9,0.4,0.1,92.20968329,39.97087732
102,Decision Tree,0.9,0.1,0.15,88.60575173,9.974517656
103,Decision Tree,0.9,0.15,0.15,88.96978522,14.99817983
104,Decision Tree,0.9,0.2,0.15,88.96978522,19.98543866
105,Decision Tree,0.9,0.25,0.15,90.38951584,24.97269749
106,Decision Tree,0.9,0.3,0.15,90.35311249,29.99635967
107,Decision Tree,0.9,0.4,0.15,91.55442301,39.97087732
108,Decision Tree,0.95,0.1,0.01,88.89697852,9.974517656
109,Decision Tree,0.95,0.15,0.01,89.04259192,14.99817983
110,Decision Tree,0.95,0.2,0.01,88.82417182,19.98543866
111,Decision Tree,0.95,0.25,0.01,90.97196942,24.97269749
112,Decision Tree,0.95,0.3,0.01,90.06188569,29.99635967
113,Decision Tree,0.95,0.4,0.01,91.9184565,39.97087732
114,Decision Tree,0.95,0.1,0.03,88.60575173,9.974517656
115,Decision Tree,0.95,0.15,0.03,89.04259192,14.99817983
116,Decision Tree,0.95,0.2,0.03,88.89697852,19.98543866
117,Decision Tree,0.95,0.25,0.03,90.35311249,24.97269749
118,Decision Tree,0.95,0.3,0.03,89.989079,29.99635967
119,Decision Tree,0.95,0.4,0.03,91.9184565,39.97087732
120,Decision Tree,0.95,0.1,0.05,88.31452494,9.974517656
121,Decision Tree,0.95,0.15,0.05,88.86057517,14.99817983
