,model,threshold,split_1,split_2,accuracy,human effort
0,Decision Tree,0.8,0.1,0.01,88.71496177648343,9.974517655624318
1,Decision Tree,0.8,0.15,0.01,88.78776847469967,14.998179832544594
2,Decision Tree,0.8,0.2,0.01,89.0425919184565,19.985438660356753
3,Decision Tree,0.8,0.25,0.01,90.35311248634875,24.97269748816891
4,Decision Tree,0.8,0.3,0.01,90.17109574080816,29.996359665089187
5,Decision Tree,0.8,0.4,0.01,91.59082635602475,39.970877320713505
6,Decision Tree,0.8,0.1,0.03,88.67855842737532,9.974517655624318
7,Decision Tree,0.8,0.15,0.03,89.00618856934838,14.998179832544594
8,Decision Tree,0.8,0.2,0.03,88.75136512559155,19.985438660356753
9,Decision Tree,0.8,0.25,0.03,90.78995267564616,24.97269748816891
10,Decision Tree,0.8,0.3,0.03,90.28030578813251,29.996359665089187
11,Decision Tree,0.8,0.4,0.03,91.62722970513288,39.970877320713505
12,Decision Tree,0.8,0.1,0.05,88.42373498361849,9.974517655624318
13,Decision Tree,0.8,0.15,0.05,88.60575172915908,14.998179832544594
14,Decision Tree,0.8,0.2,0.05,88.86057517291592,19.985438660356753
15,Decision Tree,0.8,0.25,0.05,90.71714597742992,24.97269748816891
16,Decision Tree,0.8,0.3,0.05,90.0618856934838,29.996359665089187
17,Decision Tree,0.8,0.4,0.05,92.1004732435384,39.970877320713505
18,Decision Tree,0.8,0.1,0.08,88.35092828540226,9.974517655624318
19,Decision Tree,0.8,0.15,0.08,88.6421550782672,14.998179832544594
20,Decision Tree,0.8,0.2,0.08,88.53294503094284,19.985438660356753
21,Decision Tree,0.8,0.25,0.08,90.82635602475428,24.97269748816891
22,Decision Tree,0.8,0.3,0.08,90.35311248634875,29.996359665089187
23,Decision Tree,0.8,0.4,0.08,91.77284310156534,39.970877320713505
24,Decision Tree,0.8,0.1,0.1,88.35092828540226,9.974517655624318
25,Decision Tree,0.8,0.15,0.1,88.78776847469967,14.998179832544594
26,Decision Tree,0.8,0.2,0.1,89.37022206042955,19.985438660356753
27,Decision Tree,0.8,0.25,0.1,90.53512923188933,24.97269748816891
28,Decision Tree,0.8,0.3,0.1,90.2439024390244,29.996359665089187
29,Decision Tree,0.8,0.4,0.1,91.8820531488897,39.970877320713505
30,Decision Tree,0.8,0.1,0.15,88.56934838005097,9.974517655624318
31,Decision Tree,0.8,0.15,0.15,88.71496177648343,14.998179832544594
32,Decision Tree,0.8,0.2,0.15,89.07899526756462,19.985438660356753
33,Decision Tree,0.8,0.25,0.15,90.31670913724062,24.97269748816891
34,Decision Tree,0.8,0.3,0.15,90.31670913724062,29.996359665089187
35,Decision Tree,0.8,0.4,0.15,91.66363305424099,39.970877320713505
36,Decision Tree,0.85,0.1,0.01,89.58864215507826,9.974517655624318
37,Decision Tree,0.85,0.15,0.01,88.86057517291592,14.998179832544594
38,Decision Tree,0.85,0.2,0.01,88.93338187113214,19.985438660356753
39,Decision Tree,0.85,0.25,0.01,90.89916272297052,24.97269748816891
40,Decision Tree,0.85,0.3,0.01,90.35311248634875,29.996359665089187
41,Decision Tree,0.85,0.4,0.01,91.91845649799781,39.970877320713505
42,Decision Tree,0.85,0.1,0.03,88.42373498361849,9.974517655624318
43,Decision Tree,0.85,0.15,0.03,89.47943210775391,14.998179832544594
44,Decision Tree,0.85,0.2,0.03,88.82417182380779,19.985438660356753
